Bug ID,Bug Fix Commit Hash,Date of Commit
ARIES-861,f04dc00eb84f53449f63022a3c7fcd7167cb9297,2012-06-25T16:02:11+00:00
ARIES-861,74751dbe91be4a9ca4a9fad5b872e1eb1633a629,2012-06-14T20:34:55+00:00
ARIES-863,647c0865b148432103111440238803e341b6685f,2012-06-23T16:40:13+00:00
ARIES-863,f663ae6d2802d1e6fd6bcaab7a636769c80d4354,2012-06-22T14:36:37+00:00
ARIES-621,ee914d4b52adc380f5bc7a3afc00b30376e03a56,2011-03-28T12:37:45+00:00
ARIES-860,0c03a6b1da71b895c8fa11b593b80ba162f0876b,2012-06-16T22:56:52+00:00
ARIES-869,cee1699cf1e7a8019148d11c631b9610b6310b16,2012-09-25T22:06:26+00:00
ARIES-629,bb4fce3c1270a280f20daeee4f6fc7b171d70a72,2011-04-05T19:14:43+00:00
ARIES-623,9b06cbca707c2730cd684013480a5e3d8ba27066,2011-04-04T06:13:36+00:00
ARIES-623,0755657f7d9a7c047b9fede2532f5d8500eaba84,2011-04-02T13:33:02+00:00
ARIES-866,0b9a8b0906ea6054b2f80d35b53d89e6c54801b9,2012-07-05T00:53:12+00:00
ARIES-624,100888c4b892a83a413b08ad61e87ac4351ada17,2011-03-29T13:46:38+00:00
ARIES-867,0edae3f2c683d56503c2045f6484c911ff40749b,2012-07-25T07:16:09+00:00
ARIES-626,a6d4fb6e8e772db59ccb6dc90c42fe272eb7634c,2012-02-06T16:07:43+00:00
ARIES-626,102f5c179bc3eb38771d523d7114cdaffea86c14,2011-11-28T21:44:25+00:00
ARIES-626,cc7fdd225926541a22c149943391f05946b5589e,2011-11-17T22:32:58+00:00
ARIES-626,85626a2ea041df74a4c98740c47a210f00821c4f,2011-11-17T19:10:20+00:00
ARIES-626,9f0221a50c497bc5a5a02b922cc422c32cee99d2,2011-11-17T19:10:01+00:00
ARIES-626,8b0242eda5ef9eb5ba04f746340e3bc859d9e3b5,2011-11-17T17:59:48+00:00
ARIES-626,87f2c777188389e27474ba73f4860dd91647ae4a,2011-11-10T21:35:50+00:00
ARIES-872,8d5fd092a24fd23290ae135605e50e31c4abed1b,2012-07-18T20:07:39+00:00
ARIES-874,46428528354c7f28f995904ceb9e592ef2dd1626,2012-07-15T20:11:25+00:00
ARIES-875,26cbd077850fb85cde013c9002480db0b21da644,2012-07-24T20:38:10+00:00
ARIES-870,f44321c33e1bb19fa8566b83f1a6bea8786a7048,2012-10-18T16:19:26+00:00
ARIES-871,319810098588fe7ff144fa9c18f632f30932e771,2012-07-09T11:58:42+00:00
ARIES-634,8a25a966cf78e5c3b3860bb2e5761f26f899d041,2011-04-20T15:38:06+00:00
ARIES-634,2e7f41e19b2859556474bf15eddeb69fd7d5dac5,2011-04-18T17:23:39+00:00
ARIES-877,3bb51d1f17a1acc7d5f032369cd224b70c9f3844,2012-07-23T23:05:16+00:00
ARIES-635,5cdf7925a43591b0b6f0261d3828c347ae4cec5c,2011-04-18T19:48:19+00:00
ARIES-878,c53f6f61c692ce7dd69592a6e62a9898ab301050,2012-07-23T23:06:01+00:00
ARIES-637,efbe86991601b0f50b2f7188d8e81161dcc2d86f,2011-04-20T12:57:48+00:00
ARIES-637,1cb66a6e812fb8bed43236216b60b1be0b74a823,2011-04-20T12:44:44+00:00
ARIES-883,59f223487b5fef1a48ecc993b1d234d398560a50,2012-07-24T09:50:21+00:00
ARIES-884,6c3d56e141bd71d9830d0ef612171a9d27f18fc5,2012-11-14T19:18:12+00:00
ARIES-884,f3deb5d31133e2fc76a3b807acae2ebe4cded858,2012-10-19T08:57:46+00:00
ARIES-884,9177a575be90178052115dfc0bd8521c08156b41,2012-07-25T14:10:04+00:00
ARIES-885,15fb8f0f78f474aaf742480b7e93ae3811621c31,2014-09-05T09:41:57+00:00
ARIES-885,edda9611e1c3210e2bad352a8663487cd9df0ff4,2014-09-05T09:35:04+00:00
ARIES-885,cf3c7ece6b01fb17efc60546d89c42e7dd089e6d,2012-07-26T16:36:42+00:00
ARIES-402,d46ebdef4caf36feeea1040ba4217d3c8418f770,2010-09-07T22:18:50+00:00
ARIES-880,1fdfe2af0583cb32cf21d6193edbf29757cb0b3b,2012-07-24T09:08:41+00:00
ARIES-881,4d4fad09bbb935f722db2d4eba0e345f2289c8bd,2012-07-24T09:08:57+00:00
ARIES-882,4102741fa8582ca0213082c7d85d1f30bca75952,2012-07-24T09:09:15+00:00
ARIES-407,423803e122139b050388a53d4c8a3877c5b83845,2010-09-14T13:16:44+00:00
ARIES-407,34545040fbaee8ffd6b04ce55e8c40fe3e92dac7,2010-09-14T13:11:09+00:00
ARIES-408,4523204f2ea30a8d87fc8fd0afd3d3ac58cace95,2010-09-21T21:04:39+00:00
ARIES-408,e26e069e4d7c14805b1f74aedccd03e4a3319292,2010-09-21T20:56:34+00:00
ARIES-409,15c72b0bd370af1a9d4f31bea7ce9534f50ce2da,2010-09-15T20:32:53+00:00
ARIES-409,4c47b475642e462080045c1ee6fc47b718a390cc,2010-09-15T13:16:35+00:00
ARIES-647,582e6d4a87e8ba1e442db4927f2220234208c79c,2011-05-15T15:30:24+00:00
ARIES-647,8c4721c83357577c8e1146d164d1bc30f66abc3c,2011-05-13T10:54:32+00:00
ARIES-405,40db8780b984b9335a13f2897b617427292bff16,2010-09-14T09:24:52+00:00
