Bug ID,Bug Fix Commit Hash,Date of Commit
AVRO-1923,e276aa5e40cf51e36b581750c135c9c3875cac84,2016-10-04T16:22:20+02:00
AVRO-869,6e774f574bc75ade354423dadacfa9dd6aa5ff2b,2011-10-12T13:15:18+00:00
AVRO-749,7fedde60b8704c2715526f6da81d6c43c4ca03e3,2011-01-31T12:29:27+00:00
AVRO-1921,fcd0a65f64984fc4b469760f44e07e1bdf8d1644,2016-09-19T16:11:44-07:00
AVRO-1807,f793202c4b87ec258326513568dd62353850f1d0,2016-05-14T13:44:56-07:00
AVRO-1929,0a74e1e0fb45dae8785f204f17d05bd86d0a2d2b,2016-10-06T15:07:12-07:00
AVRO-871,844ea7709ce2ef022cca280b4376cefb6d579c4b,2011-10-07T21:00:23+00:00
AVRO-993,40b2a8672349cad661cf53f07d52d2219585e2fb,2012-01-17T19:42:22+00:00
AVRO-994,d72dafc3e20c310271e45acb371529e18e0c2fc4,2012-01-17T18:00:56+00:00
AVRO-994,ebbcdcacd48ecb210a165de2d149582c87baca85,2012-01-17T15:27:18+00:00
AVRO-631,5355146c7a871aa70d4f8ed1ad6d82de516f1b96,2010-08-26T00:03:34+00:00
AVRO-510,8c2d1e975ddb3516e2c42de73d78f3d40556c13b,2010-08-25T21:38:55+00:00
AVRO-632,4537345e599d764591ff4ccb2fd8e11efe5cbc67,2010-08-26T00:19:28+00:00
AVRO-996,29f8701a42d172cf4b9a2a474000d509f34a2d46,2012-02-07T07:23:55+00:00
AVRO-633,61a54e4487501db5ce5ce3447363560fb0d880d6,2010-08-26T19:26:29+00:00
AVRO-997,4eec345521b9b7ec5a27e4f495a2e9a5b7d09efc,2014-10-03T20:33:39+00:00
AVRO-755,1c5bbe95f612b841bfeec3880e660d1b6ec44fab,2011-02-21T17:20:23+00:00
AVRO-515,87b64a3b0530a433520bd32ca81858207bd64588,2010-04-11T17:45:14+00:00
AVRO-879,174f5a8898511b7275a81a9b7e8f89ad6c7a40f4,2011-08-22T18:30:17+00:00
AVRO-879,4f693b17f1065f1a688628af3578ee34c55bfbe8,2011-08-22T18:00:29+00:00
AVRO-516,754bbd5a43f0156acaeb84bc2573274be1da8a69,2010-04-12T10:37:43+00:00
AVRO-516,bc40723fc8aeeb0b57d83e8b2cbe1377d4a1ebe3,2010-04-12T10:29:08+00:00
AVRO-516,48da0df6c57ad2fd51ed91a971b44b415e17de4d,2010-04-12T10:29:05+00:00
AVRO-516,8c1db2821e3a0e87e7ab96498d4be14cb75f49d7,2010-04-12T09:16:56+00:00
AVRO-1912,ad42bb36c96e7dda17cc04900e3dedfd7b8ea9e7,2017-01-29T18:23:20+05:30
AVRO-1914,27cb9e271715b00ff5784164a9fb02de00e57203,2016-09-15T10:19:52+02:00
AVRO-618,ec468882133c8ed33b3eeee9243b38f152727781,2010-08-20T15:22:10+00:00
AVRO-980,753c54f0c060e098cce00a125f6ce022dfa86815,2012-02-09T23:26:32+00:00
AVRO-981,01f774f28153d220f59bff026ade4982d20ace2d,2012-10-06T15:37:19+00:00
AVRO-861,6d3e2f0facaf2f21e049bd71e5f555c365f8c71e,2011-07-15T01:31:04+00:00
AVRO-861,3dff33cb9b8bc5d4c8a1f94a964bc4e5c4d7e5ff,2011-07-15T00:54:01+00:00
AVRO-740,c849a8f76708f8995c311396f3933421b80bdaa7,2011-01-20T11:35:56+00:00
AVRO-741,bd1c8fedb2c9566a9b161749fb6b49904b8caad8,2011-01-26T03:44:18+00:00
AVRO-620,4d31386d2a9c184b349a6f50b45bcdf73e7bb3f7,2010-08-24T04:37:30+00:00
AVRO-984,2874dfde27e4390f9b2510629dacff9d2db409d6,2011-12-27T15:14:49+00:00
AVRO-742,a1e801aadba4ba65ce54b078d6c02b8617a88774,2011-01-24T12:05:09+00:00
AVRO-500,ff664ef8a34de6dac9044875d4059c1493ce6528,2010-04-06T05:55:56+00:00
AVRO-864,827cac5eccfc507d829d7f734f9365f816eaf6d0,2011-07-28T19:48:35+00:00
AVRO-864,b61743eb5b604f50aeed13abcdd5164e2d71f706,2011-07-27T22:52:46+00:00
AVRO-743,9a34604d54723f44660d71d3e0ecd609fbf7d8a1,2011-02-07T18:37:16+00:00
AVRO-622,94c4c520a055d7e32dde19bdafac8c6ccfd72d08,2010-08-24T05:02:37+00:00
AVRO-501,ed9239ee042925d1d37949e7954ae971fe391fc6,2010-04-04T15:35:08+00:00
AVRO-986,dbab66b91b879c902e700a0ca9bbdd48696cbf5b,2012-01-26T16:47:31+00:00
AVRO-502,e18f9ca99b848f301b6349869d2512f706dc73f3,2010-04-04T15:14:36+00:00
AVRO-745,335d72590281875b500f776afd3b43fc24c1e4dc,2011-01-24T16:52:09+00:00
AVRO-746,1fa65b7921fd9a718a70b53c9c2f61efbcbfc279,2011-07-12T21:36:53+00:00
AVRO-1824,32067dec274ba93aa0775fcfe990eef3b87b534c,2016-04-09T15:46:28-07:00
AVRO-968,09e1155948e295b9fed27bf76d57125d75063726,2011-12-13T19:54:32+00:00
AVRO-1946,0d997e5e5952546e0bdeab3080ef7c00d8caffc1,2019-01-17T14:55:16-05:00
AVRO-1947,b2cd78d549ad72cc1a1441562ea1bc5181116040,2016-11-04T10:26:29+00:00
AVRO-1826,2875665a5bace62f4e7dfb01060cd50a08637b86,2016-04-17T23:18:43+02:00
AVRO-607,fa0059c55a31813634188eb85e53b68e33644489,2016-09-03T17:18:35-07:00
AVRO-1820,4c1463cba1bc268c2ccf2a506d27e6ee84030316,2016-04-20T09:57:39-07:00
AVRO-609,d7041830569503ca674fe0600c0d18f3707779cd,2010-08-10T21:56:44+00:00
AVRO-97,5e2e176168f7d8f528704a05608ee0ab68e32b63,2014-02-05T00:02:45+00:00
AVRO-97,e4124c17adeb58f84b35d09cf3c865262006a629,2014-01-09T17:12:30+00:00
AVRO-97,d1a22055fa9bc51d44816b342a1035a6d91191d3,2013-08-20T19:13:39+00:00
AVRO-97,350f09f3cefec53e20762e7862cb37f38c6251e6,2013-01-18T21:15:13+00:00
AVRO-97,17aec14ebba7764fb20cf4745157788dfcfe78ab,2012-02-24T23:47:15+00:00
AVRO-97,234487d0a347a100210258aea1466a2d3cde8509,2012-02-08T22:13:50+00:00
AVRO-97,940493f37adab4c3e0da3f7e98b04037836a18b5,2011-12-13T18:56:48+00:00
AVRO-97,8f0693356c5c35d41e8ba8c40bfd8aa085f67ca9,2011-12-13T00:28:17+00:00
AVRO-97,77480fda068aa8878e6f1002f92cfb436a1b964d,2011-12-13T00:14:29+00:00
AVRO-97,0ba056f58b54d299fbe991102b5aa416ac3ab845,2011-12-09T20:27:29+00:00
AVRO-97,c529c6d5821d89bfb3f37e2c6bb0ec9b83635899,2009-08-18T21:07:08+00:00
AVRO-1821,b30b9e7a3365f50aa6f4481705937c462914764d,2016-04-17T15:10:03-07:00
AVRO-1821,54eefb8d780237a7108c2a0c91b12282686426ad,2016-04-16T14:57:46-07:00
AVRO-1821,58daaf08a2637e0976cc124571200ce198b3143d,2016-04-16T14:13:29-07:00
AVRO-1700,4fdc75209ba54f60b2c5798cff731a11053fbcfd,2015-08-26T21:40:42+00:00
AVRO-1943,e2d1073bf5095af38fc6ed194d92fc82de225fc9,2016-10-31T11:07:06+00:00
AVRO-1701,683bc7135b6a69a8d524393f91ada8310a8f9f88,2016-04-13T11:32:28+05:30
AVRO-1944,67bec06dbdc910856fdc33d149aece97c26a59b1,2016-11-01T21:32:30+01:00
AVRO-95,6fd751939e1759654c174b863637fad12ced9269,2012-04-22T09:40:58+00:00
AVRO-95,634fead210e40e93f848389eff6118a1a2541d61,2012-02-04T01:59:50+00:00
AVRO-95,c0d9d5c0be6ac5627f3a2009acb46840fc7305b4,2012-02-02T19:11:25+00:00
AVRO-95,fdcb6c279bbc966d0d919333de43aa2f849d62e0,2011-12-20T02:27:44+00:00
AVRO-95,cf4b82354f818e583c8d3ab9c5c171c8ab3acf10,2011-12-08T00:58:17+00:00
AVRO-95,729385bed515560f2d2319e9c3519958a4114846,2011-11-04T21:39:13+00:00
AVRO-95,8b58efb07e6613d3a11a9e7b8e04797ffbc82413,2011-11-04T20:50:17+00:00
AVRO-95,710e2379a2ef1c5c4d2cf6ada9e0dc49795f5c86,2009-08-21T22:41:17+00:00
AVRO-95,f736dfd4dd6089d9323cf7290ca7852c9dd045cd,2009-08-18T19:58:22+00:00
AVRO-90,874faae7323ea0888769ef96bc0d12d23db052ca,2011-10-10T18:06:27+00:00
AVRO-90,c7acde0a81b8413c40b40c5cef2fed13faa1b85d,2011-10-09T08:19:05+00:00
AVRO-90,85949e751323c72ed55af0a1ba1f47f3a55a318f,2011-10-07T12:51:26+00:00
AVRO-90,fdc2c4899f2ba71a661a3b3f239cc17fa7221fb2,2011-10-07T08:59:34+00:00
AVRO-90,a614a28bc9e2f90bf516577252863b8af1cd2e00,2011-10-07T08:34:54+00:00
AVRO-90,d7dbac1ad7177bc8065298cc452466b2a39d7a9c,2011-10-05T19:25:56+00:00
AVRO-90,748e8c1be6a8c44e2a5cda05d05c5668526a7b25,2011-10-05T19:07:38+00:00
AVRO-90,86fa1ce37647ccc27cf85365ace50aa593073394,2011-10-05T19:06:07+00:00
AVRO-90,5c4ebdc2113e15afcbde83756a0dc1c0d09935ba,2011-10-05T18:37:45+00:00
AVRO-90,29f33991babbc6ba48cb03b067d063d38751a7e9,2011-10-05T18:20:30+00:00
AVRO-90,126e9769f45f978f42321c4fc465198982df482b,2011-10-05T18:11:01+00:00
AVRO-90,e1d53e342f55f7ee51b8f4b04fc03aaa287712dd,2009-08-18T19:43:46+00:00
AVRO-972,0ba056f58b54d299fbe991102b5aa416ac3ab845,2011-12-09T20:27:29+00:00
AVRO-851,c0781539c1b155ed7b7a53303ec46f1200015e5c,2012-09-13T20:04:47+00:00
AVRO-1951,7a398e0f373fcbe4e9fe5e068c3e720530f0a849,2016-11-05T15:03:02-07:00
AVRO-732,4c0e41cebc0804c563dffe98a58c06b1c39098e1,2019-04-04T19:10:34-04:00
AVRO-733,914bdb53b61b9b65e3260459217bdf6063b9b83b,2011-01-14T23:07:05+00:00
AVRO-733,d0985f9e601ba97754bf072ac77e754a6c0a8c92,2011-01-14T18:44:10+00:00
AVRO-612,7afee340172a95bf1d7df4038ce615448f719a0d,2010-08-18T21:35:15+00:00
AVRO-978,940493f37adab4c3e0da3f7e98b04037836a18b5,2011-12-13T18:56:48+00:00
AVRO-736,26ea6ca388642f96d4d0dfab28150d6b0f51aa33,2011-01-24T12:09:17+00:00
AVRO-736,b4f29d127108be85af3ea0f856c4ef3b52a2a798,2011-01-20T12:38:19+00:00
AVRO-1813,29129abeecd58d387fd8f8986fba052a4868fc7c,2017-02-10T12:40:44+01:00
AVRO-1814,4cac7c8980791856c3fb7d3377d249cf8dd44b86,2016-04-28T22:46:07+02:00
AVRO-717,1116da410809a4572e6134c01b1e8e4be6627647,2011-01-04T22:28:36+00:00
AVRO-1937,ce36fffca8dd0bf8f5282041ba473e84193483c1,2017-02-18T08:10:50+05:30
AVRO-1930,3ab93ca43aa2dbcac3c7b50c201bd3e297dc493b,2017-01-29T17:02:00+05:30
AVRO-1931,15651fc95e058d1b3cc165a70c367d1dc2bad8b7,2017-08-18T09:54:39-05:00
AVRO-1810,4a3609cd854e9ef5bdda5b43e188a3309a93aef9,2019-03-04T23:44:48+01:00
AVRO-1819,4c1463cba1bc268c2ccf2a506d27e6ee84030316,2016-04-20T09:57:39-07:00
AVRO-962,0e6318c7415cfc5c814cc01e6bc037fa584adba3,2011-12-05T23:24:50+00:00
AVRO-842,c4f243262392626c8a9e95ba1e4c355e21ab388a,2011-07-01T16:30:54+00:00
AVRO-722,5a8078804ce08c49c2c5e5314fec94cb72415f2a,2011-01-07T17:59:47+00:00
AVRO-723,6cac5fe1283d797f62e40b1dd755e40f5b213d7b,2011-01-07T20:42:51+00:00
AVRO-966,f8e718ab54836079fe75ea1d0e60d0154d50448f,2011-12-07T23:15:57+00:00
AVRO-845,827cac5eccfc507d829d7f734f9365f816eaf6d0,2011-07-28T19:48:35+00:00
AVRO-845,5b88de9f8724e046c745869b335b82a4af439af3,2011-06-30T16:56:26+00:00
AVRO-604,5aa8b0cccef971441fcda29b86eee652ee6884a3,2010-08-03T23:09:42+00:00
AVRO-1967,152fa0954bb74e8e1e627751ccab55ada4f5b375,2016-12-17T11:57:56+01:00
AVRO-1725,cfa305bc381a8bc4d428ce88eb1a3ff6668d7953,2016-01-11T21:00:40+00:00
AVRO-1604,5009caa85de9f61c3d8144713c5fecd0331eee61,2014-11-26T19:33:41+00:00
AVRO-825,07c66f99ada606e5e832d0b9cad0eab776c98c83,2011-07-01T20:02:28+00:00
AVRO-704,bc55a1460c19c127d143736baef3e1881f22418c,2010-12-10T19:43:21+00:00
AVRO-79,b34848d4b561098b6515ef8fc5217cf18a55a9f5,2011-04-29T19:35:47+00:00
