Bug ID,Bug Fix Commit Hash,Date of Commit
AXIS-93,449ca1d917c334aa34a9b8cb0632ed229b2e9518,2005-04-22T13:59:29+00:00
AXIS-92,48023b7b0156ede96d5bd4729725071b6a00ddfc,2012-09-29T11:13:38+00:00
AXIS-75,e130534fac7e04dede99a1df6594a50d043aae27,2012-01-04T16:17:58+00:00
AXIS-76,6fa6f89d73ed391423fad80d01d7a25d6f8277f3,2004-03-25T16:50:18+00:00
AXIS-1910,f16008aa6c1e0e84192e5601ebac2c3e5327726c,2005-04-26T21:06:36+00:00
AXIS-1919,6f373d7c56fadace9c4862af2219e0c6b6b16fd1,2005-04-28T04:08:29+00:00
AXIS-84,7bf5d2ee901c5441be38d0a9ed9887c3e0f77986,2004-12-23T19:59:06+00:00
AXIS-84,62c1e896584c766872370323107c65ac3097c89b,2004-04-12T03:30:59+00:00
AXIS-89,02a09c2384b67569ab279359ec3ddd2cb697a067,2005-06-14T01:45:34+00:00
AXIS-89,d67b7a34ab27868cf3107dba23bc85fda04651d3,2005-04-20T22:18:58+00:00
AXIS-83,208135676f170b6946e50db2f0e36553403a9b91,2012-01-03T08:59:53+00:00
AXIS-81,65a2da9eda6056ada5e2fce20c1a865f0f53deee,2004-04-03T09:43:19+00:00
AXIS-1903,8270a7f79903b3ee7e09e1bcbc500b1be28a20fd,2005-06-11T01:42:27+00:00
AXIS-1900,10e30b11c0ba0104c097b85613b54281f22e7b74,2005-03-24T21:43:11+00:00
AXIS-1906,9ecb746c1309a04964c6c0ea175f75db1cfcc77c,2005-04-23T21:37:38+00:00
AXIS-53,d3d790bde6e81da1200d241046e3990642d85741,2005-03-03T18:28:35+00:00
AXIS-53,73ee95a26434fb59c1c0843dc2b405753353776f,2004-11-18T17:00:41+00:00
AXIS-2180,1578b781d3049e23fae911afca7057dcdb1cb2a2,2005-08-20T02:49:32+00:00
AXIS-52,9d36dda2637684d298a521ddd5b3285124dd93ec,2012-09-22T09:15:20+00:00
AXIS-52,9e1a7cc6dfc7a92c0afc2823a19ffdf1d0641727,2004-06-03T14:01:33+00:00
AXIS-2185,72ff2882d780c972ae52faba1c578bd728565f06,2005-08-21T21:15:29+00:00
AXIS-928,48023b7b0156ede96d5bd4729725071b6a00ddfc,2012-09-29T11:13:38+00:00
AXIS-2172,d1a88d67d510b527cf14742a023d4e054785d6df,2005-08-22T06:40:08+00:00
AXIS-935,449ca1d917c334aa34a9b8cb0632ed229b2e9518,2005-04-22T13:59:29+00:00
AXIS-2179,335a5e4b20654eee08b92f1bde60c7d4a188dce2,2005-08-21T22:32:59+00:00
AXIS-30,bb767a3e33af76a2e3224e972e897b335f02caa7,2004-03-22T14:52:58+00:00
AXIS-2193,d8d9c49e7ddf5403cb534d8fda531271897f4d2d,2005-08-24T10:04:49+00:00
AXIS-1971,45f4afc62d75f8eaa20d05659966feefa8ee738c,2005-05-04T20:48:43+00:00
AXIS-1970,c737fff55c8077eb317abb8a205bc740bd9ba1f8,2005-05-02T11:39:36+00:00
AXIS-1975,d524937a503fd765597364afa775758255bc03c8,2005-06-01T12:29:45+00:00
AXIS-1732,1089541843915470adc4a5c94fcc927955532c5c,2005-01-26T00:52:48+00:00
AXIS-1973,b7596ca203b5f1f71b828576b09476e28a2a9bf1,2005-05-06T21:53:23+00:00
AXIS-1973,000014dc1999d5b010972da0d477d2c857f9d2d7,2005-05-04T21:30:20+00:00
AXIS-1973,0e8baf7767164527d09d5e4be919f25818ebd154,2005-05-04T21:05:49+00:00
AXIS-1978,7dc6a61f9d8ea7b5b66ea6e48e07411d75312d89,2005-05-25T07:30:58+00:00
AXIS-1960,a786c66c59ae1fbcebfbbbaf175c5deb8d4d11a2,2005-06-09T16:36:27+00:00
AXIS-1960,8293d51b86561ca6e5097723ca715232c10877db,2005-05-24T03:55:24+00:00
AXIS-1960,a7de8a7882f8ae9836300539d1706bcbae4eb4ac,2005-05-23T13:26:48+00:00
AXIS-1722,50f987145814f891b98d201d19c35438232b5a7a,2004-12-14T21:27:28+00:00
AXIS-1725,bd97d706a945bf070d24cc657134d7a94e295657,2005-04-25T10:02:00+00:00
AXIS-1725,a0d14a4ae52d2b31dd35180ea15c6ba078bc0917,2005-04-24T15:49:01+00:00
AXIS-1966,1cc406d09da6df1c1fbdf1f6e44d7b2943008750,2005-04-30T00:19:18+00:00
AXIS-106,03d4c7b808be81b9ab8fc5c6bf083972b936f97e,2004-03-25T13:39:58+00:00
AXIS-105,a856758244fc2273c9a3c36ff8a9c8080af088bb,2004-06-24T12:27:38+00:00
AXIS-1993,76c19e473540a07fa95a7477e5b1b0c106e0af68,2005-07-29T03:28:43+00:00
AXIS-100,299f97702b33e28d40fef5e731ce3c9c95b93741,2012-01-28T22:10:52+00:00
AXIS-1752,3a46557db0d2570026643ecf9e7409602e1e773e,2005-07-09T17:07:26+00:00
AXIS-1992,e890dc0c8fb0961fb552291e059de1f682f10170,2005-06-26T11:17:24+00:00
AXIS-101,4cd762328765a7ead31385094d495659a5ee96f8,2004-11-30T01:57:53+00:00
