Bug ID,Bug Fix Commit Hash,Date of Commit
BUILDR-417,009d8cb78341378417414064d397ca292c1acf56,2010-04-07T15:08:53+00:00
BUILDR-417,a4cf70a2fb419da18d188459939528fd0048bfdc,2010-04-07T15:08:53+00:00
BUILDR-419,3ec7df1de57a13b0682a9c3b4a3e1db423ddd9a8,2010-04-10T18:02:44+00:00
BUILDR-419,aec4f691dc6a20239198caf9381217e5468af94e,2010-04-10T18:02:44+00:00
BUILDR-418,9942fe09f6d36784092397daefe5d22f59f186f5,2010-05-21T05:29:35+00:00
BUILDR-418,4aebafb838c797260f23c39fd6cbf17fd00bef1f,2010-05-21T05:29:35+00:00
BUILDR-653,f0ccc5fa361b19cce4f840e475be96a153c6f3c9,2016-08-12T23:19:43-07:00
BUILDR-653,7f5b25e7f0f502362b8c6bb139b0b6c7869374df,2016-08-09T22:43:31-07:00
BUILDR-532,76e0b8e30c5adb2d704c8baf501c43bd864f1f6a,2010-10-12T16:41:44+00:00
BUILDR-532,fb6e3305a9381199f82139f6b082305b54f42cb2,2010-10-12T16:41:44+00:00
BUILDR-411,ebb6c8514e68694557e7f3ed11af9e44e5df6551,2010-04-01T03:02:09+00:00
BUILDR-411,80dfe8cd1a79ac551e17b2bde2b10e5814ab4182,2010-04-01T03:02:09+00:00
BUILDR-655,7ff7ba4127bc18edae82d16540b446cb10f537c9,2012-10-05T21:50:08+00:00
BUILDR-655,2eaa4943495a4c1a07eb19ceade0c8c750a71eb4,2012-10-05T21:50:08+00:00
BUILDR-534,d4c9593589577164803e00ad368ecf0f57a2c6af,2010-10-13T05:25:33+00:00
BUILDR-534,10f175b723edfa438711d831de96193f8128082d,2010-10-13T05:25:33+00:00
BUILDR-654,b315166310c425409bb79661c396c433f71da286,2012-09-23T00:40:28+00:00
BUILDR-654,5f98f4613b105b03d9205dff50ea3a6ccb67ff82,2012-09-23T00:40:28+00:00
BUILDR-412,b7969162294dc8c273f6b8e5dd6bfd60d7ce2f65,2010-04-10T18:19:32+00:00
BUILDR-412,34d54eb83c2792fcfcd6c86b3a2288fda0481c46,2010-04-10T18:19:32+00:00
BUILDR-535,cdbd0696fb7b8a9a66f3718f1ee7d94da0d6e8a7,2010-10-14T04:39:17+00:00
BUILDR-535,8bf177c3227cf088f8c5a3bdf84dd793da611499,2010-10-14T04:39:17+00:00
BUILDR-549,238585873338e48762501f4ed6955477a01c8aba,2010-11-22T23:28:17+00:00
BUILDR-549,7720cba2e45e1a780b83da65bb0f32ebfc0a6624,2010-11-22T23:28:17+00:00
BUILDR-548,eb2e97ec182c91e92ce5c609b5d34c510c7ec078,2011-07-19T07:15:09+00:00
BUILDR-548,1270a8ebeab8d18a680b9dc36dd89e96c28eeda3,2011-07-19T07:15:09+00:00
BUILDR-662,ac37e455d90dab09dfeae4bb87670afb47c682d8,2013-03-22T20:54:15+00:00
BUILDR-662,3817fd5ebe0e43352740a7f6d9c2360f6c893521,2013-03-22T20:54:15+00:00
BUILDR-664,090b0035674b2388d6419972ce861114a513078d,2014-06-17T09:55:42+10:00
BUILDR-664,40a927265d9d35811334cfcae6d7b76c9d73edbf,2013-04-15T23:20:52+00:00
BUILDR-664,e2d3eeb5ec41159b4b72729f332c48035a1f4cf9,2013-04-15T23:20:52+00:00
BUILDR-543,7a7fe5885c2de33bba657b02c5ec1fd7f3e8cdfd,2010-10-23T15:19:49+00:00
BUILDR-543,4af41ee1309170b60ec8615e31a1960abc32fca3,2010-10-23T15:19:49+00:00
BUILDR-301,df12848c97bc22c51d48176f76cec27b619e6055,2009-09-17T23:47:46+00:00
BUILDR-301,d4db753bf7c193d5ee5d44a131b450453268735a,2009-09-17T23:47:46+00:00
BUILDR-663,aaf12b3b24b27a529de61efa44717f894bbb7112,2013-04-14T02:34:40+00:00
BUILDR-663,26685bf02b73b8d999fc58c4c3d0d78a44774c0c,2013-04-14T02:34:40+00:00
BUILDR-542,16b43dda5641dc6f90a5408e545f9c85ba1eea04,2010-10-22T13:50:22+00:00
BUILDR-542,db0af8aa9d08dcb22b65a2916d24af323e32b5aa,2010-10-22T13:50:22+00:00
BUILDR-421,065bdd6332651ed4d9b0c1fa4d26d315b3796add,2010-04-10T17:31:16+00:00
BUILDR-421,6faaef45e2f0bea181b94d9a6c8d8495106d4ae9,2010-04-10T17:31:16+00:00
BUILDR-666,0099a708a33eb921d4131dc876b07793f8a65f4c,2013-04-28T23:38:04+00:00
BUILDR-666,eab29bbbbffbd69b36e463003fc14a702a5c6d75,2013-04-28T23:38:04+00:00
BUILDR-665,7c837db3dfb135610234fb5818a210a67ee5e6ac,2013-04-14T01:53:16+00:00
BUILDR-665,095e06ae4f38a38a1fae2344bc811d35a0e311ff,2013-04-14T01:53:16+00:00
BUILDR-423,88897d26ac9718c8aab6a02e85644bfed6325ec6,2010-04-11T22:39:12+00:00
BUILDR-423,5c330f8e30391b96ae0047dd4864758990745418,2010-04-11T22:39:12+00:00
BUILDR-668,0b11cee78b48374a9ff7b5a22ec30902eb6d80fd,2013-06-08T23:42:40+00:00
BUILDR-668,b9661ed42ae86091cf434bb3d286da0031f00c4d,2013-06-08T23:42:40+00:00
BUILDR-547,97e5cdfa36cb778621cd65ba8c962e54b369ab7f,2010-11-14T08:11:07+00:00
BUILDR-547,704c766507d0df49cef671329f8cd250a8542c6f,2010-11-14T08:11:07+00:00
BUILDR-304,b0d3b003f896954dee1693b22e28add88241bac8,2009-08-30T00:32:50+00:00
BUILDR-304,02f03bc4b21d20d58289e407698d7831921ae045,2009-08-30T00:32:50+00:00
BUILDR-304,ae6c5f3a00e1c5aababb501aa2273906130898cd,2009-08-30T00:32:47+00:00
BUILDR-304,1a2057b12261ca02bb36672dd0628f07302146d2,2009-08-30T00:32:47+00:00
BUILDR-660,b84ffe8dfc8b7889d21d2f47e47af2af3a4159b6,2013-02-04T19:14:39+00:00
BUILDR-660,e96a6d405d40786dc69d669c94518a02cf92a9af,2013-02-04T19:14:39+00:00
BUILDR-20,45a462beee07cdbf3d32edb9eb4c3fa9ce64492d,2016-05-02T22:33:26-07:00
BUILDR-20,7db48b8fd9a43db2dc6b6b53a502deb071988f6a,2010-07-08T02:39:18+00:00
BUILDR-20,e30da970bef3adb15f33340aa94fdbef3620571c,2010-07-08T02:39:18+00:00
