Bug ID,Bug Fix Commit Hash,Date of Commit
CB-6272,54fc8582ca10b506d8268124f55718e9f31bc9d1,2014-03-28T16:11:38-04:00
CB-13055,b8e2c4ddc119c4c8bbe8c073c51612625e084cab,2018-07-12T01:02:23+02:00
CB-13055,c8a1aa95a71c4652772cf625930df493530205ee,2018-07-11T23:10:17+02:00
CB-13055,99285c2580c1d583663eaad16c51f783180410bd,2017-12-13T15:57:29-08:00
CB-13055,8f823f7e9136395403dd350d973f82814b4ebb1f,2017-12-12T22:46:35-08:00
CB-13055,99400b563bf7c0f39d993ea0ad868abc84be3990,2017-12-12T16:04:56-08:00
CB-13055,71ab31ff479b4acd4f2d3a86f0fdcf11314e95eb,2017-12-12T16:04:56-08:00
CB-13055,474a33bebdf30b73ad5067bcf94fec55027c4155,2017-12-12T16:04:56-08:00
CB-13055,6e22fb4c217d77d28b58ebe580fa4f998ee6d5e6,2017-12-12T15:55:47-08:00
CB-13055,62f7c6405415ad78f292b82c4052042b7681bbda,2017-12-12T15:55:47-08:00
CB-13055,ebcc3ff56f09e90e750407ea4393bafb9443bdb3,2017-12-12T15:55:47-08:00
CB-7598,d50441c26fe8a912f33d1891a603ab8c92d3c5d1,2014-10-07T13:58:37-04:00
CB-9354,b0c196510aa73b3ef0752c78f06e2a99afe04a95,2015-09-01T14:57:00+03:00
CB-2718,c2d1ac2cb00e0f4258760a38b0d3fde488c83fe6,2013-05-17T10:07:17-07:00
CB-13020,6234355db76342b6fb3045b9a3b23e08f42a92bd,2017-07-13T12:12:29-07:00
CB-2702,5ba321a2109c31415a4438abb12236a34639d267,2013-03-19T15:12:54-07:00
CB-8000,fd4bcfc2ec94d0e85ad558d96496b310ee28741b,2014-11-10T17:05:45-05:00
CB-8007,dff78b0779444d06e259140694e07d5e8c5f5308,2015-05-29T16:07:41-07:00
CB-9335,989d4d18a38ab5dce61e3c77e1e8ab15a61da710,2015-07-15T12:24:11+10:00
CB-6209,6fae83eb036ca9d5a7f1ca89eb4f90cb9d00208b,2014-03-10T12:55:20-07:00
CB-8865,b18586b7223bd6ec9c5d85ac02e95862e51e92a8,2015-04-16T11:07:45-07:00
CB-207,161446a616044d53ff9bc1b597b1ab346553c5bf,2013-01-10T14:47:03-08:00
CB-207,4f9eebe86c02c64a38c76ddf8c18386d17f62fe9,2013-01-10T13:28:33-08:00
CB-4484,9f83b4ac892f41c855d3f9d41777dc855c50fb4d,2013-08-13T11:50:37-07:00
CB-8832,7058441f14f155968421f12001b2f31e4b3dd273,2015-04-09T10:40:59-04:00
CB-4472,2a7bcaeccf415f1ceaaed8f7c19f832add9e5d45,2013-12-02T15:57:11-05:00
CB-4472,933230a70d5e03282b4fce924e40db41e225d98f,2013-12-02T15:40:20-05:00
CB-221,235a8d27e812ca723bd606a258072da01de94360,2013-01-28T14:48:53-08:00
