Bug ID,Bug Fix Commit Hash,Date of Commit
CONTINUUM-1303,701d9b1aced4a49a6dd0a1a7c5c64550d359b660,2007-08-07T20:41:50+00:00
CONTINUUM-1788,8d5c2e25b78b0ddc4366bc9f9f01e986ff60797c,2008-06-02T20:34:25+00:00
CONTINUUM-1304,bdd87e2f7255d6e9e6df69c8230582e656fee0f8,2007-08-06T13:13:06+00:00
CONTINUUM-1547,721407a30d98e84b43e224ec5c2fd6597c607921,2007-11-08T08:39:49+00:00
CONTINUUM-1305,f85af9cd485f591dd447ccba6a327402c8be9a93,2007-08-07T09:57:05+00:00
CONTINUUM-1548,5aaddbdc1a94bb5284ccf6d84fcfe34cfe59123f,2007-11-05T23:14:59+00:00
CONTINUUM-2631,c80df042b6bb9dca82926fb0b2c5a805fda09ab8,2011-05-27T01:53:26+00:00
CONTINUUM-1541,2ec5665834befd8f9d5ae7516a5485f1eb3a5181,2007-11-09T16:27:38+00:00
CONTINUUM-1785,5a6b926b4a1a4b07ae5ceb7be89f359f92ce3a7a,2008-07-25T07:30:37+00:00
CONTINUUM-1301,f99f98100db1b263c9052e497340340514372761,2007-08-07T15:22:14+00:00
CONTINUUM-1544,67ec3f23ea7e2b2ea0b81239d8d99c43979bddfa,2007-11-13T16:36:11+00:00
CONTINUUM-684,3f42f5c1f48a8bfb69591c35e2425417f5355794,2007-05-14T19:44:47+00:00
CONTINUUM-684,9b63ca9a761c0b54c42ade7d8831533d0e91b600,2007-05-14T18:46:07+00:00
CONTINUUM-1782,04e9909d445cc751f814aa88030656e4eade7561,2008-07-18T09:45:36+00:00
CONTINUUM-1540,8c7b48f968d726c85b162a1142908f2717a670b4,2007-11-07T14:00:55+00:00
CONTINUUM-443,7446d5f53274e819452375b0bc0a81346c08952c,2005-11-14T14:32:48+00:00
CONTINUUM-443,35d815f7023409665246ffa9c164f691cfe6c80b,2005-11-14T13:32:45+00:00
CONTINUUM-2628,5c76e54c34e18cc6c6920fae5648b32a415c74f6,2011-05-23T19:08:15+00:00
CONTINUUM-2628,e8604e101b2ba29e3f479c4bf4bad78bf0a4b3ae,2011-05-23T18:10:33+00:00
CONTINUUM-2627,ab3ce2d3b3e627cd7dd04e279557def6e5f382e3,2011-05-19T10:49:18+00:00
CONTINUUM-1539,78c2557f66d9e6dff771b553930ceb6f7ce5f965,2007-11-08T08:23:10+00:00
CONTINUUM-2646,beddb0b715eb9768cf7776c55e35e18dc1115635,2011-08-10T06:48:40+00:00
CONTINUUM-1314,39022c52b85da655928fd83ab9837f824961bae2,2007-06-18T14:42:17+00:00
CONTINUUM-1799,9ab24a1654c2ddfaf8b46a3ed9cf2fbdee5cdb6c,2008-07-02T21:59:33+00:00
CONTINUUM-1557,dda7d9ffd0d54c67048a08276e24560923fd75bf,2007-11-10T13:42:26+00:00
CONTINUUM-2648,502b8909b148d38f7dba4644639731eca9386ab4,2011-08-11T06:22:12+00:00
CONTINUUM-1316,df03c6d902ba576da170e325898c4251d4cc2d77,2007-06-19T08:09:54+00:00
CONTINUUM-1559,87bda8e55261d9cdec239648fe10623bd00ba264,2007-11-11T22:15:39+00:00
CONTINUUM-1552,d8aa7fb195e3c96374c6cbfc202880fb8cb79356,2007-11-08T08:32:37+00:00
CONTINUUM-1310,07f1442a4de8618826b97441093211f759265e0d,2007-08-11T01:58:51+00:00
CONTINUUM-691,ca4b2c9f8fe17a8d4b47a70b67e116c83b578e1a,2007-06-07T20:45:12+00:00
CONTINUUM-2641,ed6988aa9df0bd7be92ce80e08b51fa9d0d5f654,2011-08-02T03:10:21+00:00
CONTINUUM-2641,eb5a48e9919f1b62ccba657f34fdf0ad7d1059b1,2011-07-28T11:29:10+00:00
CONTINUUM-1795,10332d6d46a9051dfee0e374c9a89f672366cb93,2008-06-11T21:08:02+00:00
CONTINUUM-1796,bd79b4cc4d8ea81640e3dd3c9cf9607c86ceab9f,2008-06-12T21:38:44+00:00
CONTINUUM-2643,d6444243949ee2a9696bdb0e9b2496328cca0204,2011-08-05T07:56:19+00:00
CONTINUUM-1313,b4dd02684f3631d360b8029667d7dfddb1a7d86a,2007-11-12T12:45:38+00:00
CONTINUUM-453,d181ee17be1b6f0c002a3cd09c64f7636c8f2160,2005-11-28T16:50:23+00:00
CONTINUUM-1792,fe9a4822d7f89098dc3d23f8f29e56a3229867d3,2008-06-11T23:01:22+00:00
CONTINUUM-1550,c86d445ac79c538a19242e7ec6ad107117d48792,2007-11-08T08:36:38+00:00
CONTINUUM-1551,028773e37a5a3edd253b5e5d42e1d9e679bc9910,2007-11-12T17:06:35+00:00
CONTINUUM-697,e60aec69316ab92673b7a27b6b8140e4a5e2a61f,2007-09-19T10:07:32+00:00
CONTINUUM-454,e6c48549bba232c89d6e082b2ede2111b6af0d7e,2005-12-01T13:24:09+00:00
CONTINUUM-454,e2ebc32088ffd4fc7a8d2afd13cde6bd99c96006,2005-12-01T13:16:44+00:00
CONTINUUM-449,a1f917076e6120fe088205afa1cfadfdb54af243,2005-11-16T09:44:15+00:00
CONTINUUM-1308,dd6f1431dedd23764ab0bd68e83ab356b7d49853,2007-07-12T18:15:44+00:00
CONTINUUM-1309,231eff72ef0123aaf8321e8fc65ee23995e2fba8,2015-02-19T00:05:34+00:00
CONTINUUM-2657,a030c84cd2dcd7e269003ce4d7fa9349983e055d,2011-08-24T05:24:20+00:00
CONTINUUM-2656,a4abf0a2e40ae7fe7ca63723ea2731a6ae8e30d4,2011-08-26T14:32:02+00:00
CONTINUUM-2656,3355f56ad9cc5edf35bb64c1fb473b5cf077e60c,2011-08-26T06:56:47+00:00
CONTINUUM-2656,4853724108a350ed08abe1a192abfe317c8408c2,2011-08-26T03:45:05+00:00
CONTINUUM-1569,0576608cb8abb5a9586ba482e854505cd3f698bf,2010-05-20T07:30:43+00:00
CONTINUUM-2411,8946376dc642b8a6d14661aaf3e454d6c5274a29,2010-01-12T02:25:34+00:00
CONTINUUM-2411,97d87a8024cfe17616b4fe81ece482ffda3b5ea0,2010-01-11T07:45:04+00:00
CONTINUUM-1564,0f68efc7b4fec70fd9561c34ae794e35ca29e6f3,2007-11-13T22:09:42+00:00
CONTINUUM-1560,de044636a7f387ada6ef586970aa282ccc9b375d,2007-11-14T09:50:09+00:00
CONTINUUM-1561,173a0ffadeb979cf29d2aef366f07b4b9d4ff85e,2007-11-13T21:47:28+00:00
CONTINUUM-2650,6da9110fa2620d4c7dcf4566fad2e2348ef4d4ed,2011-08-18T07:08:57+00:00
CONTINUUM-1320,24dbf0d6a836e6d59a02ce40b9c526ff9a5938ca,2007-07-12T14:06:36+00:00
CONTINUUM-1337,deebb8377f582ea485df49e92b7b6dcdd138ba33,2007-07-09T13:51:03+00:00
CONTINUUM-1338,534f0b8be34d1395bec294472a825294a83e9196,2007-07-09T13:56:15+00:00
CONTINUUM-2669,f20cf1585ca77fb526ca88fe0fbec779e8f028cb,2014-05-29T10:31:08+00:00
CONTINUUM-2669,6f31a289e787ce346a9138428850a5d81362f841,2014-05-14T15:09:27+00:00
CONTINUUM-1339,85f21dc6b380cf52742c3a743cc52403e33b6b05,2007-07-09T14:57:13+00:00
