Bug ID,Bug Fix Commit Hash,Date of Commit
CRUNCH-439,afcfb66e871e817929ab066ed1c47fd150443482,2014-07-06T19:07:23-07:00
CRUNCH-318,b4cad9454bac13761091298c0f2a2e470c40ab2d,2014-01-02T17:53:31-08:00
CRUNCH-437,ebe3061260ee02752536384ff1f7d9cf72d09831,2014-07-05T19:16:51-07:00
CRUNCH-316,64c20ad9c2361786c225d874561511ec62dd408d,2014-01-02T20:30:47-06:00
CRUNCH-316,633438c1cfc7f01957dac46546502db05a24bc74,2014-01-02T09:14:08-06:00
CRUNCH-559,e884bf238bdb9443d091690e8db19f5c2ed4c6df,2015-09-09T07:24:48-05:00
CRUNCH-556,366da2ee0996c573ecb3a3094a29d697ec539db3,2015-08-25T14:28:39-07:00
CRUNCH-435,8434dcaab5504e69c42b914551634b2a9ac838b2,2014-07-06T17:57:00-07:00
CRUNCH-314,58eb227d78e6b1a32a334f83913df275ea1c7811,2013-12-21T11:31:07-08:00
CRUNCH-312,9cde3d9005ede9281950a7556d3558101466b3ab,2013-12-20T09:09:02-08:00
CRUNCH-434,e1bfa47e8c77c96bd62334cc3e4cae36c29085da,2014-07-04T16:20:33-07:00
CRUNCH-313,316ccb6bfb8579ee6c269be80ed78e18e83a6402,2013-12-20T17:15:06-08:00
CRUNCH-552,29d1ce4cddcddc86cda36bd464c26df4bdff3ae4,2015-07-27T19:07:12-07:00
CRUNCH-553,3a1d474b0514f02a5ce46f6db1fbe2e8abcb03be,2015-07-27T19:35:30-07:00
CRUNCH-432,dac78384a0a7c493244b56ea5deae332f05b26cc,2014-07-14T07:24:56-07:00
CRUNCH-671,51d9443f5be3d67588e4c3a974f71ea02158d39e,2018-08-13T13:32:22-07:00
CRUNCH-551,2f5b33ead752deb4796989f56f9aebf6e3330286,2015-07-27T19:21:45-07:00
CRUNCH-99,69105d07b5c5b36d132a3f00e9ac191067db808d,2012-10-24T16:00:35+02:00
CRUNCH-309,22965cf87e2793ca79048ac48adf7b41dda23ea2,2013-12-04T09:44:04-08:00
CRUNCH-428,8027f706ae47b613c6f0e96e0ee9f7ef21d1d6ed,2014-06-25T10:12:22+02:00
CRUNCH-429,ace392bde724273b1d300f7b01c4648e9e1b9060,2014-06-26T16:12:25-05:00
CRUNCH-308,a959ee6c7fc400d1f455b0742641c54de1dec0bf,2013-12-12T10:28:25-08:00
CRUNCH-547,95e92fc898329b5b762e0a76be1b3396d61430b4,2015-07-23T10:15:09-07:00
CRUNCH-426,ac816fd44bfa083bee4a324fbcee7998f9bb8044,2014-06-23T14:22:24-07:00
CRUNCH-426,c70f2cc39669db35be05556d09e8e7d08534705c,2014-06-23T14:12:20-07:00
CRUNCH-548,9146d10dae2452e699ac9506f5bbe754902dfc32,2015-07-23T09:49:51-07:00
CRUNCH-303,e3b0d13f3d6ba01e5ff41f4b3e7c4f794f11d3ec,2013-11-26T12:30:44+08:00
CRUNCH-425,2d20e7772beee8f588431c6767b411895be94f6c,2014-08-24T12:39:35-07:00
CRUNCH-304,23bad11d6a2f89f1d069ada121f3cf6d08e7f614,2013-11-29T12:03:31-06:00
CRUNCH-301,fb172fd84e35b4a81c4d344961259acd05f936e8,2013-11-21T12:57:24-08:00
CRUNCH-302,2a8b6c1498f0a0eff3f595652f1745098beca8d5,2013-11-21T17:40:36-08:00
CRUNCH-420,fd0bce36b918621ff45149e877848b14da3b8fed,2014-06-19T13:02:40-07:00
CRUNCH-421,9898ee92fc36fed739201fa0b2593175519b2ab4,2014-06-16T15:59:44+01:00
CRUNCH-661,614364aa9e005ac350481869cb18e3e44b0d1c3a,2018-01-18T13:12:39-08:00
CRUNCH-540,2bd612eb9c115f857f5776f58fbd336028a438b3,2015-07-07T14:16:07-07:00
CRUNCH-88,b0165faaea013a0d6124308154039c33c7b85002,2012-10-06T09:08:08+02:00
CRUNCH-89,ef10e80bcf6b069c1e7fb89afda6855e0c92f2a0,2012-10-05T08:49:13+02:00
CRUNCH-90,7fef772cf379a640697b175ad2a485439cc19f3a,2012-10-08T13:15:07+02:00
CRUNCH-90,8b3cc0015164e33bb0edd5f88c6b7c767a4529ae,2012-10-06T14:34:16+02:00
CRUNCH-419,96ef2d679c9a7bf6c2cb80190e0646f94f558482,2014-06-11T20:04:10-07:00
CRUNCH-417,2ef8c1678369fd84705a24ac99d35be7a744fada,2014-06-16T08:14:59-07:00
CRUNCH-539,a727606eaeaea2d78a161685d9d29217864e6846,2015-07-09T20:12:51+02:00
CRUNCH-536,7f85ee5816a19eca0e87ce503ea0b03ea294433c,2015-07-06T11:49:46-07:00
CRUNCH-415,b4486cc9c1bdf1d53aebf62c2b28e9ea153d83e1,2014-06-05T20:20:26-07:00
CRUNCH-535,1f5323bd18115f24f02234788f9d6073c64a916f,2015-07-02T07:47:36-05:00
CRUNCH-411,bea44469e5d3cd3925a26986d85fb146f43874b8,2014-06-02T17:46:24-07:00
CRUNCH-530,484545a583603f9b69ef87c7b1c981d0267b1275,2015-05-31T19:04:19-04:00
CRUNCH-93,82a978299d1f51db74789e97dc267f3275b29619,2012-10-19T11:01:53+05:30
CRUNCH-93,1cee024c65938606d0d5794fbc4d10a1135f0f65,2012-10-19T11:01:52+05:30
CRUNCH-652,ae0221f34cd03ee988d20c986932af762493f2cb,2017-10-26T21:09:31-07:00
CRUNCH-531,d4da529985593ecf84c057938baf706a144e9024,2015-06-25T08:55:21+01:00
CRUNCH-94,c3ba38e24f8aab79726e3f81605bec29ed957f84,2012-10-11T14:49:22-07:00
CRUNCH-408,fcb1aa4158f90001c114daa90d68ce99fd8870e4,2014-06-01T20:41:01-07:00
CRUNCH-408,fcb861edce7a5b2a76e2a21300b054932174bc47,2014-06-01T13:29:46-07:00
CRUNCH-527,06688d55ee306a52d243b10de017ebeec913577a,2015-05-26T09:42:44+02:00
CRUNCH-528,626853abb7f996107941875653b8292f462ba3b9,2015-05-28T08:59:28+02:00
CRUNCH-525,9bb526fd1f67c06641c24e29a3e2b1078877e9f2,2015-05-22T11:21:21-07:00
CRUNCH-404,9ddd029f48c74061980c7f15187c474d288095ee,2014-05-28T20:21:55-07:00
CRUNCH-86,255800fb35701657c66057a30c288f320f5e2dac,2012-10-09T12:09:53-07:00
CRUNCH-524,6c8c5ffd0447da82e63cf0b74ed2026c77a0c554,2015-05-23T21:34:04+02:00
CRUNCH-403,a62a24b6f80666d92cac2b6dfa5c088e51f26ef6,2014-05-28T20:07:36-07:00
CRUNCH-87,eda3c776b34ba58eabd11674cac668ab4a40bfcc,2012-10-07T10:15:25+02:00
CRUNCH-401,583ea6dabc457ec69f316b52548b1dc92f99dda1,2014-06-01T18:52:42-07:00
CRUNCH-641,afc171fb7ad06a8c0a12fb00811874a99bf8d310,2017-04-12T15:03:41+01:00
CRUNCH-520,d0bb205eaf236bf1d81b9070a2db3428cb90a161,2015-05-20T09:31:30-07:00
CRUNCH-592,b5b7f48ebf5a88b69084dcc08be76b8819fc00a7,2016-02-10T16:02:31+00:00
CRUNCH-471,3740f3b1b955d1258cc5f1105f1fe97b8109002c,2014-09-24T14:11:38-07:00
CRUNCH-350,6a4f9977c452635766801ef620f3ee28bfafd070,2014-02-20T20:56:26-08:00
CRUNCH-590,6463da4218568d3d3fd82a33930f8b7cc57c1288,2016-02-02T11:05:04-08:00
