Bug ID,Bug Fix Commit Hash,Date of Commit
DELTASPIKE-327,320aa8ceae097f29959172ce48e254aa9571111b,2013-03-24T21:56:25+01:00
DELTASPIKE-206,d11e3ebe6bd0d1d9ce3a3c42b78884dcfa7532fc,2012-08-06T04:16:50+02:00
DELTASPIKE-206,f468e453233c8b66f3457526c4ba9fc1c478bec3,2012-06-24T15:38:38+02:00
DELTASPIKE-1087,265f9a0c04350b3b21ec8e00dbcd1279efd31107,2016-03-02T20:46:41+01:00
DELTASPIKE-568,9c45305c6c3a45a620d7ed2ccde47d34556d6d60,2014-04-12T13:42:57+02:00
DELTASPIKE-205,8aeccd5b95901c739d36113d62a1c8976af85965,2012-06-19T20:36:37+02:00
DELTASPIKE-205,465127cb392d99878f61fc48a35089f12c4ef85b,2012-06-17T12:38:12+02:00
DELTASPIKE-208,e56f26140787fbe76b3c155c0248558287370e2c,2013-05-22T17:01:50+02:00
DELTASPIKE-1089,946b88a7ba2738411c203d414aab7548ea549e46,2016-06-01T21:00:59-04:00
DELTASPIKE-207,439252fa891916db0ac1ae1673eafa954bb8f288,2012-08-06T04:16:05+02:00
DELTASPIKE-207,c32050e080f598848f27aaeefd6c4283fba6a401,2012-07-19T10:08:46+02:00
DELTASPIKE-207,2bb1b2b990d67ea678cc450ead476b6bfa37476a,2012-07-18T14:51:48+02:00
DELTASPIKE-207,0f4c52dbfe97f62641cf1713399335b86ca768c2,2012-07-11T09:44:36+02:00
DELTASPIKE-207,5819dc89013b6075a6eecedf0f62278c25bf00f9,2012-07-11T00:04:00+02:00
DELTASPIKE-207,e5e9da7944780939af3db567b585b3fdaaab8536,2012-07-08T17:20:05+02:00
DELTASPIKE-209,562e984a42fc42daebf0ae05cdee492ed083ce9a,2012-06-20T12:53:24+02:00
DELTASPIKE-681,3a270ec59e1dc58f5e98fc0b40e997102ae57325,2014-08-05T23:22:18+02:00
DELTASPIKE-684,72bbb515b772e3364bf2420b39931a085a61f699,2014-08-14T12:15:21-03:00
DELTASPIKE-442,4c410f32f951085a0f03d256649c833cd00996a6,2013-11-19T19:59:14+01:00
DELTASPIKE-321,7d9fd5dc8c68f608525fcd12b1633ca0a0ab8e89,2013-03-18T22:17:23-04:00
DELTASPIKE-321,3faba994349f0fbf7fafb7b99f0620f0063b8f0d,2013-03-18T10:56:39-04:00
DELTASPIKE-200,54744b7231b2018dab6f893cbc2be88018081b31,2012-06-15T10:14:09+02:00
DELTASPIKE-200,01d4f0cdf356f7b7159f518872dfe6d117cf3456,2012-06-15T10:03:00+02:00
DELTASPIKE-320,d860a471e7ebbfbfd89815dd26ccb96944d61dd3,2013-03-13T04:42:46+01:00
DELTASPIKE-323,d2e84a3a37fcbdfd4c9868e28d3fc34573973354,2013-03-20T19:20:55+01:00
DELTASPIKE-202,4cebd064256778d75dc9e94169bfcb85ccbf0805,2012-06-27T23:54:52+02:00
DELTASPIKE-202,d907379c83fee8ac3c68a08500ec2acc439a08c6,2012-06-27T20:22:39+02:00
DELTASPIKE-202,dfb062768a851275c8d346fa55ab85a360731ba9,2012-06-27T19:51:56+02:00
DELTASPIKE-202,408445efc3acceac1a17b92f07af037017d48746,2012-06-15T18:49:09+02:00
DELTASPIKE-202,c75903ac9edaec804cafcea3f0e07f725c63771d,2012-06-15T16:30:16+02:00
DELTASPIKE-685,9a74d8a2844a55eed7a2a0b49e1153d1bd5497a0,2014-08-13T13:02:52-06:00
DELTASPIKE-446,a848381293cca9f6ae4ec473c0e53baa92ed8378,2014-01-19T16:54:53+01:00
DELTASPIKE-446,7f05f64b0073e3e75ad357b80150da947c4c8c2b,2014-01-19T13:53:44+01:00
DELTASPIKE-566,204b00d48143739a1292e59571ec73005fa65264,2014-04-09T22:09:20+02:00
DELTASPIKE-1196,6105ac520e8eb0f8c5a6c2c4eeb554aa4362f97e,2016-08-20T08:41:33-04:00
DELTASPIKE-679,1d3dc077f7f9d3316a13e37448934c97c1bc2257,2014-07-31T08:10:26+02:00
DELTASPIKE-799,60b8bf547f05bfcc180c3ccbdb590704baa963d3,2014-12-12T16:45:59-02:00
