Bug ID,Bug Fix Commit Hash,Date of Commit
DIRMINA-15,69ad1473066c1d23b2b03afc6ba4e93708555590,2006-01-26T01:47:41+00:00
DIRMINA-15,9a430f1be21d9f156386640b9622db0a3a6ff844,2006-01-19T20:27:24+00:00
DIRMINA-15,0479c1950cceff40cb87a9c51217909caf203820,2006-01-19T20:05:05+00:00
DIRMINA-15,40e72b428eba8664a13fe87993d3a4324ecedfd4,2006-01-15T14:38:09+00:00
DIRMINA-14,30a0b5dee0b00b4037b1c95d116f7b45f4af624d,2007-11-05T02:03:44+00:00
DIRMINA-14,24a9599436b016e922f50b02a6d0bd290a9964e7,2007-11-05T01:51:55+00:00
DIRMINA-14,9792d53c553fdc80d6c8d84a21cc268d2c888586,2006-01-24T05:31:44+00:00
DIRMINA-14,ff95b9683f62222d7111f1b612acdef1f5b0e723,2006-01-24T03:39:06+00:00
DIRMINA-19,e9dcc85a405c75ca0315a6a21f6118d680112b31,2006-09-13T19:50:43+00:00
DIRMINA-19,83cfa40ecb4d31021db7a35c6b767061d95aebff,2006-03-23T07:39:27+00:00
DIRMINA-19,a1304492e48bd4a27b795b335378a5e39b5f3ed2,2006-03-21T05:34:44+00:00
DIRMINA-19,377911b2e0fb2490cf2ab939fd99e933df0cb48e,2006-03-12T09:31:32+00:00
DIRMINA-19,b4f6595f2352fa4763007beb26b9205838355e44,2006-03-12T09:26:39+00:00
DIRMINA-18,c7b41628bbfd46b3e26e2faff809cadaadccc28e,2006-05-14T17:46:56+00:00
DIRMINA-18,b8acf1011ddecf64a72cb37e7338ac56c1577ead,2006-04-28T21:45:56+00:00
DIRMINA-18,1a092a38d79058266cbb8c0ec860fc32f29c976e,2006-03-23T08:23:45+00:00
DIRMINA-18,dfd1f6fda504f094b52ed794ba0aab26fc21e1d9,2006-03-12T04:52:01+00:00
DIRMINA-18,c1f08bccdcc92b237cefe276147d383b59f4ae15,2006-03-11T16:00:31+00:00
DIRMINA-18,6463e0928ed3a85bd2c8f0d68a2ae375a786c3d0,2006-03-04T05:23:58+00:00
DIRMINA-62,450c0acec4f820ad34645e50b0afa2a68e5966a4,2008-11-19T01:08:21+00:00
DIRMINA-62,a2d136046f67d5fb29bcb7b5b98a137d61549349,2008-11-14T09:27:16+00:00
DIRMINA-65,0f57cd3748633371c0450366d55faf02cfc82d08,2009-12-10T13:03:58+00:00
DIRMINA-65,1f1b0feec7f18e2649d0debec6207f8f543c1515,2009-12-10T09:20:32+00:00
DIRMINA-65,5d4a65bf35dfb173177de5bc67acd24c330a6cb3,2009-12-10T00:04:19+00:00
DIRMINA-65,40e1c38c4d772c62d0b73c26dfabe53a5b10b674,2009-08-24T14:55:05+00:00
DIRMINA-65,eb0ea58142fa19c96a4004fdd5e1c02b64b7ade3,2009-03-19T22:42:28+00:00
DIRMINA-65,4cf3824a7cc63fd43244c5c75b4d1826a0846800,2009-01-27T23:25:41+00:00
DIRMINA-65,9c1600b434e85ce1f5832030d5cd98fba812f515,2009-01-12T22:19:21+00:00
DIRMINA-65,2b6236119c785258eaf18636a70547d433e899df,2008-12-24T01:28:51+00:00
DIRMINA-50,a645755dd1fe1e419fb524e064c01e97fe9c64fc,2008-01-15T05:51:59+00:00
DIRMINA-50,51aa3b5b1b556c32b5361852a8943da44a0b8921,2008-01-15T04:41:31+00:00
DIRMINA-50,cac7eea29110cdf0d64b9e7cfb24412f19da4b35,2008-01-15T04:08:44+00:00
DIRMINA-50,f5ac8af074bc881d0215ac52df92f9f2d1e87e17,2008-01-10T05:00:22+00:00
DIRMINA-50,174428a2caecf4bed7f1718400b9459704a82aea,2008-01-04T16:29:40+00:00
DIRMINA-50,42197edbae216ee072f38628779315f1a66e5fa6,2007-12-28T03:43:04+00:00
DIRMINA-50,315429bd704b868170069434fa6dde5e7c372f74,2007-12-27T21:34:55+00:00
DIRMINA-55,92d4586b9a99a4d4344fb526ce5f84ab23790b02,2008-03-25T22:22:35+00:00
DIRMINA-55,78db42194ebf4d8952671af1535baf1d31fc04ab,2008-03-25T22:17:40+00:00
DIRMINA-55,d36ca5b2e0c65b198272e31972d97a19bce386ff,2008-03-19T18:36:43+00:00
DIRMINA-55,e00d1cab66618d4e5cc0148e4e94040643f7f6da,2008-03-19T08:48:28+00:00
DIRMINA-55,0fe4f9bac1aad2ff40b77433f18ea54b2b3b9f07,2008-03-17T06:39:20+00:00
DIRMINA-55,fa6b003905b9c3039ac4b4c11289483f25dde5c9,2008-03-12T07:36:04+00:00
DIRMINA-54,7552914ee19534ce18409bca581723551f6d008e,2008-03-17T14:50:47+00:00
DIRMINA-54,73cc4a1404c9e295c849f5c921c849d387dd0ae2,2008-03-11T14:03:26+00:00
DIRMINA-54,d8b2599c359d1def795da082e92c56b022d2e274,2008-03-11T10:18:11+00:00
DIRMINA-54,36d1051f439a6a253a20dff28c99e9c544491c49,2008-03-11T07:35:18+00:00
DIRMINA-54,12e38140c5de3fbbe2595a9cc804045b128b5609,2008-03-10T10:35:00+00:00
DIRMINA-54,c0347ddda617cc001368fc7cd21792f49f49ef59,2008-03-10T09:04:45+00:00
DIRMINA-54,6ac1e8b309fe3044f71197c58a0f09e07079fb01,2008-03-10T06:34:13+00:00
DIRMINA-54,4cf87c2961cd318ae7bb901bbe4bb801c0dfcda9,2008-03-10T05:48:44+00:00
DIRMINA-54,81865bcc94f9d86f8b6a8627a8f0387540999fd9,2008-03-10T05:45:59+00:00
DIRMINA-59,dcba81eaa2031d984aa69e083c280e882b167811,2009-03-23T10:38:28+00:00
DIRMINA-59,f365b75a7dd9abf3fd540d81fec44bec3628d924,2008-06-10T13:20:40+00:00
DIRMINA-59,3ad83b044e6a3e7740424cfb766cd78fddb11f2a,2008-06-09T14:36:09+00:00
DIRMINA-59,4ceb53d54f5b6c8b0bad594c0e34a89ae76fee2b,2008-06-09T08:34:59+00:00
DIRMINA-59,748644dae9eecd1c7c46ffbe60c03c474e44f2a7,2008-06-07T11:22:49+00:00
DIRMINA-58,1764aaffc322b5286e0e4b4b12eaa4565d0a1341,2008-07-22T06:56:35+00:00
DIRMINA-58,89734ea88700b181551be5c77de90ee95a016144,2008-06-06T08:23:38+00:00
DIRMINA-58,912960d46a3d1a089d7a21b5ccdca9bf50a51159,2008-05-20T02:17:19+00:00
DIRMINA-58,1f9d3261f4aa65f4ce1a0a593f88258c89f98e97,2008-05-15T07:48:44+00:00
DIRMINA-58,749a222b4fa9cbf0783eb084a9de8c36e71dac84,2008-05-14T04:50:17+00:00
DIRMINA-58,5468d2cc684f39aa75349314a315a0b56b4d89da,2008-05-13T03:26:23+00:00
DIRMINA-199,e9dcc85a405c75ca0315a6a21f6118d680112b31,2006-09-13T19:50:43+00:00
DIRMINA-41,303df69552b021c6cb7d6f3fb97070808da0be1d,2008-08-20T00:07:55+00:00
DIRMINA-41,2764c02d518e960bc0eb83cab3c493a088b9ab64,2008-08-13T00:05:41+00:00
DIRMINA-41,8548ce180cc2d85a05e5eb3acb6483a289edc1d5,2008-02-29T05:24:34+00:00
DIRMINA-41,654f07f7fe3120dc99b1a240a9f5cf00ba13a076,2007-08-18T02:27:05+00:00
DIRMINA-41,81ad01120c84f7707672d4fff78babae81fd0cc5,2007-08-03T05:53:44+00:00
DIRMINA-41,458f083dfb2280366abafc85e4274ed47e8a1113,2007-08-03T05:28:02+00:00
DIRMINA-41,132c4ed5f988a0c39be40168f9cf19e43588c033,2007-07-31T06:12:43+00:00
DIRMINA-44,f58daada3640d0d8caa143fb516e4976e421f8a2,2007-11-14T06:45:49+00:00
DIRMINA-44,33dab1ed8fb913fbae1f7ca7f8d21b88d51d97ee,2007-09-30T18:33:00+00:00
DIRMINA-44,2db41f24e0b6a75ca343a09b2f4912f7bfd17ccb,2007-09-30T15:41:09+00:00
DIRMINA-44,292365568b54dd4f4f8005ed1ad77ff32ca986bb,2007-09-29T21:49:33+00:00
DIRMINA-44,8164cbb110e9ce353e27feeeaa2c0ed4d3ce5859,2007-09-28T19:21:10+00:00
DIRMINA-44,191cdf004666c4fc7a93647c24c6be72168d9e08,2007-09-27T14:46:24+00:00
DIRMINA-44,cceb46d33f5def88a6ac80a98544d34ae781e943,2007-09-27T14:37:00+00:00
DIRMINA-44,c7bccffecc611ccb57d6ee33815956aedd9cedd1,2007-09-27T10:43:44+00:00
DIRMINA-44,82adc106d3463c1de208c7769d0c8c70a332256e,2007-09-21T13:55:10+00:00
DIRMINA-44,cac05068ea007b36449c9a67d39fb446c837a145,2007-09-18T01:41:29+00:00
DIRMINA-43,e53a207e999c64f06fa2a444c30bbcaa1db7873b,2007-12-04T06:38:46+00:00
