Bug ID,Bug Fix Commit Hash,Date of Commit
DIRSERVER-1096,b33331d1a786e1002e5fb5842fa303a8ac4269d2,2008-07-09T18:45:39+00:00
DIRSERVER-1096,6043ea6dd1d8fdbf84437b6d770a9906c4e084b8,2007-12-12T23:00:06+00:00
DIRSERVER-1096,f7df33afbb645975ee61330a69afe89a4f36008d,2007-11-11T11:46:45+00:00
DIRSERVER-1093,f332ef24f931598808450b5d22aa2925dda28052,2012-02-28T02:18:04+00:00
DIRSERVER-1086,d966dce4a7e6330a16ec002e5abe89ba498ee6e1,2007-12-12T22:41:48+00:00
DIRSERVER-1086,84182f687e9ac5ec1269d712788acf8f88880217,2007-11-01T14:36:26+00:00
DIRSERVER-1086,ec075658573882d5053394f866cea8cd2bfc142e,2007-10-14T22:37:51+00:00
DIRSERVER-1085,3aeb3d4346bf8fd517676d871a3d3497479286d0,2008-06-14T09:23:18+00:00
DIRSERVER-1085,12f760ef3a7549480b3108cec4aa5344eb59c6c7,2008-06-14T09:22:48+00:00
DIRSERVER-2173,4267b6fc182b974cd90a0c484f9a4eea0e6a809d,2016-11-20T20:25:42+00:00
DIRSERVER-2173,5f10366a3e67091ed59337efb7ec7c7dbb0be454,2016-11-20T20:23:55+00:00
DIRSERVER-1080,6f485119e96987ab1d74b1d6e96c6e4ebc04a9b5,2007-10-04T13:15:48+00:00
DIRSERVER-1080,7aab60ecfe0337206329cae17dabd4b826454614,2007-10-04T12:20:20+00:00
DIRSERVER-1080,b3d98a3324d7b8b9f9472225475480e31a5c9173,2007-10-02T20:06:53+00:00
DIRSERVER-2197,cf28db76b3fb5d759fa6cdf64949f8ce52c18f6f,2019-06-23T22:35:57+02:00
DIRSERVER-1909,0ec870277dea5497d478886bb7f9eba4838151a5,2013-11-01T18:08:00+00:00
DIRSERVER-1905,5109b1697c3b59c7ea2834dcc062d357fbd91ad5,2013-10-09T09:49:52+00:00
