Bug ID,Bug Fix Commit Hash,Date of Commit
DISPATCH-1180,86b4c08a414bd1cb56e7c5e670f78edbf126ac86,2018-11-11T15:55:36-05:00
DISPATCH-1180,b560bd887eff1b79022a438f94d438e666042e4c,2018-11-11T15:54:33-05:00
DISPATCH-1180,65b70d809a5260d59f298c51fdbda409745607d0,2018-11-11T15:50:51-05:00
DISPATCH-1180,6d55f1d10e5665d920e2bc9a24c09221de81493b,2018-11-11T15:49:30-05:00
DISPATCH-1180,58fd3d5b6620e3f69d726ea1e20bfc3d1e5c23a9,2018-11-11T09:08:31-05:00
DISPATCH-1182,effa124668c3bb1c38bc7deae1282f73e1390131,2018-11-10T19:31:59-05:00
DISPATCH-1061,be5c1648d9c799fe38fda28448bf0f593198668a,2018-07-03T08:41:46-04:00
DISPATCH-1181,48845b99848de3864bbe4246376237d5762b2de8,2018-11-12T20:37:44+00:00
DISPATCH-1181,7699d55b057e5493fef37e3b3454feb7b35edfc3,2018-11-12T10:03:46+00:00
DISPATCH-1184,dc2ed28417f4f012a869b46282644ef191ecec10,2018-11-13T11:06:14-05:00
DISPATCH-1184,368e181087109f8f838aa3557282e0cff1aa2864,2018-11-13T11:03:53-05:00
DISPATCH-1063,e2f73cdc27fdc81fcc92d0cb882323562b119f5d,2018-07-05T13:38:36-04:00
DISPATCH-1062,0e6932fae833898ab0f44addff17f5215cee5dd4,2018-07-11T13:06:40-04:00
DISPATCH-1062,d9c747d4993fcf5deaca894e1d0a2c56b16b58cc,2018-07-09T16:31:05-04:00
DISPATCH-1062,31666130b42327b9a2219c1898e3d7c9321e0023,2018-07-03T17:19:45-04:00
DISPATCH-1185,3c09709ba3abecf7a096b5d0a9f154f3a62a1c5e,2018-11-13T12:25:13-05:00
DISPATCH-1187,81d2555db47ce02ccb31a0631956a23c5a0c7ab0,2018-12-06T17:10:08+00:00
DISPATCH-1069,936c46b193c07a7fcfc89e71c490ad092e7cffa5,2018-07-19T15:33:30-04:00
DISPATCH-1069,f87a33389b268ef5fe20a8b08179310f1c135d28,2018-07-10T19:45:35-04:00
DISPATCH-1189,d05c129d9611bb6ac4ac49c6dc5ba0edae1c5b80,2018-12-18T13:10:39-05:00
DISPATCH-1190,dc6b9a70936c26f291cb3546d2bd48fc14f9f2fa,2018-11-26T10:22:35-05:00
DISPATCH-1072,aaf5f2cb79a43c9ab9eae110728b3d96c0e3d517,2018-07-11T08:04:17-04:00
DISPATCH-1192,f4192a303424824f3b74d4e281e1d7efb2ebfab0,2018-11-21T09:22:01-05:00
DISPATCH-1071,ef4776e28499c09f40bb2b4c3be99075bf547d2f,2018-07-25T08:34:57-04:00
DISPATCH-1071,b76a43f24e63e204af3895a44e759835d234bac7,2018-07-24T09:35:33-04:00
DISPATCH-1074,51cba5cd7e04c5436ded3986986035c9b29b5bc9,2018-07-17T09:28:42-04:00
DISPATCH-1197,58567f979deef3ecc4d797610f92539396de5f40,2018-12-06T16:52:25-05:00
DISPATCH-1197,417975e17406dcc48a648d9fc6da38651a4ff956,2018-11-29T12:35:14-05:00
DISPATCH-1196,ea579f9119f8088c55841c6c924b0d77caffe314,2018-11-28T10:25:17-05:00
DISPATCH-1078,6a4d571f6c7cd17cbf2c1df313273e403d689ffc,2018-07-17T09:22:22-04:00
DISPATCH-1198,3b0bad1438167494ee88b1c8b755d1935fe5b51f,2018-12-04T12:08:42-05:00
DISPATCH-1077,69af7476e1631ccfd1a223daec943f9aaad18570,2018-07-23T07:10:48-04:00
DISPATCH-1081,6689d5f1d6dc343ab0482befcf3286479aef2e04,2018-10-02T15:17:35-04:00
DISPATCH-1080,0f092ac43d7fef50304dddd01b4451e41ddca75e,2018-07-18T15:36:24-04:00
DISPATCH-1080,1b39fff04f7d8e15f0762183d1d4b4c3a801739c,2018-07-17T10:57:58-04:00
DISPATCH-1083,ce81ad8fe406dc92323d3ef406baa46754c1d857,2018-07-18T13:02:00-04:00
DISPATCH-1085,9fe78f2cd87568a8737203f0c0f5311e12283a3c,2019-05-03T09:33:43-04:00
DISPATCH-1085,22ef3d167b47fe243344908ef48fe44910e476ee,2018-08-06T11:40:56-04:00
DISPATCH-1084,53493714c631ebfdaa0687525a0da531b44f1ea9,2018-07-23T14:29:04-04:00
DISPATCH-1087,30ff7ff1d54b8f280b36f76dc8c340cb4c88567b,2018-07-25T15:00:42-04:00
DISPATCH-1086,194747dcd4ddf6973a6f5f85e893f769706fa47d,2018-09-19T17:50:36+01:00
DISPATCH-1089,7a77931a16d272fda58c4b7b854de041fa6df1e7,2018-07-26T16:29:43-04:00
DISPATCH-1090,03ba19e6534a7779970c59c4c9fb2f9ee6e3a2c8,2018-09-10T13:46:03-04:00
DISPATCH-1090,0a8d4328580f805d490be32d7b8af7cbcc0e4d64,2018-09-10T09:48:55-04:00
DISPATCH-1092,ecfd325276cadc8c5da3e81159e30aa8ed582fef,2018-08-01T14:21:11-04:00
DISPATCH-1091,7285a47dcdd255af5ecc8d9c95fe8bdd28fb981d,2018-07-27T15:38:23-04:00
DISPATCH-1094,d28002a492abf73f9a12ad13c2a7c43007ca52c7,2018-08-06T15:55:28-04:00
DISPATCH-1093,69c093f939e5fc106701665588cf2459e6f961d1,2018-08-03T15:50:14-04:00
DISPATCH-1095,5e7c75d9c20a85be48854e14f8e40b4fcceb73c5,2018-08-03T09:20:16-04:00
DISPATCH-1095,a1585a9c3f3f5ed2aa34c7b95c357256aa9e534a,2018-08-02T15:55:43-04:00
DISPATCH-1098,18c73aeed0e0ae906eea3a903121c03bec815088,2018-08-09T15:52:35-04:00
DISPATCH-1097,e545dd9cc3c3bc967e04752b6c28414987a86e63,2018-08-07T11:16:58-04:00
DISPATCH-196,9cf04d3f52c6f52518b2a8a7643af62b3a0d9984,2015-11-25T07:57:52-05:00
