Bug ID,Bug Fix Commit Hash,Date of Commit
DOXIA-177,84d836f5dd000a4c734ce5280a422710c515e035,2009-08-21T11:58:39+00:00
DOXIA-177,93c86be47e606d76de10c744f0ca8d6eaa3fa046,2009-01-18T16:00:44+00:00
DOXIA-177,cbc5599d663ccfc647472b4576d998cce828f588,2009-01-18T15:59:51+00:00
DOXIA-177,e233a36748580f26006547e4eff420877d7a3eba,2009-01-13T15:33:16+00:00
DOXIA-177,35661dd892dfb93a4b06206ff5e02b898a3d45da,2008-10-25T13:36:50+00:00
DOXIA-176,586fb4ab3fccf56cfa5796d28ca4ec51908a7e99,2007-10-26T12:21:38+00:00
DOXIA-299,cb978a1a486e7d0c4a78e62ebc73e0982192e1aa,2009-05-07T07:35:06+00:00
DOXIA-178,08f6026a4acbb0d6993ee64870edaf01616ffa7d,2007-11-19T10:37:51+00:00
DOXIA-292,9b44060679a3451c178a6e22734c1ca754e262b2,2009-03-01T12:41:31+00:00
DOXIA-171,d007bc290f600a3fb26a593c0c5322604e6eeb46,2007-11-22T09:27:22+00:00
DOXIA-171,bd2041956e722f9ea52d16015ba6d34e1dbd3fea,2007-10-29T19:53:59+00:00
DOXIA-291,6b48f5f522f94bfef177527b01da6c3bf2694ad8,2009-02-25T06:06:01+00:00
DOXIA-170,df4347c7852b9c9710ab867f5eeae6f2a4158b6f,2013-04-07T09:50:29+00:00
DOXIA-170,7ca939d3d8ce126ad62942b7fa0470ea8f521a08,2013-04-06T22:18:35+00:00
DOXIA-294,81b08e7844afb088b12535fe9e34fe34737e93d4,2009-03-08T20:42:30+00:00
DOXIA-173,5f22987b65ce4d7f47eb36344c8c6aa854c71e3e,2007-10-28T19:42:31+00:00
DOXIA-296,c7d677731b80d86b160610f1559d411fe2300f55,2009-03-10T15:48:59+00:00
DOXIA-175,524d36693778cf1d2f0d23c50cf01dbad71b531d,2007-10-28T16:25:59+00:00
DOXIA-189,484e70eeaa481591965ccbe655d4e26983a6265d,2008-02-21T10:33:02+00:00
DOXIA-189,4d42a25db9725f934ccdc850277f2bc170fd6a66,2007-11-27T23:02:47+00:00
DOXIA-180,a20e0e6c2e8857f77059998ddfdbf1d753f40953,2007-11-04T07:19:48+00:00
DOXIA-182,92bb0d42d0d800d24470a7f42b0903d33c7f6c4b,2007-10-30T13:35:44+00:00
DOXIA-181,75f3b760d8491a65b30b4a7b2f98408363dec0f5,2007-11-04T18:31:51+00:00
DOXIA-184,09fd32318d6a386603362d07629f0815f0798296,2009-06-12T03:42:35+00:00
DOXIA-184,2035573c53d3dc9b67a554116d621651545b413d,2009-06-04T12:20:55+00:00
DOXIA-184,760a69b44590d279b9c125ff34ad95e1af22b9d0,2009-06-04T10:25:46+00:00
DOXIA-184,71d1801074884ebc873486070c6bbaec37cf58c5,2009-06-04T09:31:52+00:00
DOXIA-184,d814dca9ebdf38207a0065d396efaf19bc162f4e,2009-06-04T08:17:02+00:00
DOXIA-183,942e94523716aa11ee79ec366d711c49caf9849f,2008-05-28T09:50:10+00:00
DOXIA-503,4c33641e2bc6e5a3106ac2be92f9fd74d2805d37,2014-06-21T13:35:48+00:00
DOXIA-508,7698afc44c9eb0868cafbb588b4481ada9a68daf,2016-01-23T20:25:03+00:00
DOXIA-509,904f73192db9bfc244e3fac4543371a9b8751411,2013-11-21T09:03:24+00:00
DOXIA-190,61367acb0edc6a4a2aba1ad1875694dbdd35d18d,2007-12-16T19:56:27+00:00
DOXIA-193,2eb16951ceadfe69702960215b7a143a7dd7ad12,2007-12-16T20:08:16+00:00
DOXIA-515,b89204048a40dfa42303034637289f57c12e5f3c,2014-02-27T12:23:32+00:00
DOXIA-524,9b8b5e69f29dcdefda6f6b9060cb38499feaa2e9,2015-09-20T07:03:07+00:00
DOXIA-524,a92bf350b3f1dcc5065ce859a2af25068c5f52ff,2015-08-30T21:10:11+00:00
DOXIA-403,70d9cb254ff8de1dc1725b648ec8af0fa0f964c4,2011-04-08T08:11:28+00:00
DOXIA-403,a6a14acbe0db6714f7d226f1cf08c72f1cd316fa,2011-04-07T13:45:20+00:00
DOXIA-523,76513d04cd59145b5faba17218335c35c9582c2d,2017-12-03T21:15:40+01:00
DOXIA-404,a213e5d2a7d5e08fedecfa72592ad9ff3494f8fb,2013-03-30T18:51:02+00:00
DOXIA-407,6fedde1a798958cc2dedfaadd1b7eec99ed3c685,2013-04-01T21:48:22+00:00
DOXIA-408,68dbf98d0dc6e30e15abd6fd8b3529b768dbc5fd,2010-10-08T22:36:15+00:00
DOXIA-413,6b0a181145c7fa5e8b2c1c3bd794250e6185fc7c,2010-10-01T09:46:51+00:00
DOXIA-413,541258c82675c7b6b75310179d3443cc4afd8e6d,2010-09-30T11:51:11+00:00
DOXIA-537,16836d8a2dfea74be3bf4c1b0f5e50f2949fbc65,2016-01-23T19:37:22+00:00
DOXIA-416,f79cf0537b2fae3df09a2c2d00d9bd92be1aff89,2013-04-06T21:14:02+00:00
DOXIA-417,b15bc2c792fcc197c520ad41d0d01bc8e78a1e61,2010-11-16T18:48:53+00:00
DOXIA-417,39b3807417bc2938cbc22b145898ea3f3d4014fd,2010-11-15T22:09:05+00:00
DOXIA-300,0e92886e33442855463cba3f4ce811276e7f9886,2009-04-03T09:25:23+00:00
DOXIA-423,0ede2df160bff6b4629ce62fb875bd66ae1d3d0f,2011-03-24T06:55:06+00:00
DOXIA-302,39b7a9eedc4427043fd8daf318410fd44154a090,2009-04-03T08:38:09+00:00
DOXIA-543,12801e2e4183baa543d77fec26c2bd0dd88ef447,2017-02-04T22:58:57+00:00
DOXIA-301,6c5682e2d198635167989112bacc0199e8e105f0,2009-05-08T19:54:51+00:00
DOXIA-301,e503bab92022b37ff8f28292a291a6f9e758d719,2009-04-08T08:51:27+00:00
DOXIA-546,61af1ed3d63137fe18a116614dc0b2c456c52d3e,2017-01-07T16:04:33+00:00
DOXIA-425,f9a7a405bd565a83b7f2ab6c49973a39caeaa49d,2011-04-23T06:22:09+00:00
DOXIA-304,590a1ae822e3cb5a4fb13f1c65ab164a4f98c779,2009-04-02T12:17:15+00:00
DOXIA-306,9bde516676b6fe0fee05c1de6e13f015bffed117,2009-04-11T07:03:25+00:00
DOXIA-547,2fe00a3bac1576351f1d10938e730863121df840,2017-01-07T15:41:45+00:00
DOXIA-305,6df0728a902667f3d956c4a99c574440c1b4f66a,2009-04-08T12:12:36+00:00
DOXIA-308,57e12c2a3fae6b487a90f564a3de163999f73b9f,2009-04-29T09:15:15+00:00
DOXIA-308,e1f0053c0a1f7a2a8ce4e4969c9351699dc24866,2009-04-29T08:11:11+00:00
DOXIA-309,593f6bd62023787b955f864c189ca256a65830f8,2009-05-04T12:11:58+00:00
DOXIA-309,28134f8326e7c4a3e44e46b62d26cc692d8af05b,2009-05-03T13:34:27+00:00
DOXIA-430,7a34760767c18687a0ed9fb51e956f0df8da094b,2011-05-20T06:49:32+00:00
DOXIA-311,88c90092ab95d88701375e3bae8cd7cf46bfff36,2009-05-05T08:06:19+00:00
DOXIA-311,ae89a7bce636d31d5b14a018c11cba3c5adea524,2009-05-04T07:30:24+00:00
DOXIA-311,4c127739e06c89edb421018762a0667f455d1566,2009-05-01T20:10:56+00:00
DOXIA-14,6d98fc798ebea52e73bedf9c7624a66fe35c2d99,2008-03-07T22:52:35+00:00
DOXIA-14,c570ca09f67724f43eedb84b64ab8855a0daa529,2008-02-15T13:22:30+00:00
DOXIA-14,ae86ece48e6a9baf8ac71678633bce20d80ea13e,2008-02-15T13:14:31+00:00
DOXIA-14,45f78123687b3803856253b160bd37c5763c0861,2008-01-01T18:01:18+00:00
DOXIA-14,bc1f81c597cbc76a0bdbaf49ad2a823e41211614,2007-11-03T21:01:48+00:00
DOXIA-310,655f266725ea7f4805f8cf7187fb6ad48f74a646,2009-05-04T11:42:14+00:00
DOXIA-310,4149adec604d533e01f324337fb016865f10519b,2009-05-01T17:53:24+00:00
DOXIA-16,f6d3232689a121a2cdc882a20047d103d64f7256,2008-03-11T14:00:28+00:00
DOXIA-16,cbff0d1780e9008c8e65b65ed1b12e6a65702af3,2007-11-13T22:34:31+00:00
DOXIA-16,58eb185e668c29fe469e8a3240e7316d22db092f,2007-10-28T12:30:31+00:00
DOXIA-16,4d4d341c25cee98817fd753683f8e55301f633a5,2007-10-26T09:13:56+00:00
DOXIA-16,a4d3cc6205bc1cdc6a8ba5fb0dca520676ef86de,2007-10-20T13:34:11+00:00
DOXIA-554,c0636dc6de5a97ffd7bec6e74e06eb126a9a1302,2017-03-25T20:30:29+00:00
DOXIA-433,a6c2696e4a74d5daa9380ce2cc39c3377e0a0556,2011-06-21T06:48:28+00:00
DOXIA-312,5e83a7e68ee0584f47c81c9fc12088a77d31a3df,2009-05-05T10:20:45+00:00
