Bug ID,Bug Fix Commit Hash,Date of Commit
DRILL-1729,daaa0c35ee320c977bee7cc315c6428815388d00,2014-11-28T11:58:00-08:00
DRILL-706,9dc81e199cbabedbdd68acfa676a66a022b51907,2019-05-02T11:46:08-07:00
DRILL-706,579ebcac17eefd01b90e5d4fac8ea87b64c499ad,2019-04-09T17:08:19-07:00
DRILL-706,f3022eacebe63fe4d7a4a9e22a8c398e88e42588,2019-04-08T18:39:00-07:00
DRILL-706,d22e68b83d1d0cc0539d79ae0cb3aa70ae3242ad,2019-03-14T21:34:06-07:00
DRILL-706,17bbcd5d87ded96a1c425ecf0e3358bfa5d5c430,2019-03-14T15:36:10-07:00
DRILL-706,5abcd88642e224beb8252185f938a5e42387b18e,2019-03-08T12:21:44-08:00
DRILL-706,8c7de7838124a00e1b6b786fde2ad8dfd1b0ba9d,2019-03-04T00:18:52-08:00
DRILL-706,1fb5840313327930d01374a5a47b3734b8a70299,2014-07-20T16:26:35-07:00
DRILL-3901,6cd399de82d18c1f8c2e4992b0a2c3f2d4fbbbcf,2015-10-07T09:43:54-07:00
DRILL-6185,161a046822ca6676e0c62dcbdf38abcc6c08b1b6,2018-03-03T19:47:46+02:00
DRILL-7035,79c7ea559ed7adc0074438e6c0eb5aa2340419a6,2019-03-08T13:46:57-08:00
DRILL-6187,920a12a6f01b99a677dd26223d9b1228a35fe3f5,2018-03-11T11:33:36+05:30
DRILL-700,304293a46e66ba27b6b38bbc2fef63743f78d598,2019-02-08T11:13:22+02:00
DRILL-700,9c82e06b93cf39bbbe11b90aaa6713806fa4aa36,2019-02-01T10:16:43-08:00
DRILL-700,02422418edec35f34a547b929f68545c29a6de6a,2019-02-01T10:16:10-08:00
DRILL-700,8fb85cd4370e6143641cda1ad5b998caca0b6bf7,2019-01-30T13:55:30+02:00
DRILL-700,85c656e12bb109147576055c1bed0e1463c32b96,2019-01-30T13:53:12+02:00
DRILL-700,b557b796dc1ca7796b0db956e39df1d52f212f12,2019-01-25T17:34:29+02:00
DRILL-700,4b57652f1ea0b9d6b68826b5f07d624eabf043f3,2014-05-13T16:05:59-07:00
DRILL-6188,a3b0bf5970b6d84b29ce843af1fd5cacf62a13bd,2018-03-03T19:47:45+02:00
DRILL-6189,863ff0bcff1ee01df292277194e0fee25dbe3460,2018-03-04T17:45:40+02:00
DRILL-1719,103d40efac82b1bfd7a6cedf6db2db94031ffaf8,2015-03-11T21:13:17-07:00
DRILL-1718,757e9a2e6e92e816784f1a85a9e031991b38c7fe,2014-12-02T04:55:32-08:00
DRILL-6190,57e5ab26659e1fa393f8963435de946e0da949be,2018-03-03T19:47:40+02:00
DRILL-6191,408942259800d9987f4e84b3cdbd47e29920e934,2018-03-03T19:47:43+02:00
DRILL-6192,b75298d178bf54e8758070de87e456e620ba6811,2018-03-09T18:47:00-08:00
DRILL-7041,5323f9dcd92cd1cafec1556afae1c3cea29afae3,2019-03-01T16:06:37-08:00
DRILL-6195,6bf04eccf4ab756fa370f800f2d35d2443bac518,2018-03-03T19:47:35+02:00
DRILL-6197,6af651fcde8059dbf557a1f2f897557425fb950d,2018-03-03T19:47:48+02:00
DRILL-6198,4bd3cc2995ab7bd94ca5f5a8838b0d02fb396c3e,2018-03-03T19:47:41+02:00
DRILL-7045,771fd270b684bbf388c0e2fa10b359eba3dfdb7c,2019-04-08T10:47:37+03:00
DRILL-7045,a1986a3fec1634812712e47be0be2565b303ea2d,2019-04-08T10:47:26+03:00
DRILL-6199,ddb73a506c6cbb6492d6ff91ca174dbff1b8a045,2018-03-20T22:40:00+02:00
DRILL-7047,e5859ef2893673644c563d51e5f7af18df92fdd4,2019-03-01T16:09:31-08:00
DRILL-7049,9cbfaad0a92b4ffb6302ea1cfbcdfaa24cd8786b,2019-04-08T10:45:29+03:00
DRILL-7049,9844b61c520b27f878e7d6fc657177da05d55dad,2019-04-08T10:45:11+03:00
DRILL-3927,8c098355f2cb9c0139a039d17835a9c253962504,2015-10-14T18:01:23-07:00
DRILL-1748,3a067cf9f7d824aea297c64db414ec8135e94932,2014-11-28T22:28:25-08:00
DRILL-1749,71ad125b410f62b718c7416b02a012f5a6d51c4f,2014-11-28T22:28:25-08:00
DRILL-3921,fafde4811ed39542131ee52542b97a1c6d256e57,2015-11-01T18:54:38-08:00
DRILL-3920,27364122ca0a82c6dd5552f292b2711bb2b28cf5,2015-10-13T16:35:22-07:00
DRILL-1743,3119011df44d28d7590de6613f536d64366a1736,2014-11-26T14:54:36-08:00
DRILL-6164,894c0f58ecff11ce53ede696f2a82308ca8333d4,2018-02-19T08:57:05+00:00
DRILL-1741,5fe54e0b13ed5ad2df8d3ba1781c52d02a2c66ef,2014-11-24T11:47:50-08:00
DRILL-7016,35b42ebdfd645b92330ad5dcac363aa0036696a7,2019-02-01T16:15:07-08:00
DRILL-3918,b4d47c56b6484eedbf3f44516338da4cdbfbb7b4,2015-10-11T12:30:38-07:00
DRILL-1739,cf9e71d654ddcc203900b4c3187e4bea0ba801d5,2014-11-26T14:51:04-08:00
DRILL-3917,8197ba8f97799c39c5d31466524ae5f694e6b0a7,2015-10-10T15:40:43-07:00
DRILL-1737,116e4dc0442532585ca45d79dd682b555bf6baef,2014-11-28T22:28:24-08:00
DRILL-1738,41e444dd51217a0c4b417d3c0b2aed386a287696,2014-11-26T14:51:04-08:00
DRILL-1735,9c9ee8c435c19c90636ce770fef9d05b5d3ae12e,2015-03-19T22:14:57-07:00
DRILL-6172,1c14d3c3c836515b375ae7c47c4179503b1dcee0,2018-02-23T14:19:13-08:00
DRILL-7022,ad63b70478674185c438682fc0ccd7ca191da1d5,2019-02-18T23:49:40-08:00
DRILL-7021,bf1bdec6069f6fdd2132608450357edea47d328c,2019-03-16T22:49:44-07:00
DRILL-2618,367d74a65ce2871a1452361cbd13bbd5f4a6cc95,2015-11-24T16:50:34-08:00
DRILL-3947,f1100a79b4e4fbb1b58b35b0230edff137588777,2015-10-19T09:02:00-07:00
DRILL-1769,bd3e9138aa4ffe38269c09aea740f08bd6b41355,2014-12-07T22:37:17-08:00
DRILL-2613,fe11e86c81c5a016febdcf89d790b3de2bc33ced,2015-04-13T09:36:47-07:00
DRILL-2613,690ffa9cf142d4c2f15a99434c0eb04c0a55ba64,2015-04-13T09:36:37-07:00
DRILL-7072,6bd31f33c137e56912bcea04c5b993eafc64a20a,2019-03-08T12:21:44-08:00
DRILL-3944,cca17cb8f9891bb0b49560acad7f129a6cb7edc0,2016-02-26T09:52:38-08:00
