Bug ID,Bug Fix Commit Hash,Date of Commit
FLEX-2348,6838f95954afc32ba7a9404a454ce8aac5846de5,2013-05-10T11:26:47+10:00
FLEX-14181,4878d2abc17eb25f7ba459f5a7848a75cbf6f3fb,2013-06-05T21:31:11+10:00
FLEX-2330,4f55ae42497441c0bc7abba7c29942a8c54dbfac,2013-04-22T19:48:36-04:00
FLEX-2330,97a9298cc314f752763b06720f5481b805e41045,2013-04-21T22:10:24-04:00
FLEX-2383,e5348fd74419171c1c0c16028e0679836de8ac00,2013-05-08T14:20:31+10:00
FLEX-2397,ae8d259e9c9e030a20e3565248162c74cbb51ba1,2013-04-21T12:42:48-04:00
FLEX-2391,93ac51cb66e5e16ffab3c6b28c64cd153a6b2fb0,2014-06-22T08:18:20-07:00
FLEX-2361,bf540f6cd5ab49ec3d41536e9d4f4415399b1f35,2013-04-30T15:10:10+10:00
FLEX-2378,faee10e3ce3767c9db9d2511255a44f99d70e60b,2013-04-24T08:30:59+10:00
FLEX-3516,2d698095aeb8937fda242bcad1ae1c0297f56801,2016-11-03T17:27:23+11:00
FLEX-3514,7418641acc7a1fafaf4de965842e8b342a9a46be,2017-01-12T17:02:42+01:00
FLEX-3512,8da6a3a1369c7eb69f00f54b81ad0bb8d6157cef,2016-11-07T08:47:06+01:00
FLEX-3512,4fa501472d31de82d2f4cb29404c68c939099c69,2016-11-03T17:43:14+11:00
FLEX-3512,3d71f1b5e458ee39f439ef68db092ed08a8935df,2016-09-19T13:24:17+02:00
FLEX-3512,a797884adf4c2c1484c83ba2780ec8adbc06b095,2016-09-19T11:42:53+02:00
FLEX-3510,930e912c86d89b343de5b2377358e9e4626f9b67,2016-07-06T11:20:10+10:00
FLEX-3526,d726aee2da04bd796ab91fa1960d7e55d47cde44,2017-04-12T15:16:39+02:00
FLEX-3526,60ccf24cbd641fcac30e27215156e65d4cb0e923,2017-04-12T13:34:54+02:00
FLEX-3526,7d3073bb34cf4a5853039bab63e6df8d1f47cd65,2017-04-05T18:33:03+02:00
FLEX-3526,a1c61c5cfd452cb0a150788e498865763890d112,2017-03-29T14:26:51+02:00
FLEX-3526,56abc7db27bc79bc313db3f6ab4ab2c14f536a4e,2017-03-29T13:16:54+02:00
FLEX-3526,5787e9baf653d3c4f0a7664cb5baaf2103f8387d,2017-03-16T15:18:10+01:00
