Bug ID,Bug Fix Commit Hash,Date of Commit
HTTPCORE-345,8ad38d6ae31ad0854abd92ec5ed20ee3b344c877,2013-07-03T08:51:29+00:00
HTTPCORE-103,210dd9a6734cbd7210c85cdf6c79508e616fd353,2007-07-18T20:43:24+00:00
HTTPCORE-588,1e9d57e176b142ed05f48928e36c04149c1f9385,2019-08-09T15:01:42+02:00
HTTPCORE-585,8696fc66757f1112a602e223b3f89096304054fc,2019-07-28T23:01:07+02:00
HTTPCORE-343,836d174f32886ae3da10416b2e3977f5d0824157,2013-06-15T16:21:06+00:00
HTTPCORE-222,f6ace156e10069c2045daa602378c63df7556624,2010-03-19T10:36:39+00:00
HTTPCORE-102,4876a2964c52239b99426a118019142a7eb8eb75,2007-07-17T12:25:04+00:00
HTTPCORE-220,75f0a0482e90c2586fc783384a5916b6f2815890,2010-03-06T07:23:54+00:00
HTTPCORE-220,a8e29d3665ac67e0d77a6c513c1da2d539b164c2,2010-03-05T17:31:28+00:00
HTTPCORE-581,9a1b26e06e35220fb349de2e8c4197c1ac87dcf9,2019-06-28T16:18:52+02:00
HTTPCORE-582,6e81a9e3250368dcc6f125bc5864495659a749b1,2019-07-08T16:49:32+02:00
HTTPCORE-228,30c2b1251da8c3315f591415090eeeb43c4d62eb,2010-07-02T10:00:23+00:00
HTTPCORE-228,7b97ccb47190b43f2e54463e8885f220cb11f83a,2010-06-11T18:54:17+00:00
HTTPCORE-229,81401f887a11946f3ee3d3e198620a41cada964e,2010-07-13T19:52:00+00:00
HTTPCORE-108,bc20b829b44714d22da26609490642156ab96eb7,2007-08-05T12:06:28+00:00
HTTPCORE-589,68a1d783314de5e53291f3f7361125089d6044e6,2019-08-16T09:31:26+02:00
HTTPCORE-347,536c177add6af3e901b1945b0a1b463a033c1018,2013-09-04T13:35:16+00:00
HTTPCORE-226,957e5fc2089706ea92d46ef695819a9a8c6f2ab7,2010-05-07T10:19:08+00:00
HTTPCORE-348,005a9d129379ef2110ce0ca5ef9b6bc100b69064,2013-09-09T12:22:38+00:00
HTTPCORE-227,b9c03f28a2198bb5fe77290f26f0286d366167bc,2010-06-09T20:49:59+00:00
HTTPCORE-590,57ec4b7bc774d5c1a2c2c418444a70a31e5c9582,2019-08-16T22:36:02+02:00
HTTPCORE-114,dc354a70a839dc3e0781d2e2a5eb158408ff8031,2007-09-08T16:41:24+00:00
HTTPCORE-236,1ca92f229e25e745bd8b7d3ed54e12ddd9b724a2,2010-09-26T14:29:39+00:00
HTTPCORE-233,1e20ba006fd84af19fd7ca9cd58f0d3f5cbe6808,2010-09-16T20:12:39+00:00
HTTPCORE-233,c760d03b06aeda053ac338851c20a4aa2490b850,2010-09-16T20:11:26+00:00
HTTPCORE-112,4ac8710bca53628e7c3297c6a2835db810c5ca8e,2007-12-08T19:42:06+00:00
HTTPCORE-112,11944e4075432e535d7fd68547503e955fd49362,2007-12-08T16:55:13+00:00
HTTPCORE-355,9fb8c4984baba1faa6fe9e85caad5f321acf3bc0,2013-10-11T20:05:37+00:00
HTTPCORE-113,da62aa1b7bfda2f92f36e3cc6882c68921c15b16,2007-09-02T16:12:22+00:00
HTTPCORE-231,4d1384d7d2eae7533cff1aef6e1b822c6e4125e1,2010-09-08T19:42:58+00:00
HTTPCORE-353,3830a3b1aa10a8ed18520184692faf09114d45be,2013-10-03T07:51:12+00:00
HTTPCORE-592,5c4f310850d595e3cb588c891ccb0d011e42c59f,2019-08-18T11:34:26+02:00
HTTPCORE-472,09d65b9b3e4aefe9c36b1a5ee6b8d6944e411302,2017-06-15T15:21:05+02:00
HTTPCORE-351,1c264ba5dda731621dd6cd4f2a7b791b5baf92a0,2013-09-26T09:25:25+00:00
HTTPCORE-239,f260c89b6dcf4e175c3d314349caa4a69ea1ccaa,2010-10-14T19:01:45+00:00
HTTPCORE-118,a70e7abec9b1a8af9727d40b782a4a7d7282bf6f,2007-10-01T13:01:33+00:00
HTTPCORE-117,dcc07d86d537aac18f210a5535d7226eba5496e0,2007-09-30T15:32:01+00:00
HTTPCORE-117,1ac10a89c175176c2e93bd3d9ffbb417583fe196,2007-09-30T14:36:07+00:00
HTTPCORE-117,0e69865dd7bf51b1f5b8a7459005dd49bb2df083,2007-09-30T12:55:38+00:00
HTTPCORE-323,eedc926d47dc4e51b324f8ce63c8ebf51273ab5a,2012-11-26T21:36:08+00:00
HTTPCORE-323,b1969b520bf9f5654419f791030e22986387bb47,2012-11-26T21:32:15+00:00
HTTPCORE-445,c93020cbb56dccd39bb4557c53aaedd99473c0b5,2017-02-17T02:59:13+00:00
HTTPCORE-324,24035d130ca1946b11d194dc8f36530702daa24a,2012-12-27T16:20:34+00:00
HTTPCORE-203,701c024f69b0e7352f516afa9f01615973d91b6a,2009-08-25T11:24:24+00:00
HTTPCORE-442,5e331f5aeb3d8aaf472fce51851a6badb8a9a9f7,2017-01-23T20:00:17+00:00
HTTPCORE-322,06e1ae1cd194f3e3e78117a787c378c10f1f07b1,2012-11-22T09:10:05+00:00
HTTPCORE-562,b8c80d1f139a335aa311b83cefc23d96e00f9c39,2018-11-04T15:03:41-07:00
HTTPCORE-320,c745ce54ee9708ecae0ebda758fb2535f80d3c50,2012-11-17T21:48:35+00:00
HTTPCORE-560,c93ea4082a08a130da0afe36e0d5bfae030a21a9,2018-10-24T09:37:40+02:00
HTTPCORE-328,0e4ad5bf8b51491ef3b68ab57f26e1a17bb20dd6,2013-01-18T11:12:08+00:00
HTTPCORE-207,05194404972ea7dadcf23785c0db9c4d3c1eba45,2009-09-24T19:07:33+00:00
HTTPCORE-568,9b898d9206950b4602930f36c5b217c6364cdee0,2019-02-20T10:02:26+01:00
HTTPCORE-568,b75845c7ec4f8d51cda0a0de55e86c329e387846,2019-02-19T12:50:53-08:00
HTTPCORE-447,dec1d4c66100f02d3f9dc6ceddb464c004cfeed0,2017-02-23T13:26:36+00:00
HTTPCORE-455,61a85181b1e043b36180545d7ea3f2eac3e25422,2017-04-24T18:10:38+00:00
HTTPCORE-334,0828706ce7194ab1207aa404637a8c9d635ffb18,2013-02-20T22:47:05+00:00
HTTPCORE-456,c0815154c785054f4a66f6f2876ffa465891519c,2017-04-24T10:06:38+00:00
HTTPCORE-453,29ca009b876d16525fdb70cc2e854ff8daf39ef7,2017-04-18T07:31:27+00:00
HTTPCORE-211,ec24411fc5aa5dfdcc11ba555dc10664235f0662,2009-12-17T11:35:40+00:00
HTTPCORE-573,7068d0c3750cd54a136df7fadb1dbbac9cd3e201,2019-03-28T12:20:04+01:00
HTTPCORE-331,133bae52d575d0bde2d915397069ed75681c9c58,2013-01-18T14:36:24+00:00
HTTPCORE-331,08d13e7e83fdb73103ab7c4f5b376a75672d3e01,2013-01-18T14:12:56+00:00
HTTPCORE-331,c02c9178c1def74e88e464f3296ddfdef15047f3,2013-01-18T14:06:59+00:00
HTTPCORE-339,5b3016852580b7f95c07f49a7a9d19a7b81f5111,2013-05-15T10:01:47+00:00
HTTPCORE-218,87da8451bab5177eb6bf544a8044c1df7cac4f69,2010-03-01T22:04:24+00:00
HTTPCORE-578,5b525196a430c1b935a5c2c8f7b10903e67dad6e,2019-05-20T09:55:51-04:00
HTTPCORE-578,32c9a0930288fac208a02ee0a84e4607899c499c,2019-05-20T09:37:00-04:00
HTTPCORE-336,1bf6882dafaeeb700092b772f2002e26a7fef542,2013-04-02T16:10:56+00:00
HTTPCORE-260,70183fd6f8835e6878502d0e0a6d0535809ddee4,2011-06-11T11:04:46+00:00
HTTPCORE-261,8536d5bbda6a0079338f98a3789e8d6fc1b9fd0d,2011-06-27T19:10:21+00:00
HTTPCORE-261,a82c75e61047d995b949bd3af7be2839e59ee105,2011-06-27T14:44:58+00:00
HTTPCORE-261,fe03c65b0ebb6017172823e7ff73565a28f4df55,2011-06-27T08:59:11+00:00
HTTPCORE-261,eb3040f45b654de8c07027ec57e9c998ef81c395,2011-06-27T08:29:50+00:00
HTTPCORE-140,3e452b0a3f8a5680471044ca0182005164d5f3ca,2008-01-26T12:43:29+00:00
HTTPCORE-268,cc4b23b2df1ecc7b1097c795ba31d7ef7f3ca157,2011-08-12T14:08:02+00:00
HTTPCORE-147,dcdc8eaff69a3fe75dc3f1ef10fbf66a70eb3273,2008-03-13T20:19:44+00:00
HTTPCORE-269,49247d208bde47f652812493e1d3576e136b8eb8,2011-08-22T15:41:34+00:00
HTTPCORE-266,a9989b22cefee6cd9beebbd5c8158070befabc30,2011-07-22T21:19:12+00:00
HTTPCORE-143,e059d751b2e4047d0bcf2b14f2782ea171302ebb,2008-02-02T17:51:00+00:00
HTTPCORE-141,d585f08a48f76953604567b706e5e3c29f1f56b1,2008-01-18T00:23:50+00:00
HTTPCORE-263,dd00a9e6acf714dc7379a4173bace6abe81a06ca,2012-05-23T19:55:05+00:00
HTTPCORE-83,f3bc526833f1b290f5ef90015b12969208732733,2007-06-22T19:11:39+00:00
HTTPCORE-83,9d9e1291190bb31873230948e7a0de9ec5f3e214,2007-06-22T17:04:08+00:00
HTTPCORE-83,32a2c8c5cadb47e238af72ea43a0bc2147ce6fbc,2007-06-21T22:23:04+00:00
HTTPCORE-83,da180a1d5002370adae660b7f7aa47ab5fd827e9,2007-06-16T19:29:21+00:00
HTTPCORE-87,14dc8d27a13e315b139321e20fdfd5532672c403,2007-06-24T12:12:34+00:00
HTTPCORE-149,ebff9b20297007450fb659416fb8fca30b1ff3cf,2008-03-01T13:58:40+00:00
HTTPCORE-89,92ce429afb33e6983a85a0d43ceb94ccc491a487,2007-07-06T22:16:25+00:00
HTTPCORE-272,1a9e79bf3ed15ea8920c82061940eac3a0591ae3,2011-09-13T12:25:01+00:00
HTTPCORE-151,f47f64d11bdf3342572a3f1558759a46b2c0dbc9,2008-02-29T09:51:46+00:00
HTTPCORE-270,f95fe6c9601713cdce1b947c6d572006b7a9b8e9,2011-08-24T09:04:55+00:00
HTTPCORE-279,adfb09d10674b5fe60118ca892e4c28ab707b532,2011-10-11T17:35:03+00:00
HTTPCORE-159,b01ab18a9e6745c580f82d9558e32053936ad24e,2008-05-03T12:01:10+00:00
HTTPCORE-156,fc93cb34367e4e14f348fc96e612c946c4b53e8e,2008-03-31T20:56:38+00:00
HTTPCORE-156,9e7c2048559c333b178ad52da07796290bf6e1e8,2008-03-29T23:00:30+00:00
HTTPCORE-399,fb006f4b2364a6d3bd7b1ded429d0dc717490f1c,2015-09-04T18:29:24+00:00
HTTPCORE-399,eaa2451026bbdb5976b190fc32bfd554328b7449,2015-06-04T07:31:24+00:00
HTTPCORE-157,384289bdf9c2249d0ab261c73508ddc36ef5d0e4,2008-04-05T11:36:42+00:00
HTTPCORE-157,14948bd5cdcac592576c21bb28b0a532034c426a,2008-04-04T21:35:45+00:00
HTTPCORE-396,96f1bf3d1de570bf08c7383746126562d01ea179,2015-02-18T13:25:03+00:00
HTTPCORE-275,97a226e08e9064fec517c5e0d348ce3a2ca56f17,2011-09-06T21:20:58+00:00
HTTPCORE-154,2a5072fa6ab654ee58b129a0b8ce32cf1380b836,2008-03-08T00:20:15+00:00
HTTPCORE-397,7f6dc0fdbe1b84e43b78e86229917881f0e2252a,2015-04-13T18:32:00+00:00
HTTPCORE-397,ff74e62160d73052bd034db6bcb5259bbb9625a7,2015-04-13T18:31:20+00:00
HTTPCORE-155,a282431fe7031626c63c5dd85a37fd671dc54be3,2009-03-26T22:43:26+00:00
HTTPCORE-152,61d042e788d7d0c6e2cc913f1454e96fb7932e07,2008-03-01T13:13:53+00:00
HTTPCORE-395,45458d449e6209c22f03482f02f374e3a858ebda,2015-02-12T09:31:11+00:00
HTTPCORE-395,d0058639719021eaf1289ef2edcde085b6dbceb1,2015-02-11T14:23:29+00:00
HTTPCORE-80,ef22fce270a2cffce3bcc25e31ad613b9124bf60,2007-06-11T15:57:31+00:00
HTTPCORE-71,37502bd3e05e7ae1797d3a8709ecb1e0cc516554,2007-05-20T07:40:37+00:00
HTTPCORE-76,91b73a9433148b8024a941596098a31ee79d49e0,2007-06-08T19:55:07+00:00
HTTPCORE-75,5466eb4df6bc4f89d0a8cdd22b790209b35a5d31,2007-05-16T21:09:54+00:00
HTTPCORE-77,47b58748a2d96382ddf89df594a433d815a19cb1,2007-06-05T20:26:18+00:00
HTTPCORE-77,1affb4896c83d2f8dfb527901b531ca7871aa186,2007-06-04T18:48:11+00:00
HTTPCORE-488,6e22c52f689597741503ce2a85881b249f4728f4,2017-09-06T14:08:00+02:00
HTTPCORE-367,918a4dbcb9fbf7c525aefc2fd2df6ee09a858db2,2013-12-13T09:04:32+00:00
HTTPCORE-246,838d4ff71a5838d5f8c594a5a922920762731af5,2010-12-10T11:29:07+00:00
HTTPCORE-123,0dc88dceedb97116a6ec9a13600a55fc40525d7b,2007-10-12T11:54:37+00:00
HTTPCORE-366,c20958e88ac44a0ce34f4288fd22fd13ac537bbc,2013-12-04T21:07:43+00:00
HTTPCORE-242,ec57be834eb4be793dfc9672b941a64856905642,2010-11-23T20:21:26+00:00
HTTPCORE-242,5051d4455d96ddadd86dd544943904ead239001e,2010-11-22T22:14:22+00:00
HTTPCORE-243,cadcda1ddeff70329191de82ef6e498dcd342244,2010-11-29T19:33:20+00:00
