Bug ID,Bug Fix Commit Hash,Date of Commit
IVY-583,3dae56f75847b83067b592e538ac1643b29ca6ed,2007-07-27T15:10:24+00:00
IVY-462,2703318f46fe5496068a7c2f140b6b59d908f7e6,2007-04-03T12:29:37+00:00
IVY-462,042ab1f23e17c24dfe53b93b8be245a53f876f0d,2007-04-03T10:50:42+00:00
IVY-586,960675f49e7a6d8537d9b75d7d9f79f40aafb7bd,2007-12-03T11:12:23+00:00
IVY-586,befe5e408a220c5003f6d87e8f720bfed12cc4ac,2007-11-21T14:00:41+00:00
IVY-586,eee183a74f19d03169c6862b81c6fbfc3ad744ae,2007-11-21T08:57:26+00:00
IVY-586,6a970949e79488fb2b6b77ab892f144df5b62721,2007-11-21T08:56:33+00:00
IVY-586,5d223336597733a002d6a7a0aa423ebbed320fe3,2007-11-19T16:03:16+00:00
IVY-465,e3d906cf02833a21e7092cb2bffbb6e26d89553c,2008-04-04T15:41:36+00:00
IVY-347,a1e47595c8b70a6a4c6087b96068331262e3bad4,2007-06-28T19:04:18+00:00
IVY-105,22dd74e245b5ec3a5346b8bd20f73a36f9572bb3,2012-03-06T22:20:32+00:00
IVY-105,ee824ddaa092e762f76dc5e9b2f1b3405bab85d8,2009-11-30T23:06:27+00:00
IVY-105,d863d77536f404273624e9833e1d735314edccc5,2009-11-30T23:03:21+00:00
IVY-105,30577116d333d6ff58eac33414879930e55b89aa,2009-07-02T21:47:44+00:00
IVY-105,be2aa80bc371d600ab2230c545051ea6454577f5,2009-04-15T21:27:17+00:00
IVY-105,4fdee25cb29429dbec0a2523253c059df101465a,2009-04-10T21:35:34+00:00
IVY-105,bd6056283af304a8cd69e3b96974cf1df43dcad8,2009-04-06T21:55:52+00:00
IVY-105,770fc1d470bb89ac487df9f24bedb1e3276ec7e6,2009-03-16T23:27:03+00:00
IVY-105,484e1ee3f2d162a86b79bb66f7052bb3da2dee1a,2008-06-25T12:25:25+00:00
IVY-346,28704041ebe62167281d24100e3e874bf1717d04,2007-01-06T11:20:09+00:00
IVY-104,a576d13e6bc0a26862a571e670336a86e77906de,2010-05-13T21:23:04+00:00
IVY-104,f044bcb3d54134a972a271cc5a99161d2aedd6a9,2010-05-10T20:07:08+00:00
IVY-104,0642a6f1da5e8e6b9d0d44090eee1ee95de4e19c,2009-03-05T23:17:41+00:00
IVY-229,a7b86c059d0d91ed9e0d9fe2326e1a13d5232627,2006-04-27T07:02:11+00:00
IVY-229,4c7e7d5c7ceee4845ef663b14a2864b614831c5f,2006-04-26T14:38:14+00:00
IVY-229,d46a68f6940ebac2c35685398ebe702d34f044f1,2006-04-26T14:28:54+00:00
IVY-108,b693aa0a24c58f805a97a9be81b7e2546ef780c6,2017-09-06T05:15:52+02:00
IVY-108,8e70043f4419a5557b26f0609022420a01ad3ccb,2009-07-01T23:00:23+00:00
IVY-108,c585c5a536b769af24bbf68d81075c163504c2bd,2009-06-26T23:01:22+00:00
IVY-108,d1e97bc85338c563f4f732bcf917a08b3cbf4792,2009-06-25T22:42:40+00:00
IVY-108,a0f5b1b4394a0a1cd2fd0ed8491d138a1cff1e3b,2009-06-23T09:28:56+00:00
IVY-108,77caf7c6b84c7e326c0867b4165119e30efa7eb2,2009-05-26T15:52:37+00:00
IVY-108,90456a4b45ae84a8ed2b643d72d38a341f157d3b,2009-05-26T15:50:41+00:00
IVY-108,900090e490906bcc1328e768928cfed0fec305a2,2009-05-26T15:49:48+00:00
IVY-108,08cf1d1fb517d9778fed6e1857a2b71df5c368be,2009-05-26T15:17:04+00:00
IVY-108,4857531fe0f4cd2435d1aa61661e56066d8689c8,2005-12-26T09:44:33+00:00
IVY-693,f1f9a7950e61a457a51aa9c617c99a22917b306a,2008-01-05T16:37:19+00:00
IVY-692,388a0d944f817639f9fed0b81ea185feb722e73e,2008-01-05T01:13:22+00:00
IVY-571,e537f40ecb1c07082fdf4b46b3287fefa4d76be7,2007-11-24T14:52:19+00:00
IVY-690,320a562244c9139a129f83addb7e93e8d4d0fdb0,2008-02-04T21:24:17+00:00
IVY-213,e0c1bc856a41eaf712209facb3bdf84d45ef40b8,2006-04-10T11:23:14+00:00
IVY-696,f13e910f90a138f05c3ecbd775701c6a6b51a5d5,2008-03-04T17:49:10+00:00
IVY-453,488c0c4c3d5d966480f15cd13565c882799feae9,2007-03-27T21:20:36+00:00
IVY-453,1aa7361ccca3e4663d54954c58f24704be1ba5f0,2007-03-27T20:44:23+00:00
IVY-573,2667a06a316361a0d1bed94a84e18a8920978626,2008-07-20T10:12:00+00:00
IVY-331,62df2eba9a9effc160efefc8e7f50c6fa3dc41b5,2006-10-25T10:15:10+00:00
IVY-338,b196a81fb2bfb58ae7759d85143d92934fc9dd50,2006-11-09T14:43:03+00:00
IVY-338,c9abb5f997860dab1448e21dd5152217bbe85be5,2006-11-08T20:00:05+00:00
IVY-579,18cc411f7d3427a390a6e72880ac0f6402bca43f,2008-04-03T17:14:44+00:00
IVY-458,c2207aa2f1984e5050be9ed62e8b45b27b7ed7bd,2007-04-01T17:39:19+00:00
IVY-458,fc856fc14402b8eaa975691b1a09ccf42770f178,2007-03-31T22:15:35+00:00
IVY-578,71ddda217815019e3d29b8458e9a1a05da3eee55,2008-07-09T15:30:03+00:00
IVY-457,06d01a0834070c4c0939d3ebfdcd118a3ab38150,2007-03-30T17:42:23+00:00
IVY-336,28704041ebe62167281d24100e3e874bf1717d04,2007-01-06T11:20:09+00:00
IVY-456,1a432cc1d5b32a7de405f696b4a12d8240943047,2007-03-30T07:01:06+00:00
IVY-214,044f73ee5ea8b599c584bd8f8ed81fc0e01bb266,2006-04-14T14:21:22+00:00
IVY-682,acae06553b031b258e47d585e26909fb5d05009a,2007-12-22T15:01:54+00:00
IVY-440,b1249fa0c50a9dcfde2ed296b5d478b0cce614cf,2008-08-26T11:13:23+00:00
IVY-681,8b9280c8ab2b26ca717c5aaa0b82352f8dcf130f,2008-04-05T08:56:51+00:00
IVY-681,00a8bdf9558db57503b24baa48146cbe7caa7fd1,2008-04-04T16:52:11+00:00
IVY-442,feb0d2f4d8fd3a5e50bb1769c14fc6034aefcdc0,2007-03-22T22:22:07+00:00
IVY-683,54c75983ede72a788285cf7189f4b561a0608748,2008-02-19T20:22:51+00:00
IVY-441,7fc5ead36fdc1997f8be25fbb7cd90e9b9c5f2a9,2007-03-22T23:02:07+00:00
IVY-441,d8f288a35e63d1e9682c7e188b37c0d7e8e537a7,2007-03-22T23:01:40+00:00
IVY-448,2c932d1af2182f60a8629fc8059c3681e9ede9ac,2007-03-26T09:48:54+00:00
IVY-327,51fd97589802ae98484dc77ee3cb993ef873908e,2006-10-17T09:00:59+00:00
IVY-206,9022687ce91015634e41e1c528654005df450878,2006-04-05T16:15:53+00:00
IVY-326,7f1e2538b917f4867b762a30febfabc62f2388d3,2006-11-08T19:39:42+00:00
IVY-203,f453f8c7cef4319b79bcac9d08c2296324987fa0,2006-03-30T09:48:52+00:00
IVY-207,90b32e0173a8b7eeec02f1686780ecb037edc11d,2006-04-05T17:00:32+00:00
IVY-550,152229433b57b9d97439dc4394df934f2790221f,2007-06-29T09:43:27+00:00
IVY-791,f2710413f0d9d2209d4688ceb421e700fa57a990,2008-04-04T20:56:22+00:00
IVY-312,74b150420dfc6558ce87216c2106d1f83305f635,2006-09-27T06:35:30+00:00
IVY-432,36049c224be672293fd03c8f79db5af0a0c00e79,2007-03-13T22:51:16+00:00
IVY-311,6f5090272f1f4129db2adc2d14b07150152224b3,2006-09-25T14:24:17+00:00
IVY-310,40aab4b627a26d461a9da8b2aaf50923baf0d667,2006-09-23T14:31:14+00:00
IVY-310,587c30d62b740ee751d1004cd6369183957de972,2006-09-23T14:16:12+00:00
IVY-793,734890038e0138dd907dda040179dfe4988c413d,2012-03-08T22:04:22+00:00
IVY-430,7ad46005f354f95c16000ccffd036604bf570106,2007-05-01T10:18:49+00:00
IVY-437,c39c7d93779c95108e6e8bdfdc6c5e3ac5b8c0d1,2008-04-03T20:07:41+00:00
IVY-437,af395c546ec2e331e5ad70ad7601a2711aed962f,2008-04-03T16:36:14+00:00
IVY-437,0657990e851a8d0a30236cbe0ad5b4b562cfc08d,2007-03-17T10:14:04+00:00
IVY-678,ae6d4c23378e2c2ebf9d72a88278a7e91d1be88a,2008-07-04T07:33:32+00:00
IVY-678,0a870c960df47811493019f64a628493147aa73a,2008-07-04T07:25:37+00:00
IVY-436,f5631f982122ffaceffaf623e5ae2f6883a16139,2007-03-17T10:05:03+00:00
IVY-315,3c1dedc704313c610cbd3c3431e6afc4fd6daf30,2006-10-13T19:34:23+00:00
IVY-556,2742727bf2a3a4bc10b20a54783f19f25fa81cca,2007-07-03T14:32:47+00:00
IVY-435,77680e867c18a49a1c6bdca290434b0d565dc8c0,2007-03-18T23:08:16+00:00
IVY-797,3b753d0c96420a2cc9eb966fa969d3bbee017a67,2008-05-29T19:45:24+00:00
IVY-676,719bf3bf62ff40c5428f689195ea1d5a8595b410,2007-12-18T22:29:49+00:00
IVY-676,4e1e7a93bea7e8af109c7d5fdf46b3a94aa42316,2007-12-18T22:20:56+00:00
IVY-555,1163a9a0481f34ad637b7879b9287feadb047f7a,2007-10-21T08:41:51+00:00
IVY-319,87c95a0528fef03240474d89b645ae0993d50ea2,2006-10-27T08:29:31+00:00
IVY-318,9e4c6365feca8b658be0fd2053e77577771e6d95,2006-10-26T15:53:17+00:00
IVY-264,a4304614654500570fe48843b31a685a1886d6f5,2006-07-17T21:00:11+00:00
IVY-264,b2498e0a6dc587152f5fd0d2950b9b515ab08b2c,2006-07-17T19:04:28+00:00
IVY-383,2e6870ab9ae5fa2e84dd8ea1167ad0e18c0c0196,2007-02-23T08:52:49+00:00
IVY-262,06d37eb1d79845f5a050b5deeda466771ba1c202,2006-09-03T23:31:47+00:00
IVY-261,36853987d19bf9fbc18d7eae907d7d1db285d75f,2006-08-24T00:49:51+00:00
IVY-389,2a617e6572d47292f26de86cf1ec0b4cc877e50b,2008-01-03T18:51:26+00:00
IVY-265,d67153383c17b3ad808fb8b055a643dac5c94da6,2006-07-16T13:36:13+00:00
IVY-144,df5930892d9c6eda392b96bdae2e7afd342f7866,2017-07-28T18:56:32+05:30
IVY-144,658a8d80bad3a3edb792cb5f94ef175dc14ca03f,2017-05-18T21:07:06+02:00
IVY-144,b308d598b603056e3ff7e8d53e099b677d4e8d38,2017-05-18T12:57:01+05:30
IVY-144,ac266c0e40b5d09f9f9f1e300f358ee1532f7aa5,2016-12-01T00:13:23+01:00
