Bug ID,Bug Fix Commit Hash,Date of Commit
JDO-706,ddab625aacbc51717b4d846306be2b18415e5360,2012-06-01T16:18:18+00:00
JDO-706,bf51bef62beb5c6e3b5bff390426c247c2d9d926,2012-05-13T21:13:54+00:00
JDO-271,66fc734c2b809c971c725ba5643f0d552cf8d0a7,2006-01-03T23:57:17+00:00
JDO-271,569fcddc1024684a0fbc939fadccc7735c5d6420,2006-01-03T21:13:25+00:00
JDO-395,04f4b3bb68a708c5b031a83f5023b8618a7c9b62,2006-07-19T18:50:36+00:00
JDO-394,7b457ab3e6f530c21f5e0e9a531344eb3d1456fd,2006-08-07T21:15:42+00:00
JDO-152,d9da21da3a2be0ef6923e3c945d599774e44fa8b,2005-09-26T21:41:50+00:00
JDO-391,b3bca22a98710a50f786e0f8985e81a42f6af868,2006-06-30T16:46:15+00:00
JDO-390,19dcd150cc9397efcdc35c84955624b671a9edea,2007-04-09T20:58:39+00:00
JDO-397,58875eef5920e228052311d24096a52e98ac1e83,2007-05-18T23:37:07+00:00
JDO-397,486addfe10455533f33c867dd4e966bfc8914145,2007-05-17T22:21:56+00:00
JDO-276,2a688794d9eb85947919b01644aee2f1f5930f51,2006-01-13T23:51:34+00:00
JDO-396,2df5d8c6f82469ecacbda5b756abcfa628c525ab,2006-07-23T18:26:24+00:00
JDO-399,ed4f277c24e224fed8c122483fd9b6f59844f57e,2006-07-29T22:02:16+00:00
JDO-719,efb58cff88985eb8c0666261f3c902b90e91fe6f,2013-04-13T18:59:01+00:00
JDO-283,20d0d14016f6d3a636d8e174f2fb877959d399db,2006-01-24T18:54:13+00:00
JDO-284,6636b8f4be30f95ad444b3521ee3bb79860e7b05,2006-01-24T17:24:13+00:00
JDO-281,e92342750130a2d9fadd4ed39c5b9cd1feb40212,2006-01-20T00:17:51+00:00
JDO-720,9a6fd71a6683d1402747e8a0dd35ea49d66a784a,2013-05-24T18:53:44+00:00
JDO-600,e6f46dc5815e95bcf526462b7f3f01ddbd7a52a7,2008-08-01T18:25:19+00:00
JDO-287,d1912ca3bf583c7583255300fd228168df353421,2006-02-03T01:17:36+00:00
JDO-286,0f9c467c0e447099b8bd2e5e263c57846249970c,2006-02-02T19:29:19+00:00
JDO-288,2c141ec5ceb9bfcddd2a86c932df3fd171b2705b,2006-02-16T02:16:13+00:00
