Bug ID,Bug Fix Commit Hash,Date of Commit
JSPWIKI-191,84c0de66e80608caff860069c7c236458d71e24c,2008-06-12T20:33:18+00:00
JSPWIKI-195,d78fb1237f3c9479718dce51630772f6a911d684,2014-07-31T18:46:53+00:00
JSPWIKI-195,7064f4b473bf3f2c60a5454271b3cdfb989c9cf4,2008-02-24T18:21:25+00:00
JSPWIKI-195,e2b78c8aa4e2e59280db5ca54cbdb9fba4c64db4,2008-02-24T18:17:33+00:00
JSPWIKI-195,60691964cfeaf059b3f64a061fd78a688fba75d3,2008-02-24T18:17:04+00:00
JSPWIKI-750,3a155a8b068326e65282cd4d79c3938bd131355c,2012-10-28T22:07:55+00:00
JSPWIKI-751,b0e7d9a9c351e70a0812c589252389251392050b,2012-11-17T22:55:57+00:00
JSPWIKI-510,2082602a105792cd55b754ab23536a5329c14fbc,2010-02-20T18:03:55+00:00
JSPWIKI-874,b2d771a44990eebcd24e6fb64e628a5c21ae7dd1,2015-01-13T21:02:40+00:00
JSPWIKI-503,5844c1e3df9fc6cef1f4382349a0812d0655e5da,2009-02-15T13:28:04+00:00
JSPWIKI-505,57cbe16dcba8d1a63a9d10f89b11e426079e3d25,2009-02-25T20:49:52+00:00
JSPWIKI-869,9a6b1ff8c10794dda49dbe0cd550ed4b08a405f2,2015-01-17T13:26:46+00:00
JSPWIKI-760,6d5260ae100cf65e8135908f0fb86ac8c01dfd99,2015-01-30T12:31:30+00:00
JSPWIKI-760,afb516da115a447e49e548f6881f5441cf2088cc,2015-01-30T11:01:28+00:00
JSPWIKI-760,420ea9cd2e4432566bb952b8034f51dc6766ced3,2015-01-30T09:08:55+00:00
JSPWIKI-882,610fa2325b94195dad719109175865d04508ce29,2015-05-31T12:41:48+00:00
JSPWIKI-761,1743947169aa8fa469e385587e33092d08177bef,2013-08-02T18:37:54+00:00
JSPWIKI-885,b9b9a6367347ab687e4b32c5ab62c92538998726,2015-06-28T21:23:28+00:00
JSPWIKI-754,73c3e6019d98b30731d8a242b8aa1530242ca6a1,2012-12-08T10:44:42+00:00
JSPWIKI-876,3b8db5e3fc692a0bbd8e878454730a4d07575533,2015-01-24T10:54:30+00:00
JSPWIKI-890,9057abd95ceba8a68975eff04f28ef3520f93796,2015-06-28T13:34:04+00:00
JSPWIKI-891,b9b9a6367347ab687e4b32c5ab62c92538998726,2015-06-28T21:23:28+00:00
JSPWIKI-892,d394dc4f72587620a1262f2c1a71c4df945091b5,2015-06-30T04:54:35+00:00
JSPWIKI-893,322f3c80d06a62f7317da5f965b2bc70414dec82,2019-08-16T18:09:49+02:00
JSPWIKI-894,8d95d5f7976341c38198fa75e1bf2d494421bcd6,2015-06-30T18:07:28+00:00
JSPWIKI-895,0e7a613d0c9223171ea10f4d7f2293e718de8123,2015-07-05T17:20:06+00:00
JSPWIKI-411,cc5b82a824e0d1d9769001b65b34d97877596163,2008-11-04T18:45:27+00:00
JSPWIKI-896,f135177dab1221f22b8e29c21cda90d6d8769ba8,2015-07-11T20:47:04+00:00
JSPWIKI-775,39293781fde7eba49e77cb3c5495f61acc508201,2013-04-23T20:17:11+00:00
JSPWIKI-765,0f8f4a121e49ecde4389f1fe24703ce62acfd8c2,2013-03-17T18:26:35+00:00
JSPWIKI-887,9057abd95ceba8a68975eff04f28ef3520f93796,2015-06-28T13:34:04+00:00
JSPWIKI-766,da254735a6d604341498f8b76679111b9074377e,2013-03-20T20:04:22+00:00
JSPWIKI-403,cd295aba55fdfd1abace7a62289db60754d7bc38,2008-11-04T07:22:14+00:00
JSPWIKI-646,b2eea3798bc13aa4122fae72a3f4c4149fed6ce4,2010-05-16T12:31:24+00:00
JSPWIKI-408,cd295aba55fdfd1abace7a62289db60754d7bc38,2008-11-04T07:22:14+00:00
JSPWIKI-1107,4c4b8bf2490f7d09228120507453e49ebded6b5b,2019-04-28T21:10:32+02:00
JSPWIKI-1107,fbca81686104b50909a5a71b63ad476e39c59d56,2019-04-28T20:20:29+02:00
JSPWIKI-1107,8ccb6b2a1f1a3650159e1ddf1be885d4281309c1,2019-04-27T07:44:46+02:00
JSPWIKI-1107,59881d4c80c3c686cce582714ef6ff31956502ad,2019-04-25T22:23:37+02:00
JSPWIKI-1107,874c7e89201b50d0eb992ab42a39966767836e33,2019-04-25T21:34:50+02:00
JSPWIKI-1107,edff448e1b6f5fd35aea2d72f88e3c7a88741c0a,2019-04-23T21:16:49+02:00
JSPWIKI-1107,60a9cb84ce36a0392fa5a01afcf28c11857c2f9e,2019-04-22T22:00:38+02:00
JSPWIKI-1,11464a1d8ab8f16caf50323b4f77d339e8fb307d,2019-08-24T00:41:23+02:00
JSPWIKI-1,ba1be247c837d0693118da35663d8f88c7526deb,2019-08-21T21:17:39+02:00
JSPWIKI-1,849e9c288243d08bced120641d72011fcf62e346,2019-08-16T19:18:02+02:00
JSPWIKI-1,206a4f1d21f5cd31809cd962c5bf9bba7c871de4,2019-08-16T19:13:29+02:00
JSPWIKI-1,9fe994a985e76ad4f89ad4a6cd106508ee2282cb,2019-08-16T19:13:14+02:00
