Bug ID,Bug Fix Commit Hash,Date of Commit
KYLIN-3529,37a4966db41c775dfc48cdd4a4a244f03a18a96c,2018-09-10T16:51:36+08:00
KYLIN-1108,baed8ae05f12f4c177a0dc77882e8c4d7570bc87,2015-10-29T15:17:07+08:00
KYLIN-1108,08ccf6f17163c9727eb6630a11c571efdcabd9b4,2015-10-29T15:01:29+08:00
KYLIN-640,098a7e6881366abad6c984b945c37c96647088dc,2015-03-16T11:27:54-07:00
KYLIN-3527,535c9ed00f0a72c3e6c379e505985e519de7e8ce,2018-09-17T17:49:16+08:00
KYLIN-3527,5faddf6eb5ba7e8bb682e1ee6fded4a7e89a2d92,2018-09-10T16:51:36+08:00
KYLIN-1348,273a163bea22da5747c9d3936769bb4c139c00c3,2016-01-28T20:13:41+08:00
KYLIN-642,d9a7283b4175e76c75e27a79cf05217c3c12ebf2,2015-03-17T11:15:04+08:00
KYLIN-400,f17664c168315035bec878066275054a6b4576d9,2019-07-11T23:49:14+08:00
KYLIN-400,47cb8de4a7baf7982c9a1cc26ba9c4ce68e527ff,2019-07-11T23:49:14+08:00
KYLIN-400,876d420812a09270455bfbb78204010c81cab612,2019-05-17T18:18:59+08:00
KYLIN-400,e09d9d7b37a688b5bebd8f93aea41d1eaf3bcfec,2019-05-17T18:18:59+08:00
KYLIN-1349,82fcc4bf4cd8a2f75c2019abdb72d6e3a05d5c78,2016-02-25T14:31:02+08:00
KYLIN-643,545e482583edd51bae912c765ad08848e2d31541,2015-03-17T13:54:06+08:00
KYLIN-401,58f990c90762b27ca397fd050324f291398e4f53,2019-07-14T19:07:04+08:00
KYLIN-401,e5e253f9377f31104d811fe315a1e82d44bfbd62,2019-07-14T19:03:24+08:00
KYLIN-401,a74dc055a163e6adb0269e0924fbc78e8f997db2,2019-06-13T11:08:49+08:00
KYLIN-401,f19f16aad334fd65f9946dd51d369497a15cb9e4,2019-06-13T10:27:41+08:00
KYLIN-401,b0ae00315e1fe3d9301581387668fde3ec0efd6f,2019-06-13T10:27:41+08:00
