Bug ID,Bug Fix Commit Hash,Date of Commit
LOG4J2-298,990fecc68642cb201ba8ae324248c41c40db26e0,2013-07-02T05:08:35+00:00
LOG4J2-298,fa930061f0d8df94304fdca1f1841ee17dd48982,2013-07-02T05:06:10+00:00
LOG4J2-298,9e43cb6f9bcfc9bf8c66c2c80ac56c9b221a62c3,2013-07-02T05:05:03+00:00
LOG4J2-298,5f10177b4af51b58f2730dfef350fdee7b434e49,2013-07-02T05:03:26+00:00
LOG4J2-297,56738b1847cb719d0ae7ac76fba5e25ba4ef42c7,2013-07-02T05:19:44+00:00
LOG4J2-296,6b324098708f47bd4a915a4d72f972a9e9c7bde7,2013-07-02T05:45:35+00:00
LOG4J2-295,0c9679947dbd183700ef398c5d428dcf138b0176,2013-06-30T00:40:33+00:00
LOG4J2-293,9a9672261b103d41f6ee079fa26fc6d57e2a197f,2013-09-13T01:01:10+00:00
LOG4J2-293,ca59ece67907ecf6676101bffff46665edf26255,2013-09-02T04:20:54+00:00
LOG4J2-293,25cb587a9628781e754f5bbefb280b178a09f62b,2013-08-31T20:58:41+00:00
LOG4J2-293,2e49dc12f377f5b538d5d76c93ac344927a66d70,2013-08-31T20:32:09+00:00
LOG4J2-293,d461abe8926ef431604148de73593280098abcae,2013-07-07T19:17:09+00:00
LOG4J2-293,73ecc37e3fc8a6c261bb896df54b277551636095,2013-07-07T09:57:01+00:00
LOG4J2-292,0c9679947dbd183700ef398c5d428dcf138b0176,2013-06-30T00:40:33+00:00
LOG4J2-2527,8cd0ef5b294319c579ae1f692eff3c9535aaf564,2018-12-30T13:43:05-05:00
LOG4J2-291,ead2e69504ce1b5e98bcdc0c9a53588fa070d694,2013-07-17T23:48:55+00:00
LOG4J2-291,60a7b3add7d0fbdc55eaafe62bf8e3a525ca07bb,2013-07-17T22:33:55+00:00
LOG4J2-291,01b9b41e738c27c9ea47efd9b5b09af9409f6c90,2013-07-17T22:32:16+00:00
