Bug ID,Bug Fix Commit Hash,Date of Commit
MAHOUT-380,2f55c85f23c6ef8829db225740f9d5f935cf500a,2010-04-16T09:15:24+00:00
MAHOUT-141,dde5e3f7cf414b0d6eb88f5f3e337d1bcc55b4ae,2014-02-28T08:49:57+00:00
MAHOUT-141,d4e58278d0f406049d156c730cda6683c3529f93,2014-02-25T14:15:06+00:00
MAHOUT-141,f322cbc13a5f2914d8429850673612cddc23b08a,2014-02-16T06:52:47+00:00
MAHOUT-141,4e1b7a6ebf54a444e01ffa613fe44a1f11f06e31,2014-02-16T05:58:15+00:00
MAHOUT-141,678525a86e75741ee6426efdd8b163b6004efee7,2014-02-12T17:33:08+00:00
MAHOUT-141,3e9cd90fa55c6300d60b36d1d02bc9f632625412,2014-02-11T14:56:37+00:00
MAHOUT-141,a2339d02b15c2e56b74ededc143e74f2606b880d,2014-01-28T18:40:37+00:00
MAHOUT-141,ab6216f1e57a95454e39233f406ffbd7c7fe7cfb,2014-01-28T05:55:25+00:00
MAHOUT-141,08da3686124f67a529bfc8b00a829b7dc72a9a4e,2014-01-27T05:25:19+00:00
MAHOUT-141,e93f05d642aa759cbc0a69c9e275d39167e34f8f,2014-01-26T03:50:55+00:00
MAHOUT-141,c7d3f6da3c4fcedd001a6587c8194cac356aff46,2009-06-29T21:20:18+00:00
MAHOUT-1619,5624a96c6da94ad1c95077dbbdab71409d85770c,2015-03-30T23:00:50-04:00
MAHOUT-386,6dd87dbab4623a4fa35f52c13ec979c791044e38,2010-04-27T08:24:56+00:00
MAHOUT-265,4f91f4458bef5854c6af5a051c0ef788c0e0f774,2010-01-28T06:11:42+00:00
MAHOUT-265,089dbf2633a6427852354881f75acecd8aa7cb54,2010-01-21T22:50:36+00:00
MAHOUT-144,e8d2617d36d54371701707531756135147aed1b7,2014-05-25T17:00:01+02:00
MAHOUT-144,0c7c65e673848f856aefb22336af8605120c5ae7,2014-04-18T11:13:29+00:00
MAHOUT-144,0be8a407b1ada018e2f35e93dc7561f1683fe6e2,2014-04-15T04:36:47+00:00
MAHOUT-144,2a6b55e1cde25285623af1dd925b3d0b669585aa,2014-03-12T07:18:01+00:00
MAHOUT-144,2ace5ccff9ee43ab8c23665cf7d713afc3ab9331,2014-03-12T06:19:49+00:00
MAHOUT-144,62b94a582e9c2c52b6ba512304dd36df9897da6a,2014-03-11T18:32:02+00:00
MAHOUT-144,7cb1bd97d34439b21408c36586ca577ba6b0a7cc,2009-07-16T14:33:59+00:00
MAHOUT-266,a576dc786efa69f44e396bd61b59fd412e5806d3,2010-01-25T21:43:23+00:00
MAHOUT-1863,1f3566d358d94a6e6a868cd74a83a553facea355,2016-05-26T19:53:59-04:00
MAHOUT-1,fc36bef157dc47d9572c4cfd460067e1916910a0,2017-12-05T22:35:26-06:00
MAHOUT-1,03918713563bf6aac55299d7239c4e042795faf0,2017-12-05T22:17:31-06:00
MAHOUT-1,9beddd3108ae453091a21a881c6693016f5f2012,2017-12-04T20:53:19-06:00
MAHOUT-1,5f3133c337ca89893b0accb2e7edae9a4e756166,2017-11-29T11:01:38-06:00
MAHOUT-1,d9b32f308804859b382e855d5a323a62ba7153e1,2017-11-17T17:04:24-06:00
MAHOUT-1,8c14b309cb4319cb304b68328bc646a3ec48f55d,2017-07-24T15:33:08-05:00
MAHOUT-1,74766e309cb371059ce73fe2f7a585d6757662a4,2017-07-11T08:58:24-05:00
MAHOUT-1,b41e140cc01a58a233eb91e632ed5e1780607406,2017-06-29T08:37:18-05:00
MAHOUT-1,36c15d8a633f6836b35578e9915c96f4ca71ac55,2017-06-27T15:01:30-07:00
MAHOUT-1,a799ead59aa77cab0596f72bbe40872b59367e35,2017-06-26T16:49:09-05:00
MAHOUT-1,48d6ca51738f9560aced6e15e1201025243a0d90,2017-06-26T16:41:58-05:00
MAHOUT-1,c17bee3c2705495b638d81ae2ad374bf7494c3f3,2017-06-26T16:39:14-05:00
MAHOUT-1,e74c478d223c9f2ec90478dd2236c1b886bc5050,2017-06-23T11:47:08-04:00
MAHOUT-1,c29496cb11372baddbb76acdee51530347525645,2017-05-20T22:36:02-05:00
MAHOUT-1,cf5a33d565f6602f6624bc4d34c62c048379140f,2017-05-20T22:19:32-05:00
MAHOUT-1,d5072a082bf702d5a6f275dd058f7fefa5cb2a5d,2017-05-07T18:14:50-05:00
MAHOUT-1,f71020f41107fd4ac621c9814313e5e2cd0b014b,2017-05-07T18:01:02-05:00
MAHOUT-1,38cc9e2706e07612cac9b400aac19001253e2fee,2017-05-03T13:03:21-05:00
MAHOUT-1,ae8e3bbe62acb5473ea59e78e15982ad465b9334,2017-04-27T22:54:09-05:00
MAHOUT-1,08e02602e947ff945b9bd73ab5f0b45863df3e53,2017-04-22T13:58:17-05:00
MAHOUT-1,e16bcc3d152eb6cf9f512f75bbf5e009b00fe992,2017-04-22T10:53:15-07:00
MAHOUT-1,a5c7cec9fbe24112c71cef5bc428b342a4a78ac3,2017-04-22T10:49:59-07:00
MAHOUT-1,4d059f85f7341130193a74d18a951fe3110f884b,2017-04-21T23:16:08-05:00
MAHOUT-1,eae79da4c2642a195a63462f8781e56600c1295e,2017-04-21T17:09:27-05:00
MAHOUT-1,98be68ac7fde5d22b502a8cab98069e13f363abb,2017-04-21T16:57:03-05:00
MAHOUT-1,28c1d20e21dcb97235a0c4dd5a0e22bf1783f6cc,2017-03-27T09:51:04-07:00
MAHOUT-1,1199e51179bf858ccc3c809b332a0cc9cd950adb,2017-03-21T08:34:21-07:00
MAHOUT-1,9eb68e5319ad6f7692779e566206a159f98be8b9,2017-03-19T14:33:04-07:00
MAHOUT-1,049619464145feb44805877cea337a4d84179083,2017-03-17T17:44:38-07:00
MAHOUT-1,f8f8f127231781bca0b981c26e2387bfad3958c2,2017-03-09T11:45:38-08:00
MAHOUT-1,b32b6d9731481f00ea3b96e3129b9bc96e34eff5,2017-03-09T08:34:29-08:00
MAHOUT-1,ca24f0c44931aaf6ea57ef97384e12e39ccc561d,2017-03-05T23:24:24-06:00
MAHOUT-1,9ed9b4af4153fd3fed42d928c505d05335b29b92,2017-02-27T15:15:43-08:00
MAHOUT-1,7883ebc26ea40e62d8c73797e15a4ba801ae6348,2017-02-27T14:57:28-08:00
MAHOUT-1,4e0106ae5edafbef7b1411d66bc5f9e9bf44045a,2017-02-26T22:56:54-06:00
MAHOUT-1,d848625df7144ef14dd90300adcf253f08aa28e4,2017-02-26T22:55:35-06:00
MAHOUT-1,eb278dc3d3789e3e945af77d48551aecc15ab33b,2017-02-26T20:26:46-08:00
MAHOUT-1,4d1464ef4d7a1d278c828d29a906e8f431a2fcb5,2017-02-26T19:05:40-08:00
MAHOUT-1,51b1ab99a86311078aa205f32ad178acdb824fc9,2017-02-26T18:17:57-08:00
MAHOUT-1,b8f9d26db736268ec1b268cebaec1bed2e860523,2017-02-26T14:46:08-08:00
MAHOUT-1,0f4b3d97cfc651a4bc052515b260648cd0093ac2,2017-02-26T13:36:24-08:00
MAHOUT-1,67f3a65cf6b68a2c6ac34130ab16d1a118006f45,2017-02-25T16:11:40-08:00
MAHOUT-1,a2cbd15709e8f5789711d171afc5206fa6ec63ed,2017-02-24T14:27:05-08:00
MAHOUT-1,ba37a8aa20d0969d2db5d810ecd6d68f7ea57978,2017-02-24T07:37:06-06:00
MAHOUT-1,5afdc68e0a25e9f66a0d707a7f76d46d9603b614,2017-02-24T07:35:13-06:00
MAHOUT-1,52aceaf68cc198f6d5c3fb77ac16e21abce6e6dc,2017-02-24T07:33:36-06:00
MAHOUT-1,a70a8733c6db0e5dcf02384f8dd474469c42e7c5,2017-02-20T07:38:33-06:00
MAHOUT-1,60bb751926524b62be52f9b4c9d1c70d735a0afc,2017-02-06T22:05:21-06:00
MAHOUT-1,f4631528b6d017d974ed46d191651e1f7edbe6a7,2017-02-06T22:03:29-06:00
MAHOUT-1,7a3617b33eb397b0d2f44e3a1456f266196c1282,2017-02-06T22:01:06-06:00
MAHOUT-1,771339c82c36929d5b331215fbe792626de373af,2017-02-06T21:59:21-06:00
MAHOUT-1,fa9aeacccc11e50a166d290521030305d51fa787,2017-02-06T21:56:19-06:00
MAHOUT-1,22c5e86480c124c95b2a4698e23a0d98cd7a474b,2017-02-02T17:32:57-08:00
MAHOUT-1,991583abf6534a0a7118bfea3af60bf3170397d3,2017-02-02T14:11:46-08:00
MAHOUT-1,b67034e22b04124c3ec449ef5e6f3cb0b7224e0b,2017-01-31T21:28:41-06:00
MAHOUT-1,9a31923eae3727d9d91bd2c2ed8df12a616a577e,2017-01-31T21:23:10-06:00
MAHOUT-1,f8596b8668ca5104a28efd54d0ceaab51a619c89,2017-01-29T11:35:00-08:00
MAHOUT-1,034790cce40fcee2b7a875c482345d35f7c0fa8d,2017-01-25T20:23:28-08:00
MAHOUT-1,84e90ed23327355f92abeb4aede8f3a9ee5b5867,2017-01-16T21:17:57-06:00
MAHOUT-1,8e0e8b5572e0d24c1930ed60fec6d02693b41575,2017-01-16T14:48:44-08:00
MAHOUT-1,b289f4657fb8fe16f60f806ef2b2dee86f666e74,2017-01-16T16:47:55-05:00
MAHOUT-1,b3b72cb658ed6ad59a092eb554b06898163a1375,2017-01-13T13:52:35-06:00
MAHOUT-1,1e081287671b186915148bedc05aae4384230c8f,2017-01-07T10:47:58-05:00
MAHOUT-1,8a0a074898c345b73b17a058301acb01352db12b,2016-12-27T12:47:14-05:00
MAHOUT-1,292b718a633efae5ff1b47772b9dd7bf9f1ca6da,2016-10-13T22:38:09-04:00
MAHOUT-1,1f5e36f249aabc68495ec15f64f5ed6754d9f1e2,2016-10-11T08:10:31-07:00
MAHOUT-1,b5fe4aab22e7867ae057a6cdb1610cfa17555311,2016-09-13T13:02:14-07:00
MAHOUT-1,2f6399f3fd36f5074c2f4892407ed9d4f889fa07,2016-09-08T10:55:04-04:00
MAHOUT-1,e73fdb8694e80e1e95a1213097434749726fd8af,2016-09-07T00:32:50-04:00
MAHOUT-1,a5e820c95c4f420d8f44dfc827fb2128c9f0750d,2016-09-06T20:59:53-04:00
MAHOUT-1,f4a71d084958f2e1865efc8ac8115cd51e1e57d9,2016-08-27T12:21:51-04:00
MAHOUT-1,4d0cd66a6269eb02fceaabdb11d70fd38d433474,2016-08-11T01:42:30-04:00
MAHOUT-1,33c1eab1133d8f286fb3fd18a105789e7ebee44a,2016-08-11T00:53:48-04:00
MAHOUT-1,0ecb6685c2bb8fd2e8857967954d616a59cc2389,2016-08-08T20:40:30-04:00
MAHOUT-1,727e5be85c0326d9c009d9cdc361fe47ffa201ad,2016-06-24T17:25:23-04:00
MAHOUT-1,d9940489d2f849d36af396d603f6170ab560e505,2016-06-15T20:00:26-04:00
MAHOUT-1,2831ae40364b9b4eb74807198dce1a4be005e5e3,2016-06-10T13:26:55-04:00
MAHOUT-1,1fca0743aa7ba9642a1cadfefb149fcba15770ac,2016-06-01T00:22:25-04:00
MAHOUT-1,0381deb707d206a7ad9c09381306a55ba143f648,2016-05-29T23:49:08-04:00
MAHOUT-1,8f4ee88fb40710d983ea3fb6ad008317f6c00936,2016-05-29T13:06:59-04:00
MAHOUT-1,1f3566d358d94a6e6a868cd74a83a553facea355,2016-05-26T19:53:59-04:00
MAHOUT-1,bd1f7bdabceeaaaffd3e7d9c372d40b3b714afc8,2016-05-21T20:05:41-04:00
MAHOUT-1,8554714235ace8f44c6ac81f6edfe1343bacee4c,2016-05-18T13:52:09-04:00
MAHOUT-1,6ab5a8d6456dfc52d7a951ae71618a6417516a07,2016-05-02T23:06:00-04:00
MAHOUT-1,4c85d6a48bcdd5c161f50f85ec1e7d278d1dbae0,2016-05-02T18:50:48-04:00
MAHOUT-1,616b87c07e3889609f10f08423c0e8992f8d6a43,2016-05-01T20:14:17-04:00
MAHOUT-1,b0cede1e2725c16b039c18c4eb0ee4aa324d7389,2016-05-01T17:51:34-04:00
MAHOUT-1,0d6c4e02409a6f8da776d00dc661fd178a7630b2,2016-05-01T17:46:12-04:00
MAHOUT-1,1127661fd96cac6d7584ba50b717bc67bda4aa43,2016-04-30T21:16:37-04:00
MAHOUT-1,4105063d87178c93fd216c8eaeac85b83f506e73,2016-04-29T18:00:52-04:00
MAHOUT-1,9df093c98c985dce06841e31b40de4f7b9233069,2016-04-27T19:02:46-04:00
MAHOUT-1,0c39c29998c8b6f93174bf7458f1b4732405c3e4,2016-04-23T10:17:40-04:00
MAHOUT-1,add081015e9b7c9c4a3a47f084a21680f7c2be7d,2016-04-22T16:33:55-04:00
MAHOUT-1,f26698dc7d8ce928229e39d152da35ac25e226e3,2016-04-19T16:10:47-04:00
MAHOUT-1,2985b7cc463035cf991b5fa94cb6c9abd1592466,2016-04-17T20:49:06-04:00
MAHOUT-1,1f5fc5243053b933a65b8277bc9743cd8e94b5a7,2016-04-10T21:40:13-04:00
MAHOUT-1,472438bc83a51bcc08518e44daff4ec5f3bf81e9,2016-04-10T19:11:31-04:00
MAHOUT-1,4856d5fdf8010127e2e7951a0045b8cc2cae9ce3,2016-04-10T14:44:09-04:00
MAHOUT-1,430310dbf7870e263ea0340df9b226655ce82a72,2016-04-09T23:04:53-04:00
MAHOUT-1,7c275f06e618624ac5bdc269b19d328a6c2b6983,2016-04-08T20:24:04-04:00
MAHOUT-1,eccbc4e1eefb89d198633f4138870e1a64eacfea,2016-04-08T17:08:16-07:00
MAHOUT-1,1aae3321b554adaf18f6c56abe1d7e4835c13cab,2016-04-08T17:04:35-07:00
MAHOUT-1,c9c89627b29156525d1cae714629c59bd011ba53,2016-04-08T19:38:51-04:00
MAHOUT-1,4fc65d4e26957cfef68eb30e0bf712758e21a5a1,2016-04-08T04:03:10-04:00
MAHOUT-1,c1d79ff4c2e38325736f09a8a35eb7ba2625509d,2016-04-06T02:35:29-04:00
MAHOUT-1,c75f3e2de00ffb2014d765e904a3c754169039c7,2016-04-03T12:27:04-04:00
MAHOUT-1,5863bbf1587cabef68f470fc8cd4812a2c1f8f79,2016-03-29T19:26:03-04:00
MAHOUT-1,f0e22e28c8da53a0c26233afd4d363dcc035ee7d,2016-03-28T17:17:48-04:00
MAHOUT-1,b67398f933d50d3e4f00ebd7ccd57f17b96604c7,2016-03-27T16:23:41-04:00
MAHOUT-1,f9111ac27334659b2fb55849319dcd8e113b3c25,2016-03-27T16:06:11-04:00
MAHOUT-1,f0ee522c69a1f47f0d4da263e9f1669404155b5e,2016-03-26T23:28:52-04:00
MAHOUT-1,a77f1c13de58d462eed7ff224ec333b22ac22bf3,2016-03-26T23:22:44-04:00
MAHOUT-1,202b94f840286d4d0970f0427122697ba27fc1fb,2016-03-22T19:14:57-04:00
MAHOUT-1,e06fb119dc3a719651fd48f0d2aa3ee8adee9a1b,2016-03-22T00:13:34-04:00
MAHOUT-1,9bf5292fd7ae8bacf027378d4b692f4e70aa46e2,2016-03-21T22:59:11-04:00
MAHOUT-1,f4f42ae4c4c7555659edcc43669fec82f9537219,2016-03-21T22:22:09-04:00
MAHOUT-1,d1d6fc0a4bcab5fe51aa1775074571174b671b3a,2016-03-19T20:14:51-07:00
MAHOUT-1,c00b96ecc909fe6bcd4dce5e365a7fcea8a2bfdf,2016-03-19T20:10:50-07:00
MAHOUT-1,1c1abbf3d946c6a8082f089b3f49900450553578,2016-03-19T20:06:42-07:00
MAHOUT-1,b25a70a1bc6b9f8cb6c89947e0eaba5588463652,2016-03-19T14:46:48-07:00
MAHOUT-1,67f00930a8412be39de2c7b2abc9936f634f13d6,2016-03-17T18:34:41-07:00
MAHOUT-1,da65cbe2b745da98a39ef51723154ef4a450e832,2016-03-17T18:04:04-07:00
MAHOUT-1,23267a0bef064f3351fd879274724bcb02333c4a,2016-03-17T18:00:01-07:00
MAHOUT-1,2e8790d5c6e0f337abe55906e052d7236f046207,2016-03-17T18:33:10-04:00
MAHOUT-1,812ae398c257b6e2ec87bcc8ef986d50c28e6025,2016-03-15T18:21:22-04:00
MAHOUT-1,ff51ab448b07c5b218d1a08ed5c1194ad5b24179,2016-03-15T18:19:49-04:00
MAHOUT-1,1e6c547e0814393413ed5c67ba149294e1229d49,2016-03-15T16:34:50-04:00
MAHOUT-1,f2aef44cd592904a1baba5e798b3b0d84c089930,2016-03-15T16:34:12-04:00
MAHOUT-1,eda8a38e40d3aa938ea525183ff484957f2c8597,2016-03-15T15:52:43-04:00
MAHOUT-1,b692cbfcc56871c85ea1c483e8d78eed21b514b8,2016-03-15T15:40:30-04:00
MAHOUT-1,93ebed620ae7d7da1a6ac2dbe944a8fd517de1c0,2016-03-15T15:04:21-04:00
MAHOUT-1,e75c5f6064b162e1f0469ea3e86997d1e37f9057,2016-03-15T14:48:43-04:00
MAHOUT-1,cd4e3cec34aac50a6110839be47f9a1be5550e23,2016-03-15T14:24:04-04:00
MAHOUT-1,7d71ad00a5a3f3e8f2b176194259e9f2044484ac,2016-03-15T12:59:20-04:00
MAHOUT-1,401c8e8b4a40accc0d41fe8f3c4ee55dfba0040d,2016-03-15T12:44:52-04:00
MAHOUT-1,46071e6f3eb9ed53895222a54657326c83c62a53,2016-03-09T18:16:58-05:00
MAHOUT-1,c238b3fd80cae020bae4cb8be1838e6104a22d43,2016-03-09T18:11:21-05:00
MAHOUT-1,6ca09989dbd32f319372444595265faa2d5606ea,2016-03-09T18:10:26-05:00
MAHOUT-1,a4bba8261f848ea7833bd5723a515ee3bd10989c,2016-03-08T22:55:36-05:00
MAHOUT-1,5926df8f1130106ff6ff525a3d670f6fff567f0b,2016-03-08T21:45:11-05:00
MAHOUT-1,b21381b92ef9a0e92d8360273a1dcbf368f2a9a1,2016-03-08T18:02:42-05:00
MAHOUT-1,284651dc05c0c57ba094ba738a20db6cbe3bbcd7,2016-03-08T15:32:57-05:00
MAHOUT-1,e8b9c8003b15143a7dd64af074be8b06c9eb35a2,2016-03-08T11:34:56-05:00
MAHOUT-1,fcd6b9e01aea5f92fd947c0964ef7884314f33db,2016-03-08T00:44:48-05:00
MAHOUT-1,97a3f2e022bd2c5fbefb4b53d670b3f313a39cc9,2016-03-08T00:21:03-05:00
MAHOUT-1,f66e022c631c134e8b7e138e25d8fd94011d1b4c,2016-03-08T00:18:49-05:00
MAHOUT-1,e3935bbad97eeb55cbe9f2cd60b8a7ec969a6c62,2016-03-08T00:15:50-05:00
MAHOUT-1,6919fd9febe1585d15e78e51aabcad8fa29235f3,2016-03-07T23:35:37-05:00
MAHOUT-1,57317a51a8da516d6e25000eae7db8b4102cbda3,2016-01-15T19:22:41-08:00
