Bug ID,Bug Fix Commit Hash,Date of Commit
MASSEMBLY-802,d4276614812c131fbfbd7c226836468505be5d7e,2016-04-06T18:34:13+00:00
MASSEMBLY-255,21e64c2e08d64dffde9acffee003b56e11610797,2011-02-03T22:44:09+00:00
MASSEMBLY-255,4119fa5a5fa77198e059bedee06a1fb7cd2db542,2011-02-03T22:30:32+00:00
MASSEMBLY-498,65de0184647579fa9f0c05bc1e4c2ff2179878a1,2010-09-22T23:13:59+00:00
MASSEMBLY-256,cfa406d5a63620f67310c5cc88728edf673bfd2f,2008-02-25T23:55:20+00:00
MASSEMBLY-256,7350bdfaf1a7655a93ed28c3ef156ac774fffc22,2008-02-25T19:29:03+00:00
MASSEMBLY-256,1647bdaf81951895c88e96fecd555b1d20c2584d,2008-02-18T23:30:47+00:00
MASSEMBLY-499,6318e01047a5d0bf8ed8a85e9f4616d078df7e99,2010-09-28T15:51:25+00:00
MASSEMBLY-499,facfdab0a393c4faf32cdb64d27db128d4cea896,2010-09-27T20:49:00+00:00
MASSEMBLY-499,e8e590998d53bcf6f4ce3d98b45473316746b2da,2010-09-25T12:46:42+00:00
MASSEMBLY-378,7044f0054fd562c27fb78a3a346982c46a472184,2010-09-24T16:10:19+00:00
MASSEMBLY-257,029527cc0408a670ef04cb96e7b578ea77692498,2008-02-19T01:35:40+00:00
MASSEMBLY-130,2f9efc0cd50d7eb83c3ab6735631d0483b7e3749,2006-07-31T07:37:20+00:00
MASSEMBLY-132,cc05d757d7c0560bda21c498ac9f4d41597a7aad,2006-09-20T22:24:49+00:00
MASSEMBLY-375,159d81b85c6dbc9abc038f88e03b51ecbed0a55f,2008-12-17T16:35:15+00:00
MASSEMBLY-254,efd7cf7dd33c932ebc949b194328c275982fc734,2008-02-18T21:56:15+00:00
MASSEMBLY-490,b2185457d981184199b286a83cb4186360dc502d,2010-07-17T16:44:18+00:00
MASSEMBLY-371,27196008919c0652c7491ba097dfdc4ffd5291f3,2012-10-30T22:11:04+00:00
MASSEMBLY-371,67268ae2e418b2ea3f3bbb4c8596d0b6d7b5008d,2012-10-28T10:26:32+00:00
MASSEMBLY-250,9215b0578818264d9f1fe788af8a0412f2ab4d0d,2008-02-19T01:00:33+00:00
MASSEMBLY-127,d06c1f674e359bb73ca4b93b01361e02ed1e7f9c,2006-08-11T03:16:54+00:00
MASSEMBLY-245,e9a317fdc25d945a58c99fe3909dd52b94b6830c,2008-08-01T19:05:33+00:00
MASSEMBLY-124,4bc0c99a643a2190d5cff2b28e5b27cec81d3a72,2006-08-09T23:47:53+00:00
MASSEMBLY-488,d3d19285cfdaee0cf5a570973bd511a2a09c4068,2010-09-24T22:11:20+00:00
MASSEMBLY-241,a4263adeb9d57fbe880c982a9d03662d0fb20510,2008-09-17T18:39:21+00:00
MASSEMBLY-120,ed7b5af959600c04612baac7d91acc6c971d3d3c,2006-06-21T20:44:23+00:00
MASSEMBLY-121,1d7c9f94a4e3aa945fa61c0d389198146c64cc0c,2007-06-22T21:43:14+00:00
MASSEMBLY-121,4f16efb85aeebe64a936b36b700e31b6577bfd1f,2007-03-19T14:34:15+00:00
MASSEMBLY-360,025fd33221123778f8e3fd6a4fbcb25a9b3fb69c,2010-09-21T20:36:24+00:00
MASSEMBLY-360,abe06f3f7aed9df16441b8910558f95e70b76eb1,2010-09-21T20:33:04+00:00
MASSEMBLY-824,15c1468af83947b53decb585570537b8e9208c24,2016-07-29T19:22:01+00:00
MASSEMBLY-277,34a1fcb1c010d0c99430572042883f075eb110e2,2008-02-19T01:08:45+00:00
