Bug ID,Bug Fix Commit Hash,Date of Commit
MATH-855,f947c72da7f23b534d568ded6f9b24fe18fe39bf,2012-09-09T10:40:55+00:00
MATH-855,ac597cc1720cd06840486b309b6deefb09123982,2012-09-07T15:43:40+00:00
MATH-855,52582d8c458d6c836fff478e3b8d3ca8e09c2417,2012-09-05T14:51:46+00:00
MATH-855,350f726ce591004a795c3a241540887e79c3c7bc,2012-09-05T14:22:44+00:00
MATH-859,ece7c6fc67c0d584f4884c5b17ddf491a397fdfe,2015-02-24T23:08:40+01:00
MATH-859,66dece126a7a3130cc79b44e0527b8b5eea41bcc,2012-09-08T22:15:32+00:00
MATH-618,2123f7805b1b7aa7f6651f96342e7ef188ff763e,2011-07-14T06:08:05+00:00
MATH-619,b8ed51d4a0384c1157ec5ca2fea73d880b9f4a81,2011-07-14T06:12:42+00:00
MATH-865,bfbb156dfb67cc4b6ad718151323418a9352ce43,2012-09-29T22:18:18+00:00
MATH-865,5144e1d878297d57aa7e124e73520fce3415ed22,2012-09-21T15:34:03+00:00
MATH-865,b55e020684e54bd3d339572f1ef3543be360b6eb,2012-09-21T15:32:18+00:00
MATH-744,98bfd27d631d2fc697a72e4ade6bffcbae83b79e,2012-02-14T14:34:11+00:00
MATH-744,8a83581eaf0fb46000ffe3093b8b4152dcc18b91,2012-02-14T13:16:57+00:00
MATH-984,71fd124ddb1f311a8cb64b608f385c87b67cef14,2014-06-22T18:53:27+00:00
MATH-985,7029443e4941ac95aac5cef4a6e364cf05399db4,2014-01-26T15:58:04+00:00
MATH-985,92846a67918af5b975391595531334376a8c527a,2013-05-31T11:36:15+00:00
MATH-985,47949e9b95761db19ef2c37321b1f6249c57ec19,2013-05-31T10:42:48+00:00
MATH-864,abe53a537b4d19a878e8de3735393e0c4e85aa7e,2012-09-21T14:17:37+00:00
MATH-506,7ec9cd0d126c6eefe1ad54641cc23088ad571bd8,2011-08-20T21:08:34+00:00
MATH-506,80e44be308a611d1353997332a50e1217503c2c9,2011-02-05T12:54:25+00:00
MATH-506,2a8db688b1031ede4feab1351714144a6ec5e9ff,2011-02-05T12:46:36+00:00
MATH-988,d270055e874148a2742604be36ab977eec030fba,2013-06-03T07:15:00+00:00
MATH-867,d1ea9a6fb7c0d1afc2de95db6c61e3321d503c8b,2012-10-09T10:45:16+00:00
MATH-867,bfbb156dfb67cc4b6ad718151323418a9352ce43,2012-09-29T22:18:18+00:00
MATH-867,329cf9e8e643160e4da6fd8622aa5a3b3905fb69,2012-09-29T16:58:18+00:00
MATH-867,678377a1e84797e74daf1f5eb835882af9b172dc,2012-09-28T14:06:19+00:00
MATH-504,9dfd54ef0fbab9965e7c141f7a543c6430d39a5f,2011-06-05T15:59:26+00:00
MATH-989,11b1474cec7e74895d1723918299024bd31377d7,2013-08-10T01:13:38+00:00
MATH-989,25ad33cb9e0c73a0898be36f3dbbf96a5e14efe0,2013-06-10T21:24:07+00:00
MATH-505,ae7dc2aa99b14bbe12945179e55bfae1030dd54e,2011-02-01T19:25:21+00:00
MATH-505,c109e906d3448a83c10fb8b1ae3f5e7ee90e5e16,2011-02-01T18:46:33+00:00
MATH-505,c5b908a195fc775717eb2443d4b262b1417460fe,2011-02-01T18:41:37+00:00
MATH-876,27ab6fab60d420508c92a93f8d8d59c8205a4eb0,2013-01-06T22:47:56+00:00
MATH-876,4907b065683d77ac6dcd3d27fe492298442a3cdc,2012-10-08T13:14:50+00:00
MATH-995,cc15aa3895d51255a8af5497e04112c42a8a0ce1,2013-07-04T14:24:11+00:00
MATH-995,6fb504f32701ea74087559518ecf54bc8ac6ab1b,2013-06-28T20:06:05+00:00
MATH-996,86545dab3ed57872ad98b23e46924d67ddad03fc,2013-08-31T19:43:02+00:00
MATH-759,c2e855d6a05d9a3c18cf66f493728f89dd16ea0f,2012-10-22T18:47:33+00:00
MATH-759,ecf317f16ecfcee1dc59ebb8d48e3ccd6d080e58,2012-05-05T13:41:04+00:00
MATH-639,8b41800046f1d336865b48ea4bc65522ebb3e6ea,2011-08-05T15:05:33+00:00
MATH-757,76b7413d2b1eb2dc22f05de5b76f9519be5142e0,2015-03-10T23:16:03+01:00
MATH-757,386ae0156abf57560f14986bb0c276bd8a70e8b2,2012-12-16T00:45:18+00:00
MATH-879,0912bac5201d98af64a832766146797a9d75bb6f,2012-10-19T14:20:16+00:00
MATH-519,26a610776cefacb898994e8e4ea493b6b1263022,2011-02-22T23:50:46+00:00
MATH-993,74e699d076bb6a05219132043b819c7b92ea4999,2013-06-28T10:20:21+00:00
MATH-631,c0b4954297ce01b64487c09a1dcfcc0124f7053b,2011-09-02T11:09:59+00:00
MATH-631,ebc61de97f41e6beabb07c8418dc1ab2cf5e5ce3,2011-08-12T16:48:26+00:00
MATH-631,334c01e6eba6ef9ce263577f63f2094fc98c2c81,2011-08-06T22:26:55+00:00
MATH-645,f18228dc45b34becf379e190cb8a9bf887252a87,2011-08-17T21:00:04+00:00
MATH-645,6983d81680483705c0e2cf4d62b15feba4e6e3ab,2011-08-13T18:10:13+00:00
MATH-644,47635bdb4ac2464f8a9f8429cc25ee1b1165ef98,2012-05-31T23:55:12+00:00
MATH-644,8ed5527ee0404240865c84443f19349212511c1b,2012-05-31T23:38:16+00:00
MATH-644,a567246d1e41cbd2eeef1cd795c8d46cc51a7ffe,2012-05-31T23:34:46+00:00
MATH-407,eb504310eee46f979b1a4557a11172ae434a4b74,2010-09-20T01:57:03+00:00
MATH-529,183252a6f06fecc379e3a3898fa99237bebf3c1a,2011-02-22T19:17:51+00:00
MATH-408,49792e27a5bc0363aa5531f2b538532cacc2d8a9,2010-12-12T21:46:42+00:00
MATH-405,784e4f69ec67d511a0620a2b030688f186ebb959,2010-08-11T13:40:39+00:00
MATH-648,78c368544deba27f47ebc1643f7eecdad4c59788,2011-08-20T21:45:53+00:00
MATH-406,19f58cfa37a40cb9a52d3b6e02577eadab4edc81,2010-08-14T21:59:07+00:00
MATH-409,aba7e04d4430e2f9786b97d19a22ccb536419687,2010-09-13T02:01:42+00:00
MATH-880,2a9cbbab467052a523d3d59e3d66cf1ef527fb68,2012-10-22T19:21:36+00:00
MATH-880,b25f448d2f934c08fc4de4ed11b654c87b218bab,2012-10-21T20:08:32+00:00
MATH-881,a355d8c20aa19b9a7fa540ead02bc8cd12804b5d,2012-10-19T09:30:44+00:00
MATH-881,4a3a3eba60249000a724d139d0cbc74a7ddcfd68,2012-10-18T21:26:13+00:00
MATH-760,d0721feadc1e0cae6efa3e0d82f523debc5b8d97,2015-02-16T23:50:24+01:00
MATH-640,98556fedcce9e7e4375f994cc171d4803e6c0ee9,2011-08-03T04:16:23+00:00
MATH-640,b468defc676cddd3af2953f5e033f449d9cc661d,2011-08-02T19:48:18+00:00
MATH-930,0c0822d658b003cbc5ff0b2048290f1dbb5590b9,2013-01-20T10:04:45+00:00
MATH-930,573c806be0a515d368cbbd81384520bb98662919,2013-01-19T13:44:41+00:00
