Bug ID,Bug Fix Commit Hash,Date of Commit
MJAVADOC-40,522b1b6c795b4eff88d8b5c88c623914f3455aef,2016-04-16T21:30:44+00:00
MJAVADOC-40,32dde15099156fde0f741633a3a6f13d711c02fc,2014-09-26T21:06:35+00:00
MJAVADOC-40,6860adef56e6219a8fc3521b15a9f22b0e941de0,2014-09-26T19:14:36+00:00
MJAVADOC-40,7ccd5d4363ff54cb0b383c3a043f41437ec21e85,2014-08-10T15:25:24+00:00
MJAVADOC-40,674f3db0c38d67093ba115d08623318ab3241e70,2006-03-04T05:16:32+00:00
MJAVADOC-40,acd2595a723bb9e46e561c7c92a40f4c9eb10d48,2006-01-10T19:03:38+00:00
MJAVADOC-5,43906f119688ac8ad60c043a82878f1aeac1ca09,2019-06-14T20:35:48+10:00
MJAVADOC-5,58c0c6da6f23df9f48b319734dd87b1ce5106fd1,2019-04-29T20:48:25+02:00
MJAVADOC-5,56979750c1752c811da28ff058aebc83b1fd018b,2019-04-14T23:38:38+02:00
MJAVADOC-5,d80cb08678a91a5da15b8b8ed5ce781e4d559d9b,2019-04-14T17:46:50+02:00
MJAVADOC-5,309b649edd6409507a0fe98a02085042356c8b78,2019-04-05T12:30:53+02:00
MJAVADOC-5,d2adefd7410cae0c76d5143c4bc7b6f9e1d1539c,2019-03-01T10:31:15+01:00
MJAVADOC-5,a223f25db79555851f98fee1eba9e778ede69d39,2019-03-01T10:12:37+01:00
MJAVADOC-5,0799b53b804d75ddee1ad2254e62a05199b416c5,2019-02-28T08:31:33+01:00
MJAVADOC-5,f09e0c8a6563f505a5e1bd5862952d00458cdb5d,2019-02-15T14:58:05+01:00
MJAVADOC-5,bb50d3e3c7060594a811c4730872f60e2a84024f,2019-02-13T23:18:06+01:00
MJAVADOC-5,19db8e28cfe3d1d4a98e83693f293d243ccdb451,2019-02-10T18:32:12+01:00
MJAVADOC-5,22020eeccc7cdd39094dd254dcda6ab65890a926,2019-02-10T23:36:33+09:00
MJAVADOC-5,1fe0654bfe1ca550219f428c0dd767a3e70dab69,2019-02-08T10:30:22+01:00
MJAVADOC-5,0c0b08b5aac29c635f2a860ebaedb59fccffed7b,2019-02-07T23:40:16+01:00
MJAVADOC-5,c2681a49d246646b591281750ac0173d6f2f8834,2019-01-29T21:51:12+01:00
MJAVADOC-5,8e7b2655555b35109566428ee32f8cb7459a7f79,2019-01-26T16:51:24+01:00
MJAVADOC-5,76137502a55064e3914f578c0d8d75c375cbba7e,2019-01-22T22:13:10+01:00
MJAVADOC-5,193ff34935bd9ebb60613dfc37c42e33b8017169,2019-01-19T23:33:27+01:00
MJAVADOC-5,fc6fdcdfb53ff18821d37f45fe4de0564a0fffd0,2019-01-19T13:13:28+01:00
MJAVADOC-5,babbc70561bcc25e256d23cd204c6a7e67c130bd,2019-01-16T23:17:42+01:00
MJAVADOC-5,c3e96e622d4ce0ea6e3ba7fcff9cbd2c555ae716,2019-01-15T23:02:25+01:00
MJAVADOC-5,34fccfb151ba0603556d57e1972ac897bce05a5e,2019-01-04T18:24:41+01:00
MJAVADOC-5,0f0f9d40c88916bfb87d769f9b9d1b467351160d,2018-12-29T14:24:27+01:00
MJAVADOC-5,1b7d362e49fadd9897f0087a1928ebb6ac69a0e1,2018-12-29T13:56:46+01:00
MJAVADOC-5,9e866756046d5fafc52983a54c5a87a3d0653957,2018-12-29T12:21:22+01:00
MJAVADOC-5,e6fa5ce7989a1de8f5e0c3205f3b7df7c2d01bff,2018-12-26T12:07:27+01:00
MJAVADOC-5,07f78348dec43fddf253339085379e05e9efba89,2018-12-26T11:15:08+01:00
MJAVADOC-5,bbecee40d1615b02959a81ccf3a5f9720c28b94d,2018-12-22T12:15:31+01:00
MJAVADOC-5,7f02059e97c9b8f1ef75f182b2edfa54e5001ecc,2018-12-19T22:47:59+01:00
MJAVADOC-5,06407e349f578629c15ab2f53edb23d64cb6b2ae,2018-12-15T16:00:20+01:00
MJAVADOC-5,aceadd711651833de882f82eee7d55fb1db99af0,2018-12-09T17:28:29+01:00
MJAVADOC-5,936cf7d5c91f5f3fa0fc54c1326601432374b112,2018-12-09T17:02:57+01:00
MJAVADOC-5,b9ec67bbf5a865bbfff0a8eaa76bc990d568a55c,2018-12-04T20:00:55+01:00
MJAVADOC-5,5a6489ab156c31d228db19a422c3d1c62b5ea980,2018-12-04T18:39:48+01:00
MJAVADOC-5,dee19932870bf9284b07b1dd68bfc2e743725d10,2018-12-01T12:48:08+01:00
MJAVADOC-5,3dcf135299950db9541f7da671bec1a84c5cef49,2018-11-27T22:07:38+01:00
MJAVADOC-5,ffa997370be99ff0093275ce78517fe256afadcd,2018-11-27T21:18:05+01:00
MJAVADOC-5,fa5dd053545122be1c9722a24cc149a6202ef631,2018-11-26T23:25:02-03:00
MJAVADOC-5,2138b0532caee02d7dc33d06e8414af791257438,2018-11-25T22:52:16+01:00
MJAVADOC-5,b78042eca643deb9dddb1b0a472345fce28ccb5d,2018-11-24T12:03:34+01:00
MJAVADOC-5,631a84ee0a54acc916b0958b9c5b86a5d417712d,2018-11-19T21:35:59+01:00
MJAVADOC-5,c05e8dc12410e0cf71b527360fd9e9e5c7579539,2018-11-19T12:43:04-05:00
MJAVADOC-5,1062206921834c705abc0977726d61f6f0ecdcbf,2018-09-10T15:34:51+02:00
MJAVADOC-5,033ce3a46b7fdf3ed6a9075192d6e3b4dd2800ec,2018-08-18T18:37:15+02:00
MJAVADOC-5,b651443bba06fdf469b730024489c3f02629e50c,2018-08-18T00:15:02+02:00
MJAVADOC-5,407343bad4cba9431cb490746ca9257c7a6f7594,2018-08-09T21:29:13+02:00
MJAVADOC-5,3ccb3cc719adb0dd46ef214c4802dcc00099d823,2018-08-09T19:02:17+02:00
