Bug ID,Bug Fix Commit Hash,Date of Commit
MNG-4281,480dd49f8d4480a7164955035f6ad3c62f5ae674,2009-08-04T19:05:43+00:00
MNG-4280,a0f1eb39170f8937350b2d83ae24c503432a5260,2009-08-04T10:58:12+00:00
MNG-4275,ae33045c9645a6e5f679a03a2ed3502a68ee50ba,2009-08-06T19:29:18+00:00
MNG-4274,67a2275ac932e94f362463e94fd2ed892d2c6fc8,2009-08-02T14:42:41+00:00
MNG-4273,49e73d3ff615add1634c80bc161b08dc7c5afda9,2009-08-07T15:15:45+00:00
MNG-2098,ed18f8b7c6e37ef3284647e8d1fa896385777f70,2009-09-25T12:14:31+00:00
MNG-4291,16b9331f9244951c07a0157082da4202691abfd5,2009-08-11T14:53:12+00:00
MNG-5131,84f7f7bbb1417256a528b5ab71e2f0b43f0c700a,2011-07-27T10:33:11+00:00
MNG-4283,7de128096848eb34c268bf8ad8372c9e7a02827c,2009-08-05T21:43:24+00:00
MNG-5137,5c79de69e754241b9204f06fb326d9c8063fa2ff,2011-07-27T10:39:37+00:00
MNG-342,970065b4bd6c155f0716a8b1e571c91e05b099e4,2008-12-30T09:33:02+00:00
MNG-5135,e877a035d76348361f4cae7d9f27c7f591e15f3e,2011-07-27T10:48:35+00:00
MNG-317,ed5868ebc728717b59a505d3412150728f7b611b,2007-09-02T16:51:03+00:00
MNG-317,43dcac45b621c4c2ab2219d104524c7a3540a0f0,2007-09-02T16:43:20+00:00
MNG-317,f6eb49fd0c59aa4be81a2cbb927b1e33cc625d29,2007-09-02T16:37:49+00:00
MNG-316,046666a7154ca2301c7f14a569d0298e53e82851,2010-01-24T17:52:36+00:00
MNG-316,06ebdedc0cc8998886e8f5ed00da9febe1f42b2a,2005-04-20T16:46:27+00:00
MNG-790,ffb317c27d1da04bb46dda87971448c803f88bc9,2005-08-27T02:04:14+00:00
MNG-92,ba94b208d7f4b394e8b60ea682100aa689340b1f,2005-10-04T08:43:36+00:00
MNG-92,ef26e7557663668075394c895d3c0b8ed6ea29be,2005-09-21T23:28:09+00:00
MNG-92,1b96369116874d313d98249dadf2c196846f0c29,2005-09-20T20:11:42+00:00
MNG-92,83d67e6f8192d0c0da43d7d7095cf4e4f4796845,2005-09-20T19:28:54+00:00
MNG-92,ec8d262f16a16aee1eb1141c5bc151ef2c346638,2005-09-20T02:59:44+00:00
MNG-92,74de0709deb6c40b1fce77256d9cc1cce9054483,2005-09-19T21:24:40+00:00
MNG-5149,0721322d4ea8132dee8a7392b7ed03910c8e39b7,2011-08-05T09:26:18+00:00
MNG-97,05add6c489dc8a2296c225ee84f713734cd270bf,2005-10-23T23:21:43+00:00
MNG-97,51b9ce75e512f2e747cf5578a5562f22af72d736,2005-10-15T08:15:33+00:00
MNG-97,fbe2d4ff4fd1249aeb5ea4f616ac5b034e942b95,2005-10-15T08:05:42+00:00
MNG-97,ae98e4f4b8892ae85d71bccd7e20ef558856262a,2005-10-08T02:05:08+00:00
MNG-97,5c48727b1867e6f7f437c8bb4f08e6a21bc949dd,2005-10-03T00:57:04+00:00
MNG-99,4efd043d822c273e8b729026023b49944d3a0d4a,2005-11-09T12:42:16+00:00
MNG-99,bcb11b18fc2d74458bfb589739875712a813f0c1,2005-11-02T23:31:31+00:00
MNG-99,b9bef589d8f31ea8c0fa3d96c5f4d188287584ea,2005-11-02T09:10:28+00:00
MNG-99,60a6b237273828a333976564e24263b1c6172be8,2005-10-23T21:38:36+00:00
MNG-99,ab145f192d62cde21ee7ed96de2bfcf97b2a7519,2005-10-23T21:34:34+00:00
MNG-314,959ce3f30f4229ea0f766fc17aa3de080861c6ec,2007-08-21T04:54:04+00:00
MNG-797,6cf731be0efbee4b6e9c99b521086367db48583a,2005-09-01T21:53:54+00:00
MNG-328,b98795ecb914db085decea52ed44620dd2e2c983,2009-09-16T13:21:50+00:00
MNG-328,b1f048aed76dc8a1bd1544b016f43ddfa759dad8,2008-03-18T04:45:05+00:00
MNG-328,6003f258b3036b7a8d064e41e217919b196c4597,2005-04-20T21:51:25+00:00
MNG-327,715b3007d0376bf2a51c81dcfdae8a26bc390550,2008-01-15T04:19:02+00:00
MNG-327,c09f4395cf4d25ecf5839c0398cee69a6f562f88,2008-01-04T20:55:16+00:00
MNG-327,c141200c3957e9a15811924128da92dbcbdcf8b4,2007-11-06T03:59:37+00:00
MNG-327,d206986023487cdc0cd0dbb9a4b0b5b64e3b34b0,2007-11-05T21:40:11+00:00
MNG-326,42b849dedabe17028b9b0858199f5a73e2293929,2010-01-01T23:05:47+00:00
MNG-326,481eefc1b33fc31d40ba999db527194d9c0b227e,2009-08-27T12:17:46+00:00
MNG-326,c36b12739b556e414d93a2b0ba3af5b8cf78555e,2009-07-12T10:38:22+00:00
MNG-326,1245ac784e777f2d665899fb0dac179fe96ae2f8,2008-05-02T21:04:22+00:00
MNG-326,85b30cf43da700b82e141c57bf959fa939bf9b10,2005-07-28T06:52:04+00:00
MNG-5155,83c92dcc2126829ea710b2d95d770bf11e03df68,2011-09-04T08:35:22+00:00
MNG-5155,a70bfbd89b238a30c895dce9f47e14d57509ff1b,2011-08-30T14:56:39+00:00
MNG-5155,6262c73a6b3bb9126b6df857991fc7b86f8c4fe5,2011-08-19T13:17:41+00:00
MNG-5153,decce3a1209efcaf6eebbd9b8680c4343e6ccaee,2011-08-11T16:45:55+00:00
MNG-322,a48742bc1a43b9c548d2edb851c2fcce89aa2c7f,2009-07-19T21:14:17+00:00
MNG-322,222c25a73b49acfb76d1d0bded6b3a2669751ce3,2008-12-22T22:05:58+00:00
MNG-320,3040f3e412e6b369510708babe4f57d98706e61d,2008-01-05T02:29:16+00:00
MNG-5157,a1d64e71cabb8e6a884321cae794366da3624673,2011-09-27T14:37:20+00:00
MNG-5157,870a3b3e8040a7ee2727480bc0a43121ac99e59c,2011-09-27T14:37:20+00:00
MNG-5157,e49d091bc4ff310dafbf824e7f304abb4517ce64,2011-08-17T11:02:03+00:00
MNG-3391,3f7513307601cd1f0902dd1bb920593a870922ce,2008-03-27T00:47:51+00:00
MNG-3391,78f361ecd41d229f5c2f9924243e2bc136ca8de8,2008-03-14T21:35:41+00:00
MNG-4239,433d4bf3b87da1dc381a873fb7d095a46cecb314,2009-07-14T14:38:57+00:00
MNG-372,3be583ee12274ebda5393cdf65a700c8dc551160,2005-05-10T15:36:39+00:00
MNG-372,26622164f4436d519bbeb796bb419dcacff5e8ec,2005-05-09T11:38:38+00:00
MNG-372,8e6a8fa694231605a5cdf36f13db4c5ae4bdc44a,2005-05-09T00:22:11+00:00
MNG-372,0a7842482f5d1107ce960637fbb4ec9e82d47ca9,2005-05-08T22:50:01+00:00
MNG-4238,0b8b83f6705f8df72b4dbd6cbc58afdb8b6c669c,2009-08-28T17:57:04+00:00
MNG-5568,14e4885de9729c88715b4036a740733c0476e472,2014-11-30T23:26:12+01:00
MNG-72,ce8f50cc0a6e4cf8320f652fc92a50225625e246,2005-10-08T15:37:00+00:00
MNG-72,7ac27ec84cf1766c37767b4b87c768d8ed33fcc1,2005-10-08T15:35:39+00:00
MNG-72,570bc62482f030fefca8a58a5ef5e10980fb391a,2005-09-08T15:22:01+00:00
MNG-72,932caa362ac4e9720f01426478062e044478df4b,2005-08-19T13:15:07+00:00
MNG-72,6db6fb89094bb92c9fa57bc6f83a6fdd7e037c41,2005-08-16T12:47:25+00:00
MNG-72,a1330472808a3a615c5b6319803e029ae4a977d1,2005-08-11T12:28:52+00:00
MNG-6415,7c1e7129b12973769f49cd946236e43f4bd17d51,2018-09-24T19:50:39+02:00
MNG-77,9b522457500b3df5d64bd46f38a5d68a9a737e5c,2005-09-25T03:09:06+00:00
MNG-77,98823bd6d2d30ae78b1eff32cd102674dfe52cea,2005-09-16T10:51:45+00:00
MNG-77,f437fb5dc2da383064a38a58d846adef3f0bc459,2005-08-24T20:31:29+00:00
MNG-77,d6bd62e537c6d132d2f95707a388d4ca74de6779,2005-08-23T11:31:46+00:00
