Bug ID,Bug Fix Commit Hash,Date of Commit
MRELEASE-177,f86ae2df09052896134988aa4acf95364ef3182c,2007-05-21T14:03:35+00:00
MRELEASE-178,47b40cdd2bb7fca7090000a43e3c8da473ecaa87,2007-05-18T15:22:14+00:00
MRELEASE-296,be8f8b178d48fef5435b89ff40392bc991cf299f,2007-10-24T01:07:14+00:00
MRELEASE-1009,b0f5aeb391a4c13286950df7a62c0553bdbc18a2,2018-06-28T16:14:28+02:00
MRELEASE-1009,d5862ca6a2a62a2bbf13df75e20b3bbc0f1cffb6,2018-06-28T13:46:24+02:00
MRELEASE-966,909f0191ba866984930af924fb5b04afee05afff,2016-11-11T15:32:18+00:00
MRELEASE-846,111d97aae21268158e0022c0197c71acb3ad2d28,2013-10-06T20:25:56+00:00
MRELEASE-964,c0b2304e73e4044e993e628eb407c72d7f80c33d,2017-01-08T21:17:21+00:00
MRELEASE-601,6ee40753a61ee342775e20d7c757489b89b37aec,2018-01-21T14:08:20+01:00
MRELEASE-168,9cf50c313c835aef0698651516625116a9a231e9,2007-04-24T13:40:14+00:00
MRELEASE-968,72bef819616881f002158ef92bbd5c5a87bea2bc,2017-03-05T20:17:41+00:00
MRELEASE-727,8df63b121565699d1238c4fcd937357cc7dbceb9,2012-04-30T20:58:28+00:00
MRELEASE-727,d6bed4ef71b127ea88757bd8ad6b4cd824f0a7b9,2012-02-16T21:34:12+00:00
MRELEASE-1018,425ec60c50191257140866d2fbec4760abe0b700,2019-01-28T23:07:39+11:00
MRELEASE-834,f79a3f0958821240eb6cebcbda26ecbfb93db4e6,2015-03-28T18:41:16+00:00
MRELEASE-834,75f8b8a4aa80641131a9c7030a8174b7579ecafa,2015-03-28T18:34:22+00:00
MRELEASE-832,daed8d5a5e3214595357643f7928243838f40846,2013-04-16T20:24:33+00:00
MRELEASE-278,68e337c179ff3cb70295a005e97eda02baf72175,2009-08-18T16:45:13+00:00
MRELEASE-278,56eab97aaa508213cd9262ec3b4cfb75c9eed3b1,2009-08-18T15:35:43+00:00
MRELEASE-393,ddf7888e5b53c3f6fb7a2a12ebaf2713518cf1b2,2009-01-11T12:26:53+00:00
MRELEASE-273,37e760161b122b832368842aafcba0099792c185,2008-11-27T23:44:48+00:00
MRELEASE-273,cd8364d7dcff97765577f419e3917e87dd2c3394,2008-11-27T23:28:24+00:00
MRELEASE-273,84623ad99ad8839a94fa6cc50bc75bbe698c4b6a,2008-11-26T23:44:52+00:00
MRELEASE-273,d869e632afe21b93132d0ad823e06a3cc1c3b6a6,2008-11-26T23:17:58+00:00
MRELEASE-273,5772b29b62b7f0024a845a946b0a4dc461fed1cc,2008-11-26T22:22:32+00:00
MRELEASE-267,d6cec33c39f2b26f081d55c1130f5753b9310653,2008-05-22T23:06:22+00:00
MRELEASE-147,b16dddb0ea330438e40194c5598f30d04107f426,2007-04-24T12:58:01+00:00
MRELEASE-947,1ea6cdb814f7769a024433073988827619a571cc,2016-04-01T19:26:09+00:00
MRELEASE-386,8783bfcec1965f26c06c7f7369a520d4ec9ff48b,2008-11-26T21:54:30+00:00
MRELEASE-383,3ee098adf1d81875fa71c48989b429420c5dc349,2010-02-10T03:03:50+00:00
MRELEASE-383,b9a7468077055750191d8e1ebcbd85709002c685,2009-09-14T08:23:41+00:00
MRELEASE-383,99d8a392634ba806b4328a69a5022e66111cf060,2009-09-10T10:06:11+00:00
MRELEASE-379,72324b71edd3f91be2e649dc958ceaf20de15b8d,2008-11-26T22:39:30+00:00
MRELEASE-137,33bdf1b644d850494611c55f1b84df636fcde060,2007-04-24T08:57:36+00:00
MRELEASE-818,0e63eb3aafdb5637f948fc036af08b193ba07de0,2013-01-08T20:20:17+00:00
MRELEASE-819,478674b8a21b0016517f4c958690091b74204996,2013-01-13T15:29:50+00:00
MRELEASE-892,055e723054b14f1db025e560182f0a6770a21aa8,2015-03-28T19:12:43+00:00
MRELEASE-770,0a55b15142dad3aa39b4662dce971dd6a3c3040b,2012-06-10T09:20:32+00:00
MRELEASE-405,e23466fe100cfefa1bd854ac8c1fb62fceb99bcd,2009-01-15T17:40:28+00:00
MRELEASE-13,33bdf1b644d850494611c55f1b84df636fcde060,2007-04-24T08:57:36+00:00
MRELEASE-12,db39c1ff80363ee097cbb7c46c39b5c6ac101ad9,2012-03-19T22:31:57+00:00
MRELEASE-12,9c19fc75a23ead50a487d366808d2f352d6f680a,2012-03-18T01:00:02+00:00
MRELEASE-12,812299affb75e119532d943c562bbb300e916551,2010-09-28T11:50:57+00:00
MRELEASE-12,54c53fae2d2bf85b519bd1185b152039a1746b4d,2007-08-21T07:12:06+00:00
MRELEASE-12,7f1d97057419c55adc07cbbb399b2116cdd1b44a,2007-04-19T08:48:36+00:00
MRELEASE-12,b17bfb9a98f9ff084a8718a56c70e562aa1aa2c8,2007-04-18T09:55:47+00:00
MRELEASE-766,4a5dc08a8cbad71f9d6edce637c273eb73d101e8,2013-10-19T12:46:22+00:00
MRELEASE-524,7946411905395c7090f9c243dcd3aa8bede4cc93,2010-09-29T08:18:39+00:00
MRELEASE-524,469967a6c4aa93d376ee81005089c1c67ba0cf80,2010-09-29T08:00:59+00:00
MRELEASE-888,ee1145bf4494ed2410b937ed5a628c9f5428011f,2014-09-17T13:48:44+00:00
MRELEASE-14,1c273577b4cac276a02b9280437e456c5acd121a,2007-04-25T13:34:55+00:00
MRELEASE-14,b16dddb0ea330438e40194c5598f30d04107f426,2007-04-24T12:58:01+00:00
MRELEASE-765,412415bfb41e839defd5934359b625e66d7177bd,2012-05-30T21:53:14+00:00
MRELEASE-520,295a1d74bc2e5eaeef77ea7bd1c7f1f67058f1f3,2010-02-06T19:36:26+00:00
MRELEASE-17,8a92bafe8f32e8caf58e5e05191d3705a2c330ce,2008-04-24T22:09:26+00:00
MRELEASE-17,c3d675763b6554163b6acef362000aa85c8259dc,2008-04-24T21:46:34+00:00
MRELEASE-17,5660ee5a6eda2670d19d4a8fcbb140872606899d,2008-04-23T03:23:08+00:00
MRELEASE-17,d8d4c09af6d788e922cc98d8a308ca2faa22bf0d,2008-04-22T23:01:06+00:00
MRELEASE-17,f86ae2df09052896134988aa4acf95364ef3182c,2007-05-21T14:03:35+00:00
MRELEASE-17,47b40cdd2bb7fca7090000a43e3c8da473ecaa87,2007-05-18T15:22:14+00:00
MRELEASE-17,00d0e01b8f7832fa06ab34c19a161b7152449938,2007-05-03T14:41:44+00:00
MRELEASE-16,74a54c61ee84e62d59b5d3fc1ed9c2e274e74398,2019-01-08T23:48:54+01:00
MRELEASE-16,9cf50c313c835aef0698651516625116a9a231e9,2007-04-24T13:40:14+00:00
MRELEASE-19,ba0a6587b247e93b477c4217dfb4336d0b1beb86,2007-04-26T12:21:36+00:00
MRELEASE-19,65f3346f521e65c8809e1c8ad3e80f0d39cdac3f,2007-04-05T09:27:10+00:00
MRELEASE-19,58d7c93134e7331a8f67f6359aab103a929ca8b8,2007-03-03T21:30:24+00:00
