Bug ID,Bug Fix Commit Hash,Date of Commit
NET-180,a68542f4bcbf6d986a5eb62b3584230556c95bb5,2010-07-11T22:00:50+00:00
NET-63,f5e5d18165434e8ee03d980373e883850a3f8cdc,2017-07-03T15:50:29+00:00
NET-63,79ffd5d28b55b0ff551553dd460fa94511ffb00b,2017-07-03T15:48:41+00:00
NET-63,e08fbb9e9adffc54c5ad87ddfd57b590e65ef862,2017-07-03T15:38:05+00:00
NET-63,7fabd00432b9974240f1df75e1e7fa63ba276589,2017-04-21T16:30:03+00:00
NET-63,a4c2318b1c86fd267e490818311859de7130c6d8,2017-03-27T17:11:07+00:00
NET-63,1f53268e6c72cb65abecb04826c5e4243418789a,2017-03-24T16:19:38+00:00
NET-63,5cf11219eed630818a4ec33da3aa78486e02ee5b,2017-03-24T15:56:14+00:00
NET-63,d8f9af13ba04b2b483f6d441d1c4071174726988,2017-03-23T23:51:01+00:00
NET-62,51a731ba04c8a5555afdb235095076382f67dae6,2017-03-12T14:35:49+00:00
NET-62,d651fb37e5a3ebc1f0a4241fe569d13f6e460bae,2017-03-11T14:57:54+00:00
NET-62,3a7c1a0ec0ef23e318e465fc5cafeebf544f10be,2017-03-11T12:55:16+00:00
NET-62,76036954547d0ead559f4e7b258019b3355d05a4,2017-03-10T23:33:40+00:00
NET-62,ba2886c990242c32e75d94a9d4c7ec9aa2571f10,2017-03-10T22:20:35+00:00
NET-62,8ade49c09a726757d9a479f0a310d77d79d6819f,2017-03-03T17:16:11+00:00
NET-182,000e726af8464d94e7d02d307dde0e07e176d58c,2008-02-18T00:22:53+00:00
NET-185,4637434691d853d013daac0af1374cfcda3de031,2011-03-08T23:35:21+00:00
NET-60,6697e685dd8d3bb7a41c65a013276e79910203f5,2017-02-07T23:23:36+00:00
NET-60,34074f97a0a0572518c8736a30f017563cd7e9b3,2017-02-07T20:33:05+00:00
NET-60,cd299336abb873f53664063e0a977650f22fe8f3,2017-02-06T16:43:40+00:00
NET-614,fb7aae4c64f7d2bf6dced00c49c3ffc428b2d572,2018-10-05T19:36:40+00:00
NET-614,a4ae7b2374bfab3729937f8e293f3621d3b07654,2018-10-05T19:23:16+00:00
NET-618,c296d280f5c66277a7f0b6fcd0843eb7ad061858,2017-02-28T21:21:02+00:00
NET-178,d26934447d0959f1cca83ef987f455b60675f711,2008-02-17T23:16:12+00:00
NET-610,d5c724671fd72d49ec416e7fd086220ef7c8f4e2,2017-02-07T15:33:35+00:00
NET-67,940ac7687587945ed95f5bfec56ca22e9bbb185b,2019-07-29T14:36:47+01:00
NET-611,c038c0c1c317861366eae15f3b3dc70d9e927992,2017-02-07T14:40:49+00:00
NET-68,7556827f4d25275707a839ae2143a5c4afe169a3,2008-02-19T22:42:05+00:00
NET-68,4676f817b13db90735df8fb9e35304a7a75722f6,2006-11-11T16:09:00+00:00
NET-73,571c9eac8a1471ad1a088e71e06a1a61a95e9646,2008-03-05T09:25:48+00:00
NET-73,3c394cece81c20dce6747dc5512c25a82194b847,2008-03-05T00:17:28+00:00
NET-195,84a574e82115eeeeed3d115f2a09d0a080b8c7c5,2008-04-06T22:55:39+00:00
NET-195,3687d9331a0002f7735dddf93fc0bc19939bf94a,2008-04-06T22:54:49+00:00
NET-194,8601927a7abd8a549d737024575fa97cf0643b2e,2008-05-16T23:01:51+00:00
NET-194,46c188e2a222fe567926cd5c9291855238622ee5,2008-05-16T17:31:27+00:00
NET-197,104ff762285bf11ff4305f295d822cc79262eafb,2008-04-06T23:07:44+00:00
NET-197,2bdec9bac2d6b5135aba3b8b80beadf5492a7348,2008-04-06T23:07:06+00:00
NET-624,3a7c1a0ec0ef23e318e465fc5cafeebf544f10be,2017-03-11T12:55:16+00:00
NET-624,76036954547d0ead559f4e7b258019b3355d05a4,2017-03-10T23:33:40+00:00
NET-503,6efd0220ab3f3735cddeb7703f0049bd1ff26d3f,2013-02-20T11:05:22+00:00
NET-505,e25ab319c95f4f2bf76815a9eb6df20be1cdc111,2013-06-06T08:53:30+00:00
NET-509,09472a2175e4717846bff4d4d9f29c791833a693,2013-06-07T21:59:15+00:00
NET-188,881bd43752025c1315b09177d3bb5478d16835da,2008-04-07T14:11:03+00:00
NET-188,35648a2d7640d8551a372a80c88f7d337daf8411,2008-04-07T00:27:04+00:00
NET-188,b4d24d0c1a2b30b74be218b9c23727ab78af970e,2008-03-04T07:40:45+00:00
NET-188,7e9b1a447f277ac07267710aa96f42cabf3b49b5,2008-03-04T07:39:17+00:00
NET-188,1ccf0989570645d9bb403a916324d07992c16b12,2008-03-02T20:29:07+00:00
NET-188,251c542162e563fef81954fd373cafcc31f24824,2008-03-01T12:41:17+00:00
NET-188,fdfcb814712d7d6c40116bdbb6df183f935f0cb3,2008-02-27T09:16:59+00:00
NET-501,3d5e169b975731cb028a7974d81e7be0f2f60282,2013-06-06T11:32:38+00:00
NET-636,7fabd00432b9974240f1df75e1e7fa63ba276589,2017-04-21T16:30:03+00:00
NET-514,5e305c6a2c7d0e3d2dfc9c07a702167f55944373,2013-07-31T00:42:18+00:00
NET-517,f2e08e8429dd35afbc522e72091f11e5c2731bac,2013-12-06T22:17:46+00:00
NET-516,41dd3db34ae2c03f5b5148bcca84653055c0e3eb,2014-03-05T16:59:02+00:00
NET-519,ad3da80ff944adb1c611fb0c96bd7a1a34aa422e,2013-12-06T22:22:10+00:00
NET-639,e08fbb9e9adffc54c5ad87ddfd57b590e65ef862,2017-07-03T15:38:05+00:00
