Bug ID,Bug Fix Commit Hash,Date of Commit
OAK-1968,bd81944217169935746c19f817fe6948b548edb9,2014-07-15T07:44:24+00:00
OAK-1968,c5178b01c071bba027f2c5d64a27540ad6c2951e,2014-07-15T06:18:43+00:00
OAK-2815,99d005e9d29acb9671382dbdaf0e700d1388bef0,2015-04-28T07:35:28+00:00
OAK-1969,12c43335f20bd36dd88565bd9109a82f769b6445,2014-07-15T11:30:43+00:00
OAK-1964,04428700453836e72aba6d09c39491fb10b9feb7,2014-07-10T15:49:12+00:00
OAK-2811,af65721ceb87a01f2cc43894d199e9e987cf108b,2015-04-27T10:25:26+00:00
OAK-2810,f3db7fc944cb978d75f73884f3664973cb07e07c,2015-08-10T12:10:10+00:00
OAK-1960,ea4cc5a5729928233db423814ee5c535d7be2772,2014-07-09T12:14:53+00:00
OAK-5093,b2f951bf436296a7cb6b1799c084fa5ce05a3bcf,2016-11-10T10:59:08+00:00
OAK-5094,a5f7421ebcd3522c7499d530bc7299d219c05b83,2016-11-10T16:48:56+00:00
OAK-8122,0218196704dcb14c5cdf4c31651fdfecdba34b91,2019-03-11T12:13:33+00:00
OAK-5096,4fd8ee57ef9b378478f394d2008c026b189bd6cb,2016-11-11T15:46:33+00:00
OAK-5096,3b1310c808df7170438de2dc20d052239df828b2,2016-11-11T08:55:46+00:00
OAK-8124,58e15c0baa174825d0022a7aa9c8f5f5e689ef18,2019-03-15T06:21:06+00:00
OAK-766,f20397061731a9784bdb0c2dcf2b4d8e98d86132,2018-07-27T07:28:58+00:00
OAK-766,7d8ef8dca247c4fc98974c949a884565cf36d498,2018-07-27T07:28:45+00:00
OAK-766,3c9697e7ea94fdff4bcb35ebf258709e1896e4fd,2018-07-27T07:28:27+00:00
OAK-766,934a53a77a5f56b1a52735fd08b9a4307ed4d3b1,2018-07-27T07:28:14+00:00
OAK-766,bd909ec9d75e483c2090f993749bba62fcc9f986,2018-07-27T07:28:02+00:00
OAK-766,59ea5ef7b4984c31a99967742bf487ab62dc1cb2,2013-04-30T10:50:45+00:00
OAK-766,6fc5ea9d1be35f31e221f54f22c618800ff7af24,2013-04-25T15:12:57+00:00
OAK-766,ae3dad2af172f2f25215a0235e66ed1ddf975a0d,2013-04-12T12:49:01+00:00
OAK-5099,45a3729fe0b0ce36e20aa33c23981f64d114d1e5,2016-11-11T15:28:02+00:00
OAK-765,85f284b8709c1c8aba3032991f156cdf05ed81a1,2018-08-29T12:00:20+00:00
OAK-765,87cb861721e272bffc49e18b98c9dd6070ee709b,2018-08-08T08:04:44+00:00
OAK-765,b19dd61f21e83b161ba2371a7a2fb5a0d63391d8,2018-07-30T18:30:06+00:00
OAK-765,4f62a419e608d99d1dc2bcf3bc6cf99434238ea9,2018-07-30T05:34:39+00:00
OAK-765,5f389fcada45be02c1defda131236b3c69651983,2018-07-26T08:37:48+00:00
