Bug ID,Bug Fix Commit Hash,Date of Commit
ODE-763,c2c1dc7d445dbf81b415a85a66ea42f7cc786608,2010-11-24T14:48:43+00:00
ODE-642,f67e30e017239f800a9bb84725dd45d5db03c4bb,2009-08-05T18:37:35+00:00
ODE-642,e8e1e37a778bb5fc0bd64fc1310db31279473372,2009-08-05T18:35:57+00:00
ODE-521,fcbf3e380613a24443d95a5b7f9d5e8346a8599c,2009-02-18T16:09:57+00:00
ODE-521,80cbeb23a4f0f90c795ec3265b3ac2dd73c462fa,2009-02-18T15:45:17+00:00
ODE-761,b9088f004d5ce2da50f81b1bfe2b64a55e6aba94,2010-02-10T13:38:04+00:00
ODE-649,22042e444498f3646796e7b04abd6da71f1aa53f,2009-08-14T09:58:03+00:00
ODE-528,8454c909df7d79a9a3406141c66481612b2d7d81,2010-04-13T22:29:40+00:00
ODE-407,85600037690e48f3cb070352fcf1d0447bb4fa06,2009-02-20T00:43:10+00:00
ODE-769,dc524061d035e7a353e73d292a8ac6e7c8cd913e,2010-02-12T22:40:16+00:00
ODE-527,c12d165914a5ac6969e35770b870d7ed82913819,2010-02-10T15:53:55+00:00
ODE-768,d08d874b05b2d5b44b66afa41a0d5cc14aea4d5c,2010-02-15T16:55:34+00:00
ODE-647,d476606a51b0d2df10c418d1dab7faf7d5026cfc,2010-04-11T21:18:19+00:00
ODE-526,409efa1413e7f80318bd4e6e9be6284c578e83cf,2009-02-23T18:34:55+00:00
ODE-405,7823220d455e0ab2ad542e49cf76c833dc4f2e57,2010-03-09T21:24:50+00:00
ODE-405,d3db4bf037eebdf86da0dab68f55d0e95d93071d,2010-03-06T22:40:16+00:00
ODE-405,f9431eb03824ab276b603db9d823f7261288d5a9,2010-03-06T19:13:27+00:00
ODE-405,9858093379e5ca9ed4fb989367b1736d6c1dae32,2010-02-10T22:00:22+00:00
ODE-888,0a7461f51df3c02ab0e868dbdbd9055994a2d011,2011-01-07T02:40:02+00:00
ODE-888,a341f949fac0782600c5f855d624efb11c56389c,2010-10-11T19:20:59+00:00
ODE-888,57ad06175b5dadce40478918a1379a69757c955f,2010-09-14T12:32:44+00:00
ODE-646,43d44970a337d6198d65243512089bc3ac11d689,2009-08-07T20:29:03+00:00
ODE-887,fcd10449cfb88de9a28a1ab5cfe18c1cfc0e52ac,2011-01-13T14:15:33+00:00
ODE-645,8d7b3475c3dcbd2289c897379c0c700b3eda8668,2009-08-07T18:31:31+00:00
ODE-645,fdd0d73b1b3fc563006e070c352b80afdbec76b3,2009-08-07T18:31:07+00:00
ODE-644,5587c32b4d04c4af68dcd080d54112304cc69c2b,2009-08-07T22:28:14+00:00
ODE-644,0cf7bfbe9ed8f432be7e9f0081434cffe19a5462,2009-08-07T22:27:03+00:00
ODE-402,469c8c67cfabb3db859695d62966d7f7e7974f19,2008-10-25T17:38:32+00:00
ODE-885,329ba23552969520f14eac652bfb531f2bb0209e,2010-08-24T04:00:29+00:00
ODE-764,405fec62bb7963fdbffb8e557ef845244fe2ff0a,2010-02-15T14:22:54+00:00
ODE-522,822aa7a1a112c5035a859c03f7683c4218e81d56,2009-02-18T19:13:18+00:00
ODE-522,4900c26f491ccc5e464d8f47c66a6224fc67ff10,2009-02-18T19:12:08+00:00
ODE-401,7b1fb0b7bdf5a2c1e8d0b06764e3db7211d5496d,2008-10-27T17:48:22+00:00
ODE-519,0b17497380bfc82fe881bf3eca0861ec63e611c0,2009-02-27T20:26:51+00:00
ODE-519,ee40b6623cc75e2ccdf8101dd7b34bfcb6ca7da0,2009-02-19T03:04:53+00:00
ODE-994,fdc485544766646e29dc4aa4fcc8bbc639b288b9,2013-06-11T15:07:55+05:30
ODE-872,c17ab3f5a248b94d96705460daab5a79ca36fcaa,2010-07-14T20:39:01+00:00
ODE-751,3a1354e43505f4beaa2eeadeed4932447e024ee2,2010-02-15T13:57:05+00:00
ODE-751,e8b55cbf34570fa01a1bb1f6e233673343ee3ca3,2010-02-14T21:05:19+00:00
ODE-750,5898a35a394344f76c3294bc9c8f0812ac6644ee,2010-01-21T19:37:38+00:00
ODE-991,c3fb423161682f8956061f4db72b816567d06856,2015-07-17T20:36:57+02:00
ODE-991,768cb6dcee7f97a2d606ea7ae60f35a79e03238d,2015-06-11T12:24:33+02:00
ODE-639,26e416561cfd4f6e61cb7d5ebf39e11771738f7e,2009-07-23T13:34:06+00:00
ODE-639,bc88ad02ecc13a93eaa62fd0e2057095abe04400,2009-07-23T13:30:10+00:00
ODE-518,0603c57802893964c48dd078a26a36fd3876a37d,2009-02-18T23:09:40+00:00
ODE-759,d25afe4aa7ec461f027582965a041ec55a4513fd,2010-02-08T21:30:34+00:00
ODE-759,669b87a9fa245418fd6f1d9193bfaf7628618345,2010-02-05T13:09:39+00:00
ODE-517,a2519be1304de97f4fc1e9f45af661ca983824a5,2009-02-25T21:54:59+00:00
ODE-517,465068070bea3079db050648b3085422590f80c2,2009-02-23T23:17:31+00:00
