Bug ID,Bug Fix Commit Hash,Date of Commit
OWB-1084,8303af22503ac75f385174749628b54dd2881512,2015-06-28T20:26:47+00:00
OWB-1083,f2bfd3c63f769404109888d30d47f8d88cab7bbf,2015-06-12T16:06:05+00:00
OWB-1082,534dc01cd50f7066c0e27987dd77616403544f16,2015-06-10T17:41:30+00:00
OWB-914,f6d40c8a52f959990ed973b8f1384107d52bf046,2013-11-13T23:09:18+00:00
OWB-916,1eaba88a51696a047133e53a91db4d1b2cd7705b,2013-11-25T13:35:25+00:00
OWB-916,d10ddd8b1968dc6d6d737019f9a46b9bfbb2beb8,2013-11-25T12:50:19+00:00
OWB-918,2b07b6e41dcf1a9ec5e733c6d7a3992b4a9d5866,2013-12-17T20:33:32+00:00
OWB-917,d1d1598d32915373db69ccf2704a0541df524831,2013-12-18T18:20:42+00:00
OWB-917,2605a0fda9a5169d4c915b7e50a8d7901b82f99c,2013-12-17T22:16:36+00:00
OWB-919,836161c058f9fcfd69ae20363869d3e202f11fb1,2013-12-13T19:33:54+00:00
OWB-910,b2c4e320fbc624410e45170eb61f611b5160c071,2013-11-04T11:33:59+00:00
OWB-912,498c8609a1cdd3f1def85ba251d269f91a8ca424,2013-11-07T11:05:29+00:00
OWB-1194,a301cf5141bcb5c007b1d3264ae8ff637b78df49,2017-06-08T15:16:32+00:00
OWB-1071,ff19dad76cadb5165726b2bb3fb0707c46a33e2d,2015-05-12T07:59:05+00:00
OWB-1071,609f29fa393d3c648db86316cf76fde13e2a53f1,2015-05-11T11:46:10+00:00
OWB-1071,117e8c146b953f7aa8f1246179eb4ceb36169acd,2015-05-10T21:39:59+00:00
OWB-1071,a768a285a4202b7ae2128daeaac53d0560e8101d,2015-05-09T21:08:28+00:00
OWB-902,2732091ad157106dbee6b5a2051230a8f4c16a96,2013-10-02T10:22:49+00:00
OWB-905,639ec7a637f3fde0719b2ff3288efba9422ff2cd,2013-10-26T20:25:15+00:00
OWB-904,1fe14e00eef09489dd05dbfc8f15bc25752666b6,2013-10-11T09:45:54+00:00
OWB-909,ddaca24b8faa16b23d46689a72369965891b7d7f,2013-10-26T20:23:48+00:00
OWB-908,6e4651d70c5c1e4f11f44d8913147b04c6ab5d12,2013-10-25T16:13:55+00:00
