Bug ID,Bug Fix Commit Hash,Date of Commit
PIG-5198,6fadf662cd5f987301265c9a15258c8dd6e45efb,2017-03-28T15:02:36+00:00
PIG-2917,2cb79498cc84c3ba640792fb688f4c9e4a932a5c,2012-10-01T19:17:29+00:00
PIG-2918,37c604329566e2d60a9e76d0999f9f3c6831431b,2012-09-15T02:38:54+00:00
PIG-302,9287611c3f889a0d2c903781aa4cc8c743d6d8e3,2017-05-25T07:07:55+00:00
PIG-302,e6bef22244ec6c365257929b1a9f464aebfdd93c,2013-05-14T18:01:33+00:00
PIG-302,19370c894afb56b228c14e39962599ae01fc4b9a,2013-05-14T17:57:38+00:00
PIG-302,1c395eaa4348ed921b5e0720812b9877cc6e9fde,2013-04-25T21:12:26+00:00
PIG-302,0564cf689972d57644bbc560bf250517839ca381,2013-04-23T17:49:31+00:00
PIG-302,4ba88e74993cf841134ce16f5b01f745c2a636a6,2013-01-22T05:01:54+00:00
PIG-302,478197fb4a6b75f16a49785c974a1a7a440774a6,2013-01-16T23:03:36+00:00
PIG-302,54fc0939dc68b5c33a382ef4d8893bd5f3a7afa8,2012-12-18T02:15:10+00:00
PIG-302,8ef6038105b4a239c0745511e6ff12176475dd30,2012-12-18T00:19:20+00:00
PIG-303,29a2465847b59036695d6f2be1f93f4cf3788657,2018-09-26T17:53:05+00:00
PIG-303,fe51f11d41416002401c2a5c0ca52d4330ebe0ac,2013-01-25T00:11:00+00:00
PIG-303,34b11e70a84c2593d1530578ac4ca0bac0c2e867,2012-12-10T06:18:56+00:00
PIG-303,13d6617e90031f40fd01ad3db78fd55061ea971d,2012-11-28T22:42:34+00:00
PIG-303,133c33f981f5384e714fe73360a6563a3041446b,2012-11-19T12:00:29+00:00
PIG-303,8f9ead03a030002a3e4d66da0a1b417f4d47536c,2012-11-10T22:22:57+00:00
PIG-303,b62c1f01fca2122386d6c55e4c7c0178a23a90f6,2012-11-08T04:43:04+00:00
PIG-301,eb6b2019d9b35c43b59fb0e9d520b4f15c5c9c9a,2013-06-28T22:54:05+00:00
PIG-301,4e17f9b925e9a32683fc9b4b603feb2e12e89939,2012-11-30T23:53:27+00:00
PIG-301,523261f80750b9602dc1e42a6497051d6713a088,2012-11-28T21:36:41+00:00
PIG-301,56def5439cbb8f398407bd3b0f2a1bf7bc6192a2,2012-11-28T21:35:08+00:00
PIG-301,fb26564c6c96ba4c4e72a8048a0d5d0962f753b6,2012-11-08T17:06:46+00:00
PIG-301,72e3709d15c82636c2b6be6d167e5b6874cd85c4,2012-11-04T17:10:39+00:00
PIG-301,585478a7c6926248b63374e6d26fc03c23e87b12,2012-11-02T20:26:19+00:00
PIG-301,c11bfd7549682c4316120d85234e31993445854d,2012-10-31T20:42:50+00:00
PIG-301,eee177149db9d169357e48658ca2b815ed91eee5,2012-10-30T23:50:49+00:00
PIG-306,49d2a7976852e9663721a026048b74aa665c26e3,2013-11-13T19:39:57+00:00
PIG-306,3c70e255f6ffe12a79e05603fa729c7442904dbf,2013-09-17T18:13:52+00:00
PIG-306,77eb6bbb867707fe72187025960e54592b8836a3,2013-05-14T20:07:41+00:00
PIG-306,2e6ce2d644368f49fce750a3f174d452a6f1771f,2013-04-08T18:15:51+00:00
PIG-306,903d1d7bc38b0184a655d336595e9b118176ba16,2012-12-27T04:42:04+00:00
PIG-306,dae2db82c43691a27cedd685bb1aa8b8b904ef6b,2012-11-28T06:21:33+00:00
PIG-2912,a41a1a90c14062878a489152e300f3868b594b87,2012-09-10T22:19:07+00:00
PIG-304,d7b3e80f006e4067bfdafbb1abc8af2d33799eb5,2013-10-28T23:05:26+00:00
PIG-304,7d8ec4c43b2a5be7710a6c508a2da4ba3de14029,2013-08-29T20:09:53+00:00
PIG-304,bdcc5aee731ef67e4283189ef26717a667699c8d,2013-08-29T20:02:01+00:00
PIG-304,b0d008a2c1af3489e22a85bc66b3096e2774a5b4,2012-12-10T21:23:11+00:00
PIG-304,4824830b82e7834248ac2a4d47cdc85b4145e0d6,2012-12-06T23:45:43+00:00
PIG-304,fa56ef80c4ce5247ed545f51daeceb6b5467a214,2012-11-14T17:54:58+00:00
PIG-304,dfb7c1f82b28500a69112666ed5f81207db658f0,2012-11-14T06:17:43+00:00
PIG-789,d952abb94e81843964a812dbb05d79cd072cc58c,2009-05-04T23:23:20+00:00
PIG-305,b63cf30fdaea2e5aae1a52b524dc95ac098f627a,2013-01-22T04:08:36+00:00
PIG-305,f7a2652225bb9305d17585efb04cb6aa85e744cb,2012-12-27T22:11:27+00:00
PIG-305,6a964ec18b9d08c1f2d39bac69e3089200d9a34e,2012-12-27T04:49:15+00:00
PIG-305,359d8e6584c0e5df5f306d7b156bf6a693bffd86,2012-12-03T03:07:10+00:00
PIG-308,b47249340f8410172ec2c7db5c12f762ad92d36d,2016-10-06T19:10:11+00:00
PIG-308,1d68e062378ae16298c52a3a66bbf3a52fe08cb1,2013-03-05T12:59:57+00:00
PIG-308,8d7db17bf5011181a2748e0934f716f75d66efa8,2013-01-23T23:14:13+00:00
PIG-308,7411fd9f0a18ddcd966e48e97da14edc0c17f5e6,2013-01-23T19:13:21+00:00
PIG-308,9c04bdb3bdd57b12cbb0b0c0927fc5e41395865d,2012-12-15T20:29:08+00:00
