Bug ID,Bug Fix Commit Hash,Date of Commit
PLUTO-561,88faa3a780643df2e4c85f9bbd0080f743d43380,2009-05-12T00:22:24+00:00
PLUTO-680,13494e9fc0f98e62ba713605b45c1f46873efc3d,2018-07-27T14:03:02-04:00
PLUTO-680,a9f367620039fd2d9200eb05e14f6c5821686115,2018-05-03T17:48:02-04:00
PLUTO-680,487eb807de6d628f8d4ba7f9c67c5dc3781966d5,2018-05-03T09:05:07-04:00
PLUTO-680,ecc5cca240ccfa89d51c938d31778c6533cdd238,2018-02-03T17:03:59-05:00
PLUTO-680,6f76532516a391233b21d8b192883db4333422d0,2018-01-15T15:01:06-05:00
PLUTO-19,e59bd401c09a97bc0f04816442de8778ec34aefe,2006-08-31T01:00:42+00:00
PLUTO-686,5a9b08483f47a69fb9843d4f36d64b9a1ff3eafe,2018-04-20T17:28:33-04:00
PLUTO-686,840cb0e65f2b58151ece2929cbdda134db7006c6,2018-02-08T09:55:15-05:00
PLUTO-686,3f7184cd91b3129bcb6b7e948ac177baa871b0f4,2018-01-31T10:01:03-05:00
PLUTO-686,c573052f11d9b55d105eccf8f7e7d5b42b360dcb,2018-01-30T13:26:14-05:00
PLUTO-686,a7eeb6f66169b7cefe1ff7ed836bd84646e96c8a,2018-01-30T12:14:36-05:00
PLUTO-323,085a840d3828053516b9c8c70ca9eb88cd017124,2007-03-04T02:31:27+00:00
PLUTO-683,ade6250a3468b8855741a96701467833cdca0104,2018-02-06T17:37:45-05:00
PLUTO-683,2e6b997e76b73729a66c603bcf2da7711ae563ff,2018-02-06T11:45:05-05:00
PLUTO-569,63a4cece07786db6423cb0631b38dd01c23ecbc3,2010-05-27T22:19:10+00:00
PLUTO-448,5829558b5f27b6ead414ec56b9ef6bd1daa7bcb0,2008-03-02T03:24:15+00:00
PLUTO-448,0dfbf9b0a80f44bdea5154e667090e8abfc44df4,2007-12-16T14:48:35+00:00
PLUTO-327,7f844545602d2e109724791dd772dd8e02ba7547,2007-03-04T00:37:02+00:00
PLUTO-689,e7826d6329253a3652565c1191d5b31cc4849ae8,2018-02-28T09:36:57-05:00
PLUTO-568,b03ac13cc72f97eadc0e3afe9f1d3be1da94fd22,2010-04-07T22:48:09+00:00
PLUTO-447,ec0ae0cea0b8730efd8c830c446085fd9eeb1abe,2007-12-16T04:55:34+00:00
PLUTO-447,5a3ecca57be399730c69ae1552f04dcc8c70d9d3,2007-12-15T16:15:49+00:00
PLUTO-205,73bf5612538ba8df24ac8c494786e12a80ee999d,2006-02-14T16:14:57+00:00
PLUTO-688,3ecf7c2b0727e9f7e20f1e20e4520cd36c50e861,2018-02-15T15:03:49-05:00
PLUTO-446,94df47c7ae83a224e247382f29c31550b7a23668,2008-03-02T18:24:19+00:00
PLUTO-687,a8fdd488fd4870039052f1bdb69a5c18717674d2,2018-02-16T08:56:52-05:00
PLUTO-324,341f27e70448d5886c9bb6b0b15116517b7c5fe1,2007-03-01T22:01:53+00:00
PLUTO-28,8aa6621dd90349356026af93f1e6094f02bc3c1a,2007-02-03T23:13:48+00:00
PLUTO-28,a688b2d068c43f687b6f9615a21a33f5f3faa569,2007-02-03T21:30:52+00:00
PLUTO-28,f2bcbd675dfbf3703569f5ec7b7f6131ed167b36,2006-12-18T16:37:27+00:00
PLUTO-28,a02861c6c9c284d42f4adc07b6fbdf5d02f07e95,2006-12-16T01:25:43+00:00
PLUTO-28,1189c5bb3b15260788b2dd2f462755aedf9edeaf,2006-12-15T05:38:40+00:00
PLUTO-28,a16e1eb3614d945eb323c6e881b6d8f719090570,2004-07-30T14:16:06+00:00
PLUTO-26,653f7117896b4e3344bdee97bbb85a6d3f2ae46e,2007-09-20T11:46:04+00:00
PLUTO-26,29dc4abd8bba46cc4b3af42a7aa91ddebda91571,2007-09-20T11:24:42+00:00
PLUTO-26,4f62e78e73da5068724648086014aa4b3a2df10d,2007-09-20T11:01:52+00:00
PLUTO-26,61d24941221ce6382873021d887cc191b1c20714,2007-08-29T21:50:45+00:00
PLUTO-26,d6b88889b524b183a87cd84b05a28c78ca548bf2,2007-08-16T11:48:28+00:00
PLUTO-26,0282c47d3b19a571d313fe685b9ff1cb94360b15,2007-08-06T02:12:39+00:00
PLUTO-26,f05462142c19a807d17e93627fa5caff368b29eb,2007-08-06T02:10:34+00:00
PLUTO-26,e1fd26c4cf51018b4e22dae747d3d9d4b5dd27aa,2007-08-06T01:52:36+00:00
PLUTO-26,912d43483ae60d763fc1c8df19a840c3d5740c2c,2006-12-06T01:42:18+00:00
PLUTO-26,ca5576381fb309dba276304eb35f8c5c6459bcc9,2006-12-06T01:21:46+00:00
PLUTO-26,57419021c3128397eb0407b92bf124cb85b0a453,2006-12-06T00:46:16+00:00
PLUTO-26,df206b7f7d78eaeb09f5ac2c343212cb10903e8b,2006-11-02T14:12:23+00:00
PLUTO-25,2241a60e4d8e43ff7086b7b499e4f34defb1a4f2,2007-02-11T16:59:11+00:00
PLUTO-25,3c7c72127665c21283849d84ae314e0515ea66d8,2007-02-10T05:07:34+00:00
PLUTO-25,c2bd47e656ea9ddcd37121620c223ef1752c2847,2006-12-15T19:23:05+00:00
PLUTO-25,9718632fd079bab590097674ed51c665cd6411ac,2006-12-15T08:07:39+00:00
PLUTO-25,5e381ff158d47824838a8edc215e22dc65adaf06,2006-12-15T07:03:51+00:00
