Bug ID,Bug Fix Commit Hash,Date of Commit
QPID-6451,d2fafdcce365568113ed4c2dd86dc9683d230826,2015-03-14T19:58:48+00:00
QPID-5121,0ab80c9e7799a1935aad8777d92c166f661993ec,2014-02-02T14:01:16+00:00
QPID-6452,fe6bf2f7fb72255666af4dd4f3ea4a29b9bfb7f8,2015-03-15T15:25:15+00:00
QPID-5122,52c856bbd69641484ab0c442ecb110e650a5870e,2013-09-12T17:46:15+00:00
QPID-5122,bf746b5958b0107e66dabad39024f7ad933820ad,2013-09-12T09:26:30+00:00
QPID-5122,e286fe2d1cd165c34ea7159c4b744842aa61f930,2013-09-10T11:03:20+00:00
QPID-2097,fd4d0e9bd1c1b1b95e0dd8879d80132442dcd686,2010-04-20T14:04:13+00:00
QPID-2097,e7b0eefa91ebb4c4ff4f8dcff6b369cceeee4318,2010-04-20T14:03:56+00:00
QPID-2097,b570e13cea804b90e925ddcd81322c1928b781c8,2010-04-20T14:03:33+00:00
QPID-2097,0ee4afcc8f02a1684f3864eacaaf6290507d1cd3,2009-09-11T12:27:14+00:00
QPID-2096,9868b7cc25c99f92c1ad645117e44fbdb189c335,2010-01-04T18:13:37+00:00
QPID-2096,6a078e2e8c8778e10371cb49b3593b561f40a567,2010-01-04T18:12:57+00:00
QPID-2096,e19b7b8843ba53885656a22ae55f4bb7dc9db7ab,2009-09-11T12:23:28+00:00
QPID-2094,8ed610465ce4ff173b463adf456c5ab7f7a4ad65,2009-09-11T12:25:11+00:00
QPID-2093,0ee4afcc8f02a1684f3864eacaaf6290507d1cd3,2009-09-11T12:27:14+00:00
QPID-2092,661fd84b4569863b6afc23f2ee22285de5346321,2009-09-10T15:24:10+00:00
QPID-2092,2b2895d6f86cd90a61a1451df65ba16a647b5f2a,2009-09-10T14:41:08+00:00
QPID-2090,52ab3087da04c4faf8908690c3a07b4e99237c32,2009-09-09T19:45:26+00:00
QPID-2098,7c59fd19f4747b283db944747693e84d732cc3d5,2009-09-11T23:22:59+00:00
QPID-2098,2d149d06fe97ff6ea80711d3d30a8a9673b44ba8,2009-09-11T14:24:11+00:00
QPID-5123,e5d866f6b3c5c95b5cfeb063e68bc139c0a13b1c,2013-09-10T01:48:58+00:00
QPID-5124,396fbcffc859e00528927f0cb37709eb2147e434,2013-09-10T09:20:04+00:00
QPID-6456,04975bff0a82da456ac7575a2eaa7d7113a7ca83,2015-03-17T17:39:54+00:00
QPID-5126,b749d511fc826a491d3137ed52093fe6be494510,2013-09-10T20:24:29+00:00
QPID-5127,c89eebf8ba27623177b44d11d4527be6eb05a5e0,2013-09-27T12:59:37+00:00
QPID-6458,d7028167ca5314f3bea293f9aedc24254a218b6c,2015-03-18T15:47:55+00:00
QPID-5129,5e34514e352c9e538234c9a49add49efe3ea9d85,2013-10-08T15:09:05+00:00
QPID-6460,a3132b9031d594ffccefd0ce6b9c2d3f19952d65,2015-03-20T12:19:33+00:00
QPID-5130,1ed5e671332e9f98b671f19b62d32c0cf1b834d7,2013-09-11T16:05:46+00:00
QPID-5131,68e63dd2771f5b827cedc348ce6b68d8c346eb55,2013-09-11T16:40:08+00:00
QPID-6464,2cbf48987d84b9e553cd840742e6aa377d444094,2015-03-25T10:57:13+00:00
QPID-5132,4fe2d26d1ab8343a8bde3707fd2676fd6f6f5c98,2013-09-11T20:53:22+00:00
QPID-6463,f604898fcbdd1acb30647bf44d743633eec1879f,2015-03-25T18:59:46+00:00
QPID-6466,d9f4fdcab179600c43d86fd07949d1c5ecbb1767,2015-03-26T23:44:39+00:00
