Bug ID,Bug Fix Commit Hash,Date of Commit
SCM-639,4436bfe57e795f1741a4d7a578fb884745820afb,2011-10-20T22:07:19+00:00
SCM-518,368968b814ec983f2e504be0907ad2187148b594,2018-08-13T23:24:34+02:00
SCM-635,39cbf7edc7c763a7deaf7db740df1854c2c47808,2011-10-10T18:32:28+00:00
SCM-878,c83eee65903c6d1eafd9e51810a3c523037b499b,2018-04-02T00:10:41+02:00
SCM-757,82b8f4bd3e3f61d2e98209e758c43afd41b987d8,2014-06-25T00:22:22-07:00
SCM-879,57c9e6caa823011f9c4cc9d0e72790cbc1f23e4a,2018-04-02T17:39:33+02:00
SCM-637,917fee121eb5f4582a0b720947af829467e38033,2012-02-06T19:17:32+00:00
SCM-759,b273f796be56cd0ea5ab86aed4de250fc262a3c6,2014-07-26T09:48:21-07:00
SCM-759,a678671dc7dc8d8546cc45b9f32997fbd1903b3d,2014-07-22T21:38:58+02:00
SCM-752,252c2ddcfe166759bf6f3b7b0245b09a312a007a,2014-05-26T22:15:08+02:00
SCM-874,302ccb4854af613b5818c4187e5d8fd537484bf9,2018-03-18T00:53:26+01:00
SCM-875,e81778d63cfd6cff7a5fa5a14644440b758e35f2,2018-03-23T13:51:00+01:00
SCM-750,f493dfdbd35daf2eb0f864afff0c00cc839543c6,2014-05-25T22:32:38+02:00
SCM-750,8e0239e76620f0afe68fda5a882468f4be45413c,2014-05-25T22:22:59+02:00
SCM-750,8ac5588aec3df73d585767e7e955591e44446711,2014-05-25T21:32:29+02:00
SCM-750,02c83cea80bf6c000f6f7279be7f6b9cd5a9f7a5,2014-05-25T21:32:19+02:00
SCM-750,89dbddc1eb836a628c777193df3fad71ad0b5290,2014-05-25T21:32:15+02:00
SCM-409,e2f7ed806de3f471ae99d141cb1c28a17b1dd043,2008-09-01T21:25:04+00:00
SCM-888,e25e6bf3d9da6ba015eee274422fd5a0b864e481,2018-05-15T21:47:28+02:00
SCM-646,b565c13a3311c98793f86c2ec95237211c720ef5,2011-11-22T07:55:51+00:00
SCM-525,5390dafa2674565f1fedb973e0841e2df79579df,2010-01-14T09:49:47+00:00
SCM-889,fd177662edb0a9d712e87ae373373c135b959824,2018-08-13T22:17:01+02:00
SCM-647,803056d2fa1205777ff679c21d09ce43c9d87a17,2011-11-28T14:55:57+00:00
SCM-526,af7e7e8ca2644a33eb616b6a6dd1dcb530bdebb6,2010-03-27T03:39:51+00:00
SCM-526,5ffacd85310260731f8d65860c3e9946ee24cf78,2010-03-27T02:46:49+00:00
SCM-405,4ba120effc80e43e5a6d90467479e512f22b8f91,2008-08-21T11:12:33+00:00
SCM-648,548c70457370d3ee8654bb3dee717f8ae6a89014,2011-11-28T09:57:30+00:00
SCM-763,60d98849047f11daec78e2fb14938c12776e68c3,2018-04-29T23:37:43+02:00
SCM-642,66b1210e7927a41320c8ac07de2dd53b20389e20,2011-11-10T14:58:30+00:00
SCM-764,1948757009d5730fd98ad011e3a581b576c91d47,2015-01-02T12:15:41+11:00
SCM-764,9aef6c0a2622165ef0faff7389aaeddbec15afd5,2014-10-15T20:48:39+02:00
SCM-886,7719468daf9432e88c34005ca6054f6c07d3f4b3,2018-05-15T23:39:55+02:00
SCM-765,037ba69bced119de1618526e6977940908eeb7bc,2014-07-18T18:18:49+02:00
SCM-765,6a4ccf507b73d92d33ee050dac8e2d977f7fb245,2014-07-18T00:45:07+02:00
SCM-644,2780bff091ee8e38c50c08ef35e0d41375055309,2011-11-14T08:05:07+00:00
SCM-644,10db78632d13fc41507b42c52e0e39ec0db7f437,2011-11-14T08:04:48+00:00
SCM-402,a04fa48f6a848b2a9ec8518edeb5e91e37134fac,2008-08-22T21:43:53+00:00
SCM-402,777bcb0d471f8ca5709fd03a7c75206a1d3c8c11,2008-08-22T21:39:44+00:00
SCM-887,9cbbb1fa5f2596bf91a6412855ddeb808fd4604d,2018-05-11T02:39:21+02:00
SCM-403,ce07cbbf6cd4ee0f09591e9cd5ebc25785a4ddf5,2009-03-16T21:50:28+00:00
SCM-881,e91395e8d8080e31538633bccd9ea4ccb804bb40,2018-04-13T13:15:11+10:00
SCM-882,5eb6ba71313ba411a71088f4e3eecaa2df280a27,2018-04-13T13:17:14+10:00
SCM-641,547aa972deec46d3b926081d91aba81ffc323423,2012-02-08T21:29:06+00:00
SCM-641,f5b3e3200ff2774099b1b9407349ac8f04e29497,2012-02-06T20:05:54+00:00
SCM-859,66a260a9107b6cec0c4ebfb9a42e9cc808512e90,2018-09-09T21:58:45+02:00
SCM-618,0c41767254eb02add1b6ba2e879e40108daf5771,2012-02-06T21:34:56+00:00
SCM-613,7fee53580b334c73da722d74c182c1ddaa2fcba1,2011-03-18T22:27:34+00:00
SCM-857,7ee2b5a73d09f3822cb6e775bc52f84f80acdb83,2018-08-13T23:43:10+02:00
SCM-737,e250cd544e6d2a0e06769e66f28ad8073cea62a3,2013-12-24T16:49:33+01:00
SCM-297,48d7a9360da8e836e5f1584cb94cc8614864c57f,2007-04-13T12:10:13+00:00
SCM-177,84bf3eb1edc1aa6d83593791e1a8b479f0ad3736,2006-03-29T09:00:22+00:00
SCM-299,a2c66a7e0eb414618532a80fb0f4763c50f134db,2007-04-30T09:46:38+00:00
SCM-179,2fec9682cc8b4cd59c0cbaf039e23c23fc50cdc6,2006-04-04T01:07:32+00:00
SCM-184,96401d83d06985cc678c14df6998fb56d47b53ad,2006-06-08T14:02:34+00:00
SCM-185,71da8b03b69f42ba4cbaf565ad34dd9577d92634,2007-03-22T14:40:14+00:00
SCM-186,98bfdf41ba1c4d1ced3113d68517f509c750f722,2006-08-14T01:01:42+00:00
SCM-181,e3c445bb26f3fa80da6f1cab4fa93e3b70809ae9,2006-04-04T17:56:36+00:00
SCM-628,ccdfdcaa37dbb30ef11a68734c3f02e0a0bc5e17,2018-08-19T00:58:09+02:00
SCM-866,411123cf44deb5a41b2c588360d4c9def30bf4b0,2018-03-03T20:39:44+10:00
SCM-745,fb4e948aff7f21e77fef669e0364ea4e9afb2f2d,2018-08-19T00:46:05+02:00
SCM-624,9857dc06d9dbd153a6c97a5d916cb2f1a2ed92a7,2011-06-16T08:07:37+00:00
SCM-503,859108ec0b53c595b5fecc27d2730258a4b2a0b3,2009-12-28T10:14:21+00:00
SCM-867,83136be25c93c1db8b01e85307624dd0d2cb80b3,2018-03-19T09:25:53+10:00
SCM-868,3b0f2ecb900366564f6ea735302819c3a2c6513f,2018-05-19T00:28:39+02:00
SCM-505,0af128f9fbd6af0b4289a7cf66b3db738d140c1e,2009-12-17T21:29:25+00:00
SCM-505,caefffdc7831cfe7d4e1b7ba58d3e9a4bc6e3373,2009-12-14T22:10:49+00:00
SCM-869,9be3bf0d54f8fde5f2f6f668f5047c1174e7c9d7,2018-05-04T22:42:09+02:00
SCM-862,b03f727fc8713f37f07dc1ede50f145d1d3e128a,2018-03-03T19:51:11+10:00
SCM-863,fa78bbc6d4e93ecc218f245df24c3b674023a25c,2018-02-16T14:33:13+03:00
SCM-621,1992233bc1049adf59a37d27ffcc321def16e4a6,2011-11-28T15:02:19+00:00
SCM-864,83b9c548d99b361da800b2da1204f4f182bd6483,2018-02-18T13:26:36+03:00
SCM-865,774603cf4ef6e81dcf4b939864e6a120419ccc56,2018-02-18T13:39:06+03:00
SCM-502,ebf086207ad0bee9da245e259a8e644afd407fc4,2009-10-08T12:39:23+00:00
SCM-187,6d470847a92b415ec64e3860e38113c3c1b73ce7,2006-09-25T08:24:49+00:00
SCM-740,b4aee5091bfbda166e879b005042b2b7d518436c,2014-03-17T21:58:04+01:00
SCM-190,dcae9aa09a624bec5e05c73bbf33606ed5e9e346,2006-05-13T07:57:49+00:00
SCM-191,4ceb5f19338ad1dbe470c94de086d3c4b3494f51,2006-05-13T07:58:55+00:00
SCM-193,4686b69325efd9edec25e3765aefe3f1e0448f4b,2006-05-04T23:09:00+00:00
SCM-15,a35edf11af52c9954296e2c5fdc19b1b1588fb60,2006-03-01T14:34:08+00:00
SCM-15,d9ce79dd81b88ebe089d97efba3517d3c2e9e696,2006-02-08T07:29:43+00:00
SCM-15,3d03c4ff869a8710f1de085b283c6260d1e3a317,2006-02-03T14:21:03+00:00
SCM-16,3aebf17ddab5897182c2982cff0b8feb0991ffde,2006-08-15T03:19:41+00:00
SCM-16,1f25e547378b34c511024b3d0626016a913e13dc,2006-03-02T15:02:53+00:00
SCM-16,faa3ebacbb28c0bd97ec625e28f3ef037ada1230,2006-02-28T01:00:39+00:00
SCM-16,9b2ce83a1e811f165d49ccd05abd4eb75f1bdb49,2006-02-27T14:47:01+00:00
SCM-16,6ba28ceb788ada378b3bb1ace32e6dcd69a8785c,2006-02-24T15:05:35+00:00
