Bug ID,Bug Fix Commit Hash,Date of Commit
SLING-858,54a327572adc32985ea743eb7be75757fbeb4922,2019-07-15T09:03:46+02:00
SLING-4556,2f707e2ce318e6f9dc694df8823d5298ff7a5d09,2015-08-05T14:30:50+00:00
SLING-4556,e7eb4a6fd525eea3a0c14fd58d83abcae33a0bfb,2015-08-04T09:00:39+00:00
SLING-4556,0b33f7d188f14bcc76423e6fd50e72949b88975c,2015-07-30T07:49:31+00:00
SLING-830,6aa323b5ff4b959e2a0b50f9a638c2d7cdbfcb0a,2019-03-04T10:44:45+02:00
SLING-830,c7c599219983e7135397745a4c8f9e1d856afb16,2019-03-01T17:13:06+01:00
SLING-831,8936fbb81002b80b43d0b86d1301d1c3f3eaf91b,2019-03-18T14:22:49+01:00
SLING-3227,31fe7258bf61c8b62840c385a24c5ef966273d16,2015-01-04T09:08:47+00:00
SLING-815,b8f9de1228d5bce73e28691c41559afc37cc0df1,2018-12-13T14:03:33-08:00
SLING-816,6fd3182efc7339709d08e270d25875746fe26530,2018-12-05T14:01:37+01:00
SLING-3230,b1035103517ab642f859ddedc574295000143921,2015-01-06T11:54:03+00:00
SLING-801,f6d55d44ade8564f2030bb1771de7e5e5c33cfae,2018-11-05T14:15:02+01:00
SLING-801,f476bd1387faad2b09b314256552bf17eda434df,2018-10-15T16:55:38+02:00
SLING-4928,9e32c0e8f29a76ee8240d98f2cb012f59edad951,2015-08-06T11:46:41+00:00
SLING-4928,2f707e2ce318e6f9dc694df8823d5298ff7a5d09,2015-08-05T14:30:50+00:00
SLING-4928,90387b6d9970a8b9b98f2d9128ba9dbb0976a9ca,2015-08-05T14:30:44+00:00
SLING-4927,2f707e2ce318e6f9dc694df8823d5298ff7a5d09,2015-08-05T14:30:50+00:00
SLING-4940,4c9875a426bfa089f92fcb994c615d96f309c289,2015-08-10T14:09:01+00:00
SLING-4978,0e8ee7f0a6138efc701413c4656d5219ca2e005a,2015-09-01T10:45:26+00:00
SLING-3665,15a33c79f0fc0df90f0722120dea7fd531a94352,2014-06-23T14:54:51+00:00
SLING-4992,f733619e818cfc191e34546aa74e2068a0dd3771,2015-09-03T09:53:46+00:00
SLING-4984,844a0c870714f91d4bb58d62edf573c560660659,2015-09-01T11:19:14+00:00
SLING-4981,ac5066c0caf3592761706e306903fe6732bc5e34,2015-12-15T09:49:59+00:00
SLING-2326,324ad92373869c4c2f6ed5992f5138427745345c,2011-12-09T08:02:53+00:00
SLING-7240,d1d8412ae5896ad20b65bd1454e3a39b6c8823ea,2017-11-21T23:01:42+01:00
SLING-1933,b257b6990c279bed2d22771f96b9947bc6ae85a6,2011-01-17T02:42:48+00:00
SLING-1932,c1cd5d4d353d4b4b13efa3e28facd90bd933e727,2011-01-17T02:41:32+00:00
SLING-390,684d89f1c5ab0f9320f1004e67ad65099930d8a5,2014-09-30T13:17:16+00:00
SLING-390,8184568fec93eda31f1888226c973e0913caaf21,2014-09-02T21:19:41+00:00
SLING-390,21821a4e930ef29589920285b0315649f8ec97d0,2014-09-01T08:37:08+00:00
SLING-9,55463427f13e961369eb5aaee7031d9e07d10162,2015-07-14T12:01:47+00:00
