Bug ID,Bug Fix Commit Hash,Date of Commit
SM-2026,0c4296aa0cf25161c1929f313bad8a677488088e,2011-02-18T07:12:16+00:00
SM-2025,28beeb8315533234c22bd7eea595ca173f33e228,2011-02-18T09:19:23+00:00
SM-1178,33e573c6d0e3d883a743c5daac732a46015c804a,2008-09-12T07:45:45+00:00
SM-1170,55588795c634b27dc2ff5375b012499e14718fbc,2008-01-16T21:33:15+00:00
SM-1186,48c8ecd22fb869912db5502c0b19139e24cae75c,2008-02-26T16:48:45+00:00
SM-2037,825873267d6c81941c7c124aed5e1e90cee691d5,2011-02-17T16:05:22+00:00
SM-2030,73383b8a87cbb7425d0a82db5f273979b0ed47d8,2010-12-31T13:12:27+00:00
SM-1181,615ef1c96495235c6e57154660c546414fe39ba7,2007-12-19T02:30:09+00:00
SM-1197,de634618be7efdc456f3bb3ac998e7fa0b79586b,2008-01-31T19:29:24+00:00
SM-1197,b69b677e4c518657e044e7351c00bee8d95f07d6,2008-01-31T19:28:38+00:00
SM-2057,3cce57e32b9dd0e6177db9194abc2c8a14c44e08,2011-02-18T12:18:58+00:00
SM-2056,b532d2a7ebce3c5185300a409175985643254bb1,2011-02-17T14:49:51+00:00
SM-1132,68503e9ef3b848d8d1789ac002fece1cfdaa6428,2007-11-19T10:05:14+00:00
SM-1132,48aa3df8d01e44ed8911ff1412b924ec4260d527,2007-11-19T09:30:54+00:00
SM-1132,3c7e57696f85f53967b96b867db46ffe3ab4762e,2007-11-13T13:43:42+00:00
SM-1131,0cd692aff3734f49d7535f405503b7366f751dfe,2007-11-22T08:35:35+00:00
SM-1131,7e4e0115ef3f7866e590033a22cd1fc0d7852e90,2007-11-22T08:33:38+00:00
SM-1149,f7c87df8f9d3fe3f4da6952f0f9c172a5541bffd,2007-11-26T03:56:28+00:00
SM-1143,8993ffc1f6a618f5743c3813a70767a167508e04,2007-11-25T13:33:41+00:00
SM-1143,de70abfc7fa9dc012da6562ab9cc52de2bf03287,2007-11-20T13:37:09+00:00
SM-1143,e37d7b6ede38b26c1e8b24e0e1923f9822951909,2007-11-20T13:24:18+00:00
SM-1145,82c2be6dab131acee8530d0dab5886b424db2371,2007-11-23T10:01:06+00:00
SM-1145,5a7179e64e199442990c0d8a93bea69cb2344662,2007-11-22T21:47:00+00:00
SM-1157,6a63e7c795b0b5a882f9a68e35b7916692f36080,2008-01-22T02:11:35+00:00
SM-1156,c4e9391c2d63f7e169d2363c01cffd87b176d75c,2007-11-29T21:38:16+00:00
SM-1393,c439307a17b30e243b675cf14a28f12c677619f2,2008-06-10T13:42:32+00:00
SM-1151,87f6026286c468694c23380033987631ce3e4d31,2007-11-26T08:37:15+00:00
SM-190,d8e273e2c0156586deb690482eca96188587fef4,2010-07-09T07:27:55+00:00
SM-199,af25877f4c10f4c3ace254cd74b225f89d2d29d9,2011-09-22T02:22:53+00:00
SM-199,d254b8ffc14ef15f9555aeac9b04aa5d07b9ab00,2010-10-29T15:10:12+00:00
SM-194,fafd7db54fd8a586e537f1df14b6a337bb49da9f,2010-07-04T19:50:50+00:00
SM-194,7222663a5a0c36fedc0d7301bbb1814d11d80632,2010-04-11T10:18:34+00:00
SM-194,38868f7e18b501b1bcb24fe4a29573085f3427ea,2010-03-26T14:18:49+00:00
SM-194,d89c858a6b85e931e573db30e0d4ce7dc9e3dc61,2010-03-26T12:27:49+00:00
SM-194,ba886861e55d4356490ab34f58211db92684cf83,2010-03-24T12:15:47+00:00
SM-195,e89825673054ede05e5ca6e05e0eb418e7a00a2f,2010-07-19T12:16:00+00:00
SM-195,174ef487a18277ff748346a5d6f774992bb35d0f,2010-06-10T07:56:47+00:00
SM-195,7525ea73570c33092bd87dc16f04095dc96b74b2,2010-05-11T07:26:43+00:00
SM-195,090fe2114523c6105a229888877dec6401b34c57,2010-05-08T17:19:45+00:00
SM-1161,b36b3f0038585a89a611473370e36c02192cf11c,2008-03-07T15:22:47+00:00
SM-187,ee8ef2a84f88adaa20676d21f4160268de1c356e,2009-08-28T02:28:07+00:00
SM-187,23cf40ae0b69f909f38a111affb3664747b45c08,2009-08-07T08:40:39+00:00
SM-187,2b23ad2b6be24f0c99f126c778aab50d41f171c7,2009-08-03T00:02:06+00:00
SM-187,dab6fff90d379be58cbf643fcee7e1f12b736458,2009-07-24T05:26:20+00:00
SM-187,6c1105bf32a50c38ec0589856f090ea406a0d1bc,2009-06-14T08:21:11+00:00
SM-187,7728000a153cd6b4ad35a4f228371281d37ffc2d,2009-06-13T19:33:32+00:00
SM-179,62e1b6c2681ebbe6fd75539caabc9961c2627a10,2009-02-11T09:46:27+00:00
SM-179,9ddad41ecf59600bb1d7e914b1bb4cb4ad6e2808,2009-02-09T17:59:15+00:00
SM-175,8a6de3fb27109f502f13c62794397f57e8c912ec,2009-01-11T19:20:40+00:00
SM-175,f8227778736835b4d6f786273d8117a7fa502e18,2009-01-07T02:30:56+00:00
SM-176,75820c791c7cf9e21f23fed6bf9c3ce96063f514,2009-01-15T01:58:20+00:00
SM-176,dd3a48987680f7545fcdbbcbe487bb37e464857c,2009-01-12T10:44:59+00:00
SM-178,4558c1c3050fcd60bf4d1cf2752f96255df8a7ac,2009-02-02T06:44:14+00:00
SM-178,2e53af1b4b7426ed087677f5f8a4633aad19218e,2006-01-17T17:06:40+00:00
SM-174,8a9788a63a75c18c8fa332d4b42ececf4cd124f8,2009-03-02T20:42:44+00:00
SM-174,2ab6ccd0d32cde664fb0cf721f3e961ede0b547a,2008-12-22T09:35:07+00:00
SM-174,58fee7b26535c7cb2f2e010e0716e84be2037dd9,2008-12-19T17:11:44+00:00
SM-174,2c81aaf1ac0be48891648a12145718be504f5b7f,2008-12-19T03:13:47+00:00
SM-174,b8b2e54303dd8284b2752ce5521c9f168105cfac,2006-02-01T15:09:06+00:00
SM-396,3b61df5e1301755d577fcfb33c4f3fe9d9af5a50,2006-04-12T18:54:44+00:00
SM-397,f8a7069c5577dc10348d5a5a05f0bb14e878176f,2006-05-09T11:39:17+00:00
SM-398,1f5a7db586284155b97eaf4465a72394a6322095,2006-04-16T17:27:33+00:00
SM-391,49a3de5eeb3f0dbeae0ce19d80f004198852562b,2006-04-09T19:19:48+00:00
SM-393,560182ce62b487612759493fba501541fd472ee5,2006-04-13T16:42:41+00:00
SM-142,e4c37e1fdb08950aa2f8831492a8e33a0610a396,2008-07-07T16:18:17+00:00
SM-142,d0f3da0f1bb216fb450a1ada986f101ac5872c2d,2008-07-07T16:14:10+00:00
SM-142,075ce718d881d65de9f9e91a5ddcfc7f58cc7c31,2006-01-26T09:23:10+00:00
SM-143,f967b954c6bb628fefdcfe8a085bc14883ec78d6,2008-07-07T16:10:31+00:00
SM-143,dbe14cbd8444d6084fbd9f07762adf1b4439328f,2008-07-03T19:17:23+00:00
SM-143,e961c47a93397af633cf0e148c92e76773986454,2008-07-03T04:04:28+00:00
SM-2066,f27cf32f4acc02b04bb3340ee13c0918434b73ae,2011-04-05T17:54:22+00:00
SM-2066,2b68d0cf06d5f4252897ad12031fbe6a22057999,2011-04-05T12:33:18+00:00
SM-2066,fd34986995b30267f6b7b8dc86d2edc32fcc76d1,2011-04-04T10:41:21+00:00
SM-2066,380a32fae1af6335c0d305b5374d117d6ca17997,2011-04-04T09:46:38+00:00
SM-386,324657664c95f1e4f44eba027ae6aa62d4e830fe,2006-04-06T09:50:31+00:00
SM-383,a3d236cb2c38a04b4790aa8948401367ecb5da50,2006-04-05T15:17:28+00:00
SM-141,8ac07adae4befd009f69f2f59d2bbb70b89bcc41,2008-06-23T13:21:07+00:00
SM-141,7f3f8a8dbe2798d32ebd850e3363fc58e5f402fa,2008-06-23T07:32:08+00:00
SM-141,0f717cd48c931d32a6efef3999d93dd9f3f838de,2008-06-19T08:34:16+00:00
SM-378,6d877f32b09ea9c4ab0235d1e7d307578c325f94,2006-04-05T20:46:49+00:00
SM-378,5023b978303f20c387062c49010e56eb2d1e6714,2006-04-05T12:03:27+00:00
SM-379,81b7f69ab274713b26ca8376346ffb3bc44feb9d,2006-04-04T20:00:24+00:00
SM-137,35e0f865273b38c5ab0a75534d48ea3574ae93c6,2008-06-12T09:05:21+00:00
SM-137,482542d1ee6bfedee05b621ec536b187178c5c1d,2008-06-06T08:43:47+00:00
SM-137,c35fc8127fa6ceba7776005a9ea77f54be4d1579,2008-06-05T13:51:28+00:00
SM-137,9c5e087a3317bbf4114178fe504facdd4d745b42,2008-05-28T08:37:22+00:00
SM-137,03c0198cb2922d79aceef8e6cf7fbf6879d3ee9f,2008-05-27T08:50:31+00:00
SM-137,684e5fa548a25d7d4feef705d5c9c1f726043cbb,2008-05-26T02:23:15+00:00
SM-137,2124038c50de80f92bfc9f75c2bbb5c8995dc0dd,2006-01-24T10:39:21+00:00
SM-138,202539fe7d8501ff755c60741768f609692eeb4a,2008-06-13T06:12:04+00:00
SM-138,35e0f865273b38c5ab0a75534d48ea3574ae93c6,2008-06-12T09:05:21+00:00
SM-138,9b008016a2e631c460f11ad934e4919832de9737,2008-06-12T05:57:57+00:00
SM-138,24a0e5803cb66b33ea5a8ca00e1f4608c26bd183,2008-06-11T08:43:29+00:00
SM-138,2a608c6040921f167f4f43ac4eeabc076da4630a,2008-06-10T10:02:08+00:00
SM-138,91c23b7164da0dee87db4c58e65ab7806593e9e7,2008-06-10T07:25:55+00:00
SM-138,a014a30c9a2e5edaf7a16869dbaef89bace95016,2008-06-09T19:59:15+00:00
SM-138,e3984d828768ae47b9e9f47cab44ac4045398d01,2008-06-09T18:35:49+00:00
SM-138,3bf05ece016f6387b13299dd35e5852e151811c7,2008-06-09T18:18:40+00:00
SM-138,e935b4bab8aad24324681a6a3505e1fe1006b886,2008-06-09T15:09:25+00:00
SM-138,eb2152989e30724d07333a783732727396e03872,2008-06-06T10:09:24+00:00
SM-138,ad18ec879b0f26570b3fa5214994a3fd8c5faa46,2008-06-05T09:35:23+00:00
SM-2077,7ad5ae0ae8c48070d59ad5e6ad4876b57d5300e0,2011-05-04T10:01:21+00:00
SM-133,a6df2033822fc819b1b29dfd2494f31c9401b077,2008-05-07T08:22:52+00:00
SM-133,12fa32207c27476c6e9a105e3d681ba6ddbb3c50,2008-05-06T13:37:35+00:00
SM-133,832d828a9b5aeef745f892bc040dbae495d2208a,2008-05-03T14:52:27+00:00
SM-133,f1004727b7b38ff297bf03ca9494e068f3bb0678,2008-05-01T07:34:51+00:00
SM-133,d9bf9fe3132a7ffd62dc9e1ec20bd527c95ea2f5,2008-04-28T04:08:23+00:00
SM-133,525fb893f4a826110e2da226a0e5831942121ca8,2008-04-25T11:04:00+00:00
SM-130,f74a759e8b3e2605a5efea5749dd1198079455cf,2008-06-18T07:04:36+00:00
SM-130,e7fdc24945301aac587db5a692bee86f73b2133b,2008-06-05T12:23:01+00:00
SM-130,08ec1a41dc26acafafeaaf244192a4849acb7cb1,2008-05-09T12:44:08+00:00
SM-130,f024a372a96a8cc6e9ce84e9cbc12d39cfacde47,2008-05-09T09:22:07+00:00
SM-130,d92a0fdf7b7f983639cd449f36d8b1d63b940d4e,2008-05-07T12:58:27+00:00
SM-130,0104946c89236ede749c4927521d3e656febe1eb,2008-04-16T04:30:59+00:00
SM-130,0368041c6f867708667159906268289db13fff7d,2008-04-11T07:00:46+00:00
SM-130,c926b5cb9b1b5fc8f519dcfa614f925c5ef7791e,2008-04-10T14:41:27+00:00
