Bug ID,Bug Fix Commit Hash,Date of Commit
STDCXX-195,945b1039527e7c9391a450b0e35c26cb38256c71,2008-01-04T02:04:41+00:00
STDCXX-195,21d638e976fcd6d4d92964893a9697884612e9ae,2008-01-04T02:03:44+00:00
STDCXX-197,3ec9f56d69bd5d9b199f341605c1645bd8761ece,2006-06-20T15:24:55+00:00
STDCXX-189,cfe913dab9d73b56eb12f74f4d545b365ccef29f,2006-06-05T20:09:21+00:00
STDCXX-188,bceaec4b18f4dde0dd9c2d510a339de038df584b,2007-06-06T11:11:19+00:00
STDCXX-188,07a78e7eef378ee6e4d9f3f233f9789eae8cfca5,2007-06-05T18:31:59+00:00
STDCXX-184,8d0575490e0b963bb371ddf62ee3774bb58f375a,2006-09-06T00:54:14+00:00
STDCXX-184,16cdc1d155da5875b2d550ded95b625e2c364174,2006-06-30T00:27:24+00:00
STDCXX-192,d94bd518d6e8e6d514565ae7a5749390d62f4ba1,2006-06-01T18:06:56+00:00
STDCXX-191,61179453e25e744bfebd644d2e8cbc3cd722bbc1,2006-06-05T18:51:39+00:00
STDCXX-194,ea35597eaaea505fea1793655d825f856832b652,2006-06-11T21:41:48+00:00
STDCXX-193,32fcde78644170a84ccb630bc0562d9b126d0d21,2006-06-01T19:02:00+00:00
STDCXX-179,30f68a895994fa4f4559af4fb05b8fe90733b3a1,2006-05-17T01:28:38+00:00
STDCXX-179,cbc422146684df8043881581a2afd93f0583994a,2006-05-17T01:27:28+00:00
STDCXX-179,17819f6f35cee19143c27b66ca5611255b63ccc2,2006-05-13T00:44:15+00:00
STDCXX-295,51e549fb146507cc16632cc68ef96226f0d0fe0a,2008-04-22T03:32:10+00:00
STDCXX-295,243666750127152860dc54902ea76b9007199647,2007-02-02T23:38:18+00:00
STDCXX-174,bddb3f3e1bea9de46e58ba9624597cca435d7c9e,2006-04-20T22:57:23+00:00
STDCXX-294,fa813e3e44fd3b35e847a903000ebbdcb7a4cbff,2008-04-22T03:40:33+00:00
STDCXX-294,9b7e5ebff2adf11638bcfbcda048151360b3b311,2006-10-04T23:39:55+00:00
STDCXX-1009,aca2b3c96277668818cc31791b9874a4d5586a8b,2008-10-14T10:30:16+00:00
STDCXX-1009,5bcfad4e121c2833c02a3173e901492fb28eaade,2008-09-09T10:20:46+00:00
STDCXX-1009,ddf0085e139bb7bb6cabf15ad1616f19fc859145,2008-09-08T16:52:13+00:00
STDCXX-297,053aa3fa74b7179e7c1a79bc1ac4ae2eb0eef128,2007-06-06T10:10:25+00:00
STDCXX-297,039c74e59f651b0bf6edfbe76e391244af0885c1,2006-10-19T06:53:06+00:00
STDCXX-175,cee99ab5f2ba1b81088b46460722e59c4c4e31c1,2007-07-24T15:35:38+00:00
STDCXX-175,f5a4b365b221ba10160f285bc0f5bf1279cc9962,2007-07-24T15:32:40+00:00
STDCXX-167,aba70123917c970bed7595ebedea5ca9d7d92003,2006-03-25T18:51:24+00:00
