Bug ID,Bug Fix Commit Hash,Date of Commit
SUREFIRE-390,8c814477fa98ff24f101b02469679d9a780ea4b3,2007-11-25T23:35:12+00:00
SUREFIRE-391,43714954a2e2afa5c448e64d62528fddc6103fba,2007-11-24T20:39:50+00:00
SUREFIRE-392,0f42f008d0d9576a4f7e2874dfde5494b93b8f55,2007-11-25T21:24:00+00:00
SUREFIRE-150,e66c64e57871ca9756fdcd9fa6fc313bf72e2e7f,2018-04-30T15:31:59+02:00
SUREFIRE-150,a5300171935196e87dda7a03ec8f346628af7062,2018-03-31T01:32:46+02:00
SUREFIRE-150,9c96a040617fe9c7ced27cea09f1a7f6b7019724,2018-03-18T12:24:31+01:00
SUREFIRE-150,1919ceb18f49ef9c39bfeb5a256ba3fde8ff4069,2018-03-18T11:45:27+01:00
SUREFIRE-151,edf0a296f33085bb50072a2be17b7ac9a8d47efe,2018-05-10T05:26:13+02:00
SUREFIRE-151,b6debff6ad5360587b6bb696c1b693c6bce2ac84,2018-04-11T15:00:04-07:00
SUREFIRE-151,c546235573817a32155b0413029b4d0a8b1f80d6,2018-04-08T21:27:14+02:00
SUREFIRE-151,ee02966ec23638b3ad57f63ba1ae71f886d37ac9,2018-04-03T03:17:37+02:00
SUREFIRE-151,4be7c1120db83e489aa608e273186db38093bad5,2006-12-20T14:22:32+00:00
SUREFIRE-152,a8dfec2fcf3f1ca14658883d8ba72524f48b35a8,2018-05-18T13:56:14+01:00
SUREFIRE-398,20466ed40ad87fbb2c69dabd2960a9bebf5ba555,2007-12-09T07:28:35+00:00
SUREFIRE-156,9b36828cc2ba65d17d3256c4f0c738a1ae7fe89d,2018-11-27T22:00:43+01:00
SUREFIRE-156,537626138008c6cfaea15938ca7322741a3cecb8,2018-10-07T21:09:42+02:00
SUREFIRE-156,242c0e8a70be5a2a839ab00062c645f0d7b81137,2018-10-06T17:38:59+02:00
SUREFIRE-156,838f4d653b8db869af88d6274ede7ca91c2ae7c1,2018-09-15T17:04:13+02:00
SUREFIRE-156,33147ad7fdeddd32e6671afec95d665b179e8b61,2018-09-11T22:40:34+02:00
SUREFIRE-156,3faa92c48fa72fee28607f970b3e06b05888c4b7,2018-09-10T20:29:27+02:00
SUREFIRE-156,be2be7ef091f95fc913feb1bdf97c2c6bd98f84e,2018-09-10T20:26:46+02:00
SUREFIRE-156,64cf3e1d2fe230693e068964a5dfab8b04bb9684,2018-09-09T21:06:39+02:00
