Bug ID,Bug Fix Commit Hash,Date of Commit
SYNCOPE-1440,8b348db262d4e77285c88df9fe41a93dfabdeb35,2019-03-04T11:55:18+01:00
SYNCOPE-560,36425c3974541f8c4b5a6398e272e55ffc638c3b,2014-10-07T08:35:25+00:00
SYNCOPE-560,b8715c76ae4c59847a59d52faef9b8c2e3be4a4d,2014-10-07T08:34:47+00:00
SYNCOPE-682,f5df7f5cb3f5dfde39c90cbb85fe0971345a8728,2015-07-13T11:57:49+02:00
SYNCOPE-561,1f9af45636a7b2b147d82b9acb374340a9f694ec,2014-10-07T09:40:27+00:00
SYNCOPE-561,e078b845e82a0b3b9a4a91748ca3b6bbadc47cc4,2014-10-07T09:39:34+00:00
SYNCOPE-440,81a069506a0a2607961b4d112575dcf9300aae4b,2013-11-21T10:08:37+00:00
SYNCOPE-440,361b589a9b408c0e1032517d2924c6352cc3b415,2013-11-21T09:51:46+00:00
SYNCOPE-1443,4ce9519705ec1654feff660b4992aac9ad6c90d5,2019-03-04T12:58:36+01:00
SYNCOPE-683,81a66445f1e7db024a602146e9eb51f44752ea64,2015-07-13T12:02:23+02:00
SYNCOPE-562,3400ae9c746b2c6678e9dbfa5bd9ddb509d49dad,2014-10-09T09:49:24+00:00
SYNCOPE-562,2d05ff5bacca2c95463ecf5d0752f94665503b5f,2014-10-09T09:48:42+00:00
SYNCOPE-320,474f4f6ec2fc7177119014dffdc2c6d0b78ce083,2013-02-20T14:44:21+00:00
SYNCOPE-1442,141edff18d7bca4ca681bd0c5bb0fd52f79b7f7a,2019-03-04T08:57:48+01:00
SYNCOPE-1321,f888913d14f8c1dd82d2ef553a07015c77a14770,2018-06-20T14:54:28+02:00
SYNCOPE-684,fe7fa1324dd1ae2815c0161a0c39cfc4e9c8ba97,2015-07-23T10:55:40+02:00
SYNCOPE-684,660b0ce88b22152e816b7c7812eb6e1bdfdc496b,2015-07-23T10:53:04+02:00
SYNCOPE-321,6d4731d943f02d60565a98be1713bfadf9799898,2013-02-21T16:26:16+00:00
