Bug ID,Bug Fix Commit Hash,Date of Commit
TAPESTRY-1638,07c849641e6fbd0f151ccef4efd6d05fa0b6d215,2007-07-12T18:57:25+00:00
TAPESTRY-1877,956f20883985a5929d050590e751507ef96866a4,2007-11-01T15:27:24+00:00
TAPESTRY-1872,aa3d289ec79a56214f81aa9e853dff40f16500b7,2007-11-08T14:12:54+00:00
TAPESTRY-803,ae2b76d65948b6b5c5a1985e1a34f2d28744e7c5,2006-08-04T14:00:14+00:00
TAPESTRY-1407,0830ee03715643c0606aed70d2b85c2076b25c8b,2007-04-08T20:21:06+00:00
TAPESTRY-1402,fed156fb41d6d69680e18b5e3316839353656406,2007-04-04T15:44:57+00:00
TAPESTRY-1640,1d2f4c990574b2c06eff165f843e50d0a7be0534,2007-07-19T02:21:09+00:00
TAPESTRY-1418,4da4c701c8c64d183c84d464b855de528046b680,2007-04-28T03:36:03+00:00
TAPESTRY-1415,fca9e0941e87b5edc5ec87ad88b7631dba15d14a,2007-04-30T19:01:59+00:00
TAPESTRY-1413,ac96989d78ad66eb1a46468a56c1981465d968ad,2007-04-15T23:59:43+00:00
TAPESTRY-1654,1698911bbcbaf1c60947983c31e31b564cb4ff09,2007-07-21T20:44:44+00:00
TAPESTRY-1412,e23d6fd64ec9468ca4694a960a54af0da67b3bb2,2007-04-20T20:00:37+00:00
TAPESTRY-1651,8fa36ddbf020b80a46bb8c95f21e2e7940e9a76e,2007-07-17T00:22:19+00:00
TAPESTRY-1410,95063cc8b4c05b42dd273bb319cac68b673e10c4,2007-04-30T18:57:21+00:00
TAPESTRY-1410,bb8f37e48ff4097462b98f37d4327502a4b60e42,2007-04-28T21:04:02+00:00
TAPESTRY-1410,e856b952e34b1d1251706d7db7b11930de5d630b,2007-04-16T04:47:51+00:00
TAPESTRY-823,77394937e9971fe6117febf8ca21bc17f5bef0f0,2006-12-10T21:25:03+00:00
TAPESTRY-827,f715d6bb8d29d47dfb90445fbcee0fd1d67b8d39,2006-12-16T21:01:32+00:00
TAPESTRY-825,34c10de51a93ff9952b42880d0b6aadb5d3da687,2006-12-19T22:55:21+00:00
TAPESTRY-811,c8be7ae74cab9d7389b2bcbf7a7115639e7b43f2,2006-12-02T19:43:06+00:00
TAPESTRY-1833,e04bce611f187264f6e7eefa20c9d81e457719fd,2007-11-17T14:40:52+00:00
TAPESTRY-846,97b5f3746205598f6a8ef746b5903023f61258aa,2006-11-01T03:58:31+00:00
TAPESTRY-601,22df0956ca9340472cf40638c03d81b44886204d,2005-09-29T17:39:18+00:00
TAPESTRY-600,5a9a5a313aa83174817f572d438da110d48e621c,2005-09-07T19:48:54+00:00
TAPESTRY-609,1d9f2be0cf688322d6457e34596131617dbc22a5,2005-08-29T22:52:16+00:00
TAPESTRY-609,71a703dd97751dd23ad7f1858fe0b5ca60a32395,2005-08-29T22:48:19+00:00
TAPESTRY-607,6cb655f9ea9a476954efb0a2e27b45769cae3161,2005-12-01T03:43:26+00:00
TAPESTRY-607,a3be93e6329e6f413c14cbe17cc562a1311586ad,2005-11-23T14:35:11+00:00
TAPESTRY-848,345624e2d269a7c6e315ee9fa6ee851558944920,2006-12-02T01:56:38+00:00
TAPESTRY-606,515a123c59b65ab43880320520821103d4ec5b63,2005-09-07T01:55:19+00:00
TAPESTRY-1857,a5f82550a6e4f0a04c1e61b4274586045952ee73,2007-10-26T22:34:28+00:00
TAPESTRY-1857,da444e4309ef5cdca0770dd3757fc8b59d957518,2007-10-24T04:11:04+00:00
TAPESTRY-1854,e2fa6558be7909fedefc7f24da3683fe9c31d2c2,2007-10-22T21:04:55+00:00
TAPESTRY-626,af63ac17025e4d0886c809ed2a750850b01164b1,2005-09-05T21:30:59+00:00
TAPESTRY-869,4fd667cd76120e61032e83b9a48900dec250dfd8,2006-07-24T23:17:01+00:00
TAPESTRY-1229,c26583e263607c4bc032291541cb8aefc37e11a5,2007-02-11T23:40:50+00:00
TAPESTRY-1468,fb23022d9b603bf65567ad4a4e1a4eeb8e04d76d,2007-05-16T15:12:14+00:00
TAPESTRY-1227,52c3dffeee3392d09720615fce2e428dd614c276,2007-02-15T00:40:56+00:00
TAPESTRY-1222,99d57658f29e16e1aed37a8f88a48bbc67ed5805,2007-01-20T19:07:47+00:00
TAPESTRY-2310,4bb7c2aeb907a93d8c59b80fea3d4a58467ccd79,2008-03-28T23:28:05+00:00
TAPESTRY-1462,6117c2581eaf68f3c821d568f9c861256acf0741,2007-05-19T21:15:16+00:00
TAPESTRY-1220,14031821da4f8496938eaabf50fd029ee912c9e1,2007-01-01T18:07:26+00:00
TAPESTRY-2570,02b9cfe88da6501b9075f8ad2c89c97fed00b3ba,2009-11-08T16:03:59+00:00
TAPESTRY-613,7ae6906d812e8f4d8a1545e7f330c47d02ed2a1e,2005-08-31T17:08:04+00:00
TAPESTRY-610,ea4dd0cd4f2a48ea3e2ae7f5127c3074d137f40b,2005-08-29T22:38:14+00:00
TAPESTRY-611,d92175298732ea01f056f2239986453b2a989eff,2005-08-29T21:35:16+00:00
TAPESTRY-618,5c1926d21bbf88733d3e55e0264296e070ecab38,2006-08-12T00:12:21+00:00
TAPESTRY-1233,4388229f4e3b39bdb909dda891175a389fc36666,2008-01-18T22:40:21+00:00
TAPESTRY-647,02e4e218e21ce9fa803e480eb521214bbe48d222,2005-09-21T20:00:40+00:00
TAPESTRY-405,8ea0b6a8d4cda1c7e3adce07648872bbe10fac3b,2005-07-15T23:39:59+00:00
TAPESTRY-406,e616558ba4ed12e24945a54350cf30eefa6e04dc,2005-07-21T13:56:17+00:00
TAPESTRY-404,feaab2917363e1c27603151a300cf09c9003e346,2005-07-16T00:23:24+00:00
TAPESTRY-641,604a62320bb085ccdd715e85f25a323e2f5ec361,2005-09-21T21:27:41+00:00
TAPESTRY-642,f4423ff7473381320d97e84cc3166ed98abe1a7f,2005-09-17T18:08:09+00:00
TAPESTRY-649,dbbbcafa1f3a0ba0d2d0586c77c4fb2a7575138f,2005-09-21T19:40:24+00:00
TAPESTRY-407,242e989040c1e5d842dde2228b530acd735459e1,2005-08-05T04:54:49+00:00
TAPESTRY-408,707f59c89e90201a525ae3c82da2ec3ee2bdad22,2005-07-22T15:53:11+00:00
TAPESTRY-1488,809d28ea28a5ab68d4f202ebbf3ee5b5abef67a2,2007-09-21T08:34:06+00:00
TAPESTRY-1004,0ae48dd3a9a77e966c63287e281203eb9cc3edd7,2006-07-15T19:40:25+00:00
TAPESTRY-881,37604106ed9e7aaf9f053f7eb087261a4f6e22ee,2007-03-05T02:32:50+00:00
TAPESTRY-881,34b8ab156cc776f5bafdf2a88654cba77a46901b,2006-11-18T21:50:21+00:00
TAPESTRY-1242,1c09976f6280a85839113b3f9e1839b224103c75,2007-01-31T11:00:10+00:00
TAPESTRY-1240,30844f5b08e6d4a23ca31c76ba3af6077e23a039,2007-05-20T22:18:41+00:00
TAPESTRY-1241,90971279f7a05795e2fb296e26c72f2a8292eeec,2007-02-15T00:27:40+00:00
TAPESTRY-1261,89533ef3b1e8973a816a659b364b9a189e89bb2e,2007-02-13T02:06:11+00:00
TAPESTRY-1261,b804d6698eb047dbdd3402f3457dfb46fbbc5661,2007-02-13T02:05:06+00:00
TAPESTRY-633,ee608cfc6e8f716c5fd1cf7a5eb6fc0e4330fd12,2007-03-04T17:32:53+00:00
TAPESTRY-633,fcb3d28340b794ce1dfb6da1750d03a819dc04e2,2006-12-16T18:38:25+00:00
TAPESTRY-872,074f97554c19ece0ed1093345d98c2608e7b7fd9,2007-03-18T21:49:50+00:00
TAPESTRY-638,17a545b3f3d1d7c17639d851897d63c035c4f665,2007-05-28T18:57:36+00:00
TAPESTRY-1256,77d9a23fdbb2777c440c6ce9403839542d6d4147,2007-05-28T22:41:34+00:00
TAPESTRY-1253,43ff0516c92c58f34fd376f11d698721dab0802d,2007-02-16T02:58:15+00:00
TAPESTRY-1254,fee5c3b96dee9fab6a25b2ecad4350e3a29a8e40,2007-02-06T05:01:25+00:00
TAPESTRY-1012,e21220620e258cc81422df5005d06fa8c2953f31,2006-08-08T23:09:23+00:00
TAPESTRY-669,d9d2159e29b0353b6887ffb60e956cd0f97674ae,2005-11-11T22:35:35+00:00
TAPESTRY-427,cca563658e94f8fd5e1be1c73f89428d2249990e,2005-07-21T13:17:58+00:00
TAPESTRY-428,cca563658e94f8fd5e1be1c73f89428d2249990e,2005-07-21T13:17:58+00:00
TAPESTRY-667,459a30408d31ceb886dbabbc2a4aed64b2ab4d11,2005-10-01T12:14:07+00:00
TAPESTRY-425,2006bdada0db8a3ec6d5e37c229041b40959f07f,2005-07-21T15:43:35+00:00
TAPESTRY-665,4304f29ea65fdf5c8b5ac7a4347ade8628f5d81e,2005-09-23T23:14:11+00:00
TAPESTRY-424,380f5a36eeb05b6652cf90fa3f96cf633d06ddd9,2005-07-21T19:17:40+00:00
TAPESTRY-1428,eb6292a0e6d8e46dee4b51e720698a20ae5823c1,2007-04-24T20:52:12+00:00
TAPESTRY-661,4304f29ea65fdf5c8b5ac7a4347ade8628f5d81e,2005-09-23T23:14:11+00:00
TAPESTRY-1665,7b1b75890e0eb7e9b0bbd543cb7424c2587d48f2,2007-10-22T17:53:51+00:00
