Bug ID,Bug Fix Commit Hash,Date of Commit
TIKA-781,ad78ecd3a85fcfc61b22cb045b3881cc9c170b13,2011-11-11T18:27:08+00:00
TIKA-2590,947334cbf40bc6efef1cb488749213724bedb171,2018-03-07T15:09:03-05:00
TIKA-2590,cadeb1d762ca306a27b0075595473d9c897b4a6a,2018-03-07T14:59:20-05:00
TIKA-2590,c56c7c41a6c51e4cd4dac78b693bd883f1329264,2018-02-27T15:41:39+03:00
TIKA-2591,bbf8447756887e00becc9beb201676de04a3fd2a,2018-03-08T14:56:12-05:00
TIKA-2591,462ee4744fd426cfdb12539435627b25e789c912,2018-03-07T14:55:06-05:00
TIKA-1019,363ee3bf4604a36515df8deb49c520bc3a488184,2012-11-12T11:26:49+00:00
TIKA-1019,1d637c8e872ada489b3e928b854be0959ed0a0c4,2012-11-09T13:32:34+00:00
TIKA-1019,a2ddd8cffdb3c69d5e8fbfec24a939ab7c3f3bed,2012-11-09T13:29:52+00:00
TIKA-309,246ab61ce2842d869ef802c04f38527afa907dfa,2009-11-16T15:14:43+00:00
TIKA-309,98a96dae4038d6e4f1642e175e4b22800d8608d4,2009-11-16T15:07:22+00:00
TIKA-309,bc54bef34c15ef306395ab6da3ad7271f5d516e1,2009-11-14T03:47:55+00:00
TIKA-309,e5b3736215763861aa219cbaaea16e12b42ffcfb,2009-11-14T03:43:09+00:00
TIKA-309,995d275ab2bd7c90b8adfc2f03f1cf97c3a7744a,2009-11-14T02:09:28+00:00
TIKA-309,39469baa4c0a991b171dd71b36f65c205058e462,2009-11-13T22:35:27+00:00
TIKA-309,987ec1d66d8f7e0047e4a1ef5399e440a15877a2,2009-10-16T13:18:45+00:00
TIKA-2101,feac58b6f74156086113bf08bbfe9feda1c14b79,2016-09-28T13:38:02-04:00
TIKA-1011,a64d33c78c143f401d2d7ef795872fcc35fb2200,2012-10-26T21:06:27+00:00
TIKA-305,03be219a6d7646d07c56b1cc98899d139cb62727,2009-10-16T13:59:41+00:00
TIKA-1252,cb6c9b845c0a883ff35a30fb0018cccfe4deb024,2014-03-07T01:27:41+00:00
TIKA-1252,3cfe5ad70d02b22c8464b6073de9fe55830964ac,2014-03-06T17:08:09+00:00
TIKA-1010,55310ec7f4c8f2bfe6ff29485dfee156e6c9de84,2014-04-16T18:04:20+00:00
TIKA-548,edd122dde40de1eb77e8da15039a3aaf6792610e,2010-12-05T12:50:34+00:00
TIKA-548,8e58142f50588e11c75529c0489a04d9cb167e1e,2010-11-18T18:10:29+00:00
TIKA-1255,80efc84b675c8defa5e86b01b85e1dabc84d32f5,2016-09-12T17:12:46-04:00
TIKA-787,f8e3364bfd7fa5d4d80c7b249894ebbe6a146b85,2011-11-23T13:39:43+00:00
TIKA-2100,198d5ef995532f262c970f2ef76e64b852bed7f4,2018-05-30T14:49:42-04:00
TIKA-2100,18f4e24451b1d835ab1897f49389788f78063a52,2018-05-29T14:24:36-04:00
TIKA-2100,7536ed91afd9a3fe744464e34f95f3108c6bd5a2,2018-05-25T14:18:26+02:00
TIKA-304,29c9a2728a08f37ab270a6a6c2a679a7228758bb,2009-10-16T14:46:52+00:00
TIKA-2347,beedc4277526c6327524acb3a799b2ca6c898a05,2017-11-24T01:13:32+00:00
TIKA-2347,639f3bf361a08210da8fae68e3eeb4e12df6c4de,2017-11-24T01:07:41+00:00
TIKA-2347,93cbed6df993ef01e59c55b86449b664e9052cae,2017-11-24T01:07:41+00:00
TIKA-2347,d64a32c63f376b9e003a4512adfec05414d4dfe6,2017-11-24T01:07:41+00:00
TIKA-1257,416b57e1ebdfddb14c75e6af7f700eec7d8f4eef,2014-03-06T13:36:26+00:00
TIKA-1257,beff3947978d4573e35a40a7b0ad8fb7ec89a2f6,2014-03-06T13:24:51+00:00
TIKA-1015,acdb2b0ea9082dad8120431ebbf34e68b76aafe2,2012-10-31T15:07:08+00:00
TIKA-543,6789916a730bf91f51ee1ba502cbf137508ec370,2010-11-06T23:42:37+00:00
TIKA-543,8ee313a52496e212e3af85012580b11250ab4af9,2010-11-04T14:00:00+00:00
TIKA-2106,5af482ef6341369d6ba30df87ca2c8be9f0d0c0f,2016-09-30T19:39:54-04:00
TIKA-786,482cf37542e4fe863d4563e512663c9228a6d9c1,2011-11-21T13:15:29+00:00
TIKA-786,2b39c7599a9930f8847f8839e9612ae5cdc56407,2011-11-21T12:55:49+00:00
TIKA-786,ba101bb023a9553d0b5c22b0b625d0a0f1b8a707,2011-11-21T10:41:57+00:00
TIKA-786,78f6eac056f8298cdcb80381a1628023a2392a4d,2011-11-21T10:30:22+00:00
TIKA-2587,8289d0b704514067a57928905b3654486b5831eb,2018-02-26T17:28:47-05:00
TIKA-2345,86e821b6d47b32e0d00dbaf95d84cff5aa5570b5,2017-04-27T15:37:16+01:00
TIKA-2345,4d3a43c1682ca88f8c5a88ea1b34cd6fb105f997,2017-04-27T15:31:16+01:00
TIKA-2588,16a8ff95290027682762932b6b29463790fe5b6d,2018-02-26T16:03:23-05:00
TIKA-771,069305bd4d62a0767135dffd005e8c95ca83ba43,2012-08-13T17:53:38+00:00
TIKA-1031,1781506c0d51152ffbbcfd9438bb8ea87c0a732d,2012-12-02T16:15:26+00:00
TIKA-1031,e10c23b3ad00dd9d8fb059fdbfc40273b8e2469c,2012-12-01T17:53:32+00:00
TIKA-1272,aacc74d026ce20cf50b4e7de0b7b8032ab287f7c,2014-05-20T16:36:31+00:00
TIKA-2354,90cbe005ed901e1791716c8d7d67baecc3a54c56,2017-05-03T22:31:11-04:00
