Bug ID,Bug Fix Commit Hash,Date of Commit
TINKERPOP-1196,2907ff812cbcc98637d30d586cac8b1ac2a27149,2016-06-07T10:29:37-04:00
TINKERPOP-1075,1e5dcaf67e3b4aed2ea03ba59b902481d775118c,2016-01-11T08:44:46-07:00
TINKERPOP-2044,b510613b10962a3e8d95c3e590b5f58297227d0e,2018-10-04T08:16:44-04:00
TINKERPOP-1874,323bdadf48b1ca77dd007d4e95c66a9797b9e063,2018-01-24T08:09:51-05:00
TINKERPOP-1874,08391f8d8a1a19218f6ed6dd37f584b7460b2c56,2018-01-24T08:09:28-05:00
TINKERPOP-1874,e8cb62820bb7b1ed6dfc1473ee7c99c2febf0552,2018-01-19T10:38:11-05:00
TINKERPOP-1874,334314fb580a3ddb3603c44431aaf060f85bc729,2018-01-19T09:53:47-05:00
TINKERPOP-1874,7eaaa25d28955695a71d48814f818649927c0264,2018-01-19T09:18:16-05:00
TINKERPOP-1874,1c33340277612ba81ee751d8f91297621d9476de,2018-01-19T08:37:29-05:00
TINKERPOP-1874,822b33174c87a2a918b3fc9df421585a57ef3345,2018-01-19T08:18:25-05:00
TINKERPOP-1874,261b93b646c503068328d291224b430e4618410b,2018-01-18T17:07:21-05:00
TINKERPOP-1511,150a53d8a0ba2c2276f2dec49428f1ee14e67d70,2016-10-17T13:57:14-04:00
TINKERPOP-1992,29fe4cd99c18fa4b8c18bdfcd538a54acdfc7c6e,2019-02-28T10:07:49-05:00
TINKERPOP-1992,44693d063d37151d4a2c0bb5a6f786d6340eeea5,2019-02-22T09:40:06-05:00
TINKERPOP-1992,ee30283fe8902a781d8af213afb09642d543f5e3,2019-02-22T09:40:06-05:00
TINKERPOP-1992,f98088643f24071469833b8bda3376cba46a19bb,2019-02-22T09:40:06-05:00
TINKERPOP-1992,f139b4023f075f78efc7149ee7b9b950255ff49e,2019-02-22T09:39:40-05:00
TINKERPOP-2169,2cd84ff1f3944d67d44cbba5bb032a1c57377975,2019-03-08T15:38:22-08:00
TINKERPOP-1872,3df6c5806a585e8e1c381e4043338110ef8b4517,2018-02-23T07:00:39-05:00
TINKERPOP-1872,0f0d97a26b7cfe7fa7546362fdac2a7ee83fb8f8,2018-01-30T09:28:59-05:00
TINKERPOP-1872,6456cbe6eed1818f5c60172c37037f65061bf2c2,2018-01-30T09:27:06-05:00
TINKERPOP-1872,4b34bb26a1ff381d33c4be156900d3c5e7a27279,2018-01-30T09:26:57-05:00
TINKERPOP-2161,90528cde17d2f83bb7dc9937a6b35ce0ab9f5753,2019-02-27T15:53:33+01:00
TINKERPOP-2161,0a142050205d22d5f0555eebcc84296c3481d2e0,2019-02-25T15:22:33+01:00
TINKERPOP-2161,24029391b1bb3c681eef557509fababbfe05df3d,2019-02-18T16:46:31+01:00
TINKERPOP-1509,27cc57469492e9ea6bca8b7db3962fa8e8a9ad4c,2018-03-02T15:47:41-05:00
TINKERPOP-1509,4db099137548d4dcfe2534112282f052710bff9e,2018-03-02T15:00:49-05:00
TINKERPOP-1509,0d494c08beb1832a68e0e9d646aaf2fb305c0abe,2017-09-07T05:56:07-04:00
TINKERPOP-1509,445bce2e255499014921a3239f711951864919c5,2016-12-20T16:00:36-05:00
TINKERPOP-1509,c9bab0858dae30cb659227fe09fab1411afb4253,2016-10-14T07:00:08-04:00
TINKERPOP-1745,7e17d4fa0887a4918984e8bc0cdf701152a93d38,2017-12-05T14:03:16+01:00
TINKERPOP-1988,7c7dddb72e240cb3167d88aecd4de365589a1f2f,2018-06-20T06:23:38-04:00
TINKERPOP-1867,fa8dae8b7aed18e73f01a6b13cdf01adbcbe4461,2018-01-20T18:08:31-07:00
TINKERPOP-1743,6ea6fb8434aad020a3f9afba270cbd703b4fc1af,2017-08-09T12:52:47-06:00
TINKERPOP-1744,6a3fc39a912bec98707dd69d461955330627df10,2017-08-10T17:53:37+02:00
TINKERPOP-1626,6038724be73a323268f489bcee034814e8e95073,2017-02-23T07:29:43-07:00
