Bug ID,Bug Fix Commit Hash,Date of Commit
TUSCANY-2088,a3a465d749aacf02c44c35533bda461fcca48ede,2008-03-17T15:10:55+00:00
TUSCANY-2085,996f509b40b7f7a1ba04da3f185e6a8a6afd348c,2008-04-11T17:51:21+00:00
TUSCANY-2086,47234b3ea07b923e1bccaaf0824b71df9188d3a4,2008-03-17T16:50:33+00:00
TUSCANY-2078,832c2734f31097f11ec66c23dc843df4188a7974,2008-03-14T10:18:11+00:00
TUSCANY-2078,64076f8a50c73faa3e6d755b325bb900c4066a45,2008-03-14T03:48:47+00:00
TUSCANY-2077,9b889f01250ab68619d388dbdc6612b45ad6caa8,2008-03-19T13:16:42+00:00
TUSCANY-2077,5bb183a492a4b704e5dd064580fda740fd886645,2008-03-16T17:59:45+00:00
TUSCANY-2072,bbbc7354aa9c327f94c9bca7fdb8a2cdbb9c7248,2008-03-11T18:23:42+00:00
TUSCANY-2092,64e4c0675b80d7c2ed0d1f345fc8dd92b6b752b3,2008-05-16T15:02:44+00:00
TUSCANY-2092,d9732d9c66d23eeb4672d423f4b56fcbff5b2489,2008-04-09T13:33:04+00:00
TUSCANY-2049,5bc6191154a38b7855d4c6dbd5f99adf307a80ca,2008-02-18T16:39:18+00:00
TUSCANY-3379,a8c946cbfb41e7dddb230714a405cd4417056e16,2009-11-23T18:15:18+00:00
TUSCANY-2045,9e89b199d766498049280ca3d918288420e65ef8,2008-03-04T16:52:24+00:00
TUSCANY-2046,cc8351825542a7e9a31997172537e88f114acf46,2008-06-24T16:31:03+00:00
TUSCANY-2046,8c147a542c093bed0eee12f22c07d865548f4f86,2008-02-15T13:07:00+00:00
TUSCANY-2043,15640d05e8b329977cc7347e73c257de22407cae,2008-02-15T08:11:24+00:00
TUSCANY-2043,52ee10457d2c026cc0fe69f9c3105173a3e56bf1,2008-02-14T17:29:30+00:00
TUSCANY-2038,b1326f0594836e636ea2350f15fedd8802c1153d,2008-02-10T22:38:33+00:00
TUSCANY-2037,3623ca0990223942c976e397044dd0e3b3dae9ca,2008-02-10T22:29:45+00:00
TUSCANY-2034,7a3b08ef503c0f5fec496c3f04eadf3d4fc5db54,2008-02-10T22:32:17+00:00
TUSCANY-2036,9184085d51ff1869785051945eb7a2f37ebe5f27,2008-02-24T01:18:37+00:00
TUSCANY-2035,90d257962ec27e5b54bb3c5881cfb1577265f4dd,2008-02-18T16:50:37+00:00
TUSCANY-2066,0fc27f6aa756665dc9b8f82250a1b62da81309a3,2008-03-07T19:08:22+00:00
TUSCANY-2066,d14e9a045206f00337f5b9ffd4ab74bfecd55a56,2008-03-07T19:07:02+00:00
TUSCANY-2069,fc7c345f7cb2d165c1c71c9401dfb86046009a02,2008-04-17T16:00:09+00:00
TUSCANY-2069,976e670f8683be515925046b5282b8cfbb3d5b3f,2008-04-17T08:49:40+00:00
TUSCANY-2069,57010fcde8f3c1ac2b7a4df840182e001c8a14e8,2008-04-16T17:31:00+00:00
TUSCANY-2068,c0a3f620ec328ec37e19b40ab2a7087ebdd34f16,2008-03-14T15:28:59+00:00
TUSCANY-3394,20a7d08b227b0c31e9339d2f4c00c18fccdd2bb5,2009-12-16T11:33:08+00:00
TUSCANY-2056,6738e76b69f59887d842b59e5aed34632fc5bd28,2008-03-17T15:57:49+00:00
TUSCANY-2056,4b1e8276de01c17754b76ef25a03178551345911,2008-03-17T15:04:58+00:00
TUSCANY-2056,2a0fae456bba13a78a47cec1017d9af2e3ae44ef,2008-03-11T15:12:53+00:00
TUSCANY-2056,8da3080ab21444c5a28766e234c1ac98efe2cb23,2008-03-11T14:47:15+00:00
TUSCANY-3389,c96ff12519e2fc24791115d85c87f7ae6184aafa,2010-01-07T05:38:13+00:00
TUSCANY-3389,e9788a1eac39e5d5c86377f422fefff791106645,2009-12-15T00:58:47+00:00
TUSCANY-2055,60e2f8267dc10ae09c438db16a4bbaae123366d4,2008-03-11T11:32:15+00:00
TUSCANY-2057,e6b229fd8363212061fdf9db7f8abaa606961a3f,2008-03-04T23:16:35+00:00
TUSCANY-2052,316d8231964f293c31f2e05fd04915f219bda998,2008-04-25T17:24:33+00:00
TUSCANY-3382,cde61938bd6d2c52b18a5d963c4ea249e1d7a8b8,2009-11-29T17:14:59+00:00
TUSCANY-2926,a4c5b317868ff5ad21396c6f1d5742410f280f15,2009-03-19T19:24:15+00:00
TUSCANY-2922,7a4b2d136031e16f042c0f43d28669e422d5ae0c,2009-03-19T12:23:15+00:00
TUSCANY-2922,750a0fc1eefc46eca878d2764cacd08744d8f064,2009-03-19T12:22:02+00:00
TUSCANY-2918,72cb5a7e9e7ad0aea31abab695e29ac8a80f57ee,2009-03-25T12:27:49+00:00
TUSCANY-2914,db3a0a0138d5fd1a31d29e43719e5d00149174cb,2009-03-19T09:49:07+00:00
TUSCANY-2941,f915af0e8ec75a369ef466360201341c9f24f6bb,2009-03-26T10:50:44+00:00
TUSCANY-2941,6e6916694369fb0feb56f4b787d9893d26f65ebc,2009-03-26T10:47:36+00:00
TUSCANY-2948,3d5a420f3c33ec8bad1f6a18e0d5e7229462e670,2009-03-27T09:47:21+00:00
TUSCANY-1617,b2b72c334607472b918ad26daebd3c798f5d06be,2007-09-03T23:05:14+00:00
TUSCANY-2947,618e5bfdbcbcb82122ea366da0cb1013594534ab,2009-03-27T09:43:39+00:00
TUSCANY-2944,6a4fd369e8f1dca95abae5f85bdac282012e1b95,2009-03-27T21:28:13+00:00
TUSCANY-2944,97bc3aa7fa003e685e2eef7c59616e910edcf3a2,2009-03-27T14:21:16+00:00
TUSCANY-2944,0f4beec404f91fea37f2282613ede8350dddccab,2009-03-26T15:37:49+00:00
TUSCANY-1615,033272e5bf058d5b38c0c240eb57f2d49d1c910c,2007-09-03T23:21:13+00:00
TUSCANY-1615,2a68af1890cd1fb99d5fa536dfa64176e6da3ad2,2007-08-25T05:57:38+00:00
TUSCANY-2945,cd684717f7eb0fc89addb1cc866166419423f95f,2009-04-01T10:34:16+00:00
TUSCANY-2945,73f9eabd066e109d2553356ff5e3c7cc50b0f5c3,2009-04-01T10:33:55+00:00
TUSCANY-2945,e17f18fdf3996598ec73d6b9fe555282315a084c,2009-04-01T10:31:40+00:00
TUSCANY-2945,bf12ff7482546726a4b0172d8077910aa04d4066,2009-03-26T15:45:29+00:00
TUSCANY-1614,781f5ede3f6c19ef1b8677f5f973e985b77c1455,2007-08-25T04:52:13+00:00
TUSCANY-700,2d5491af5c2e7cd7e2a36a0530cf77d74326b229,2007-01-08T10:54:01+00:00
TUSCANY-2937,4a71cb1aff4861c645a311ee5f580cf600f6c48e,2009-06-20T12:04:08+00:00
TUSCANY-2937,bd9bd343c968f16dda9df3f2444a50f8db063240,2009-03-27T16:49:02+00:00
TUSCANY-2937,477a02e343e5508907bedebad615482f08093f4d,2009-03-27T08:24:22+00:00
TUSCANY-2936,8f9c2b04aa93da36cf848126654f2eb9ef4101da,2009-03-24T10:15:31+00:00
TUSCANY-2936,3a8977d353b8b329b1ad2cc8f2ca55caaabc8198,2009-03-24T07:45:35+00:00
TUSCANY-1605,e155ca5cbc8734d34dbb40461e068720d47536a8,2007-08-29T18:14:11+00:00
TUSCANY-1605,e7e29a1fcc99759e22c3edc2b60f92739febbd59,2007-08-29T18:12:33+00:00
TUSCANY-2939,5ff29eb4221b4524ee3afc7a7af3e5620de93793,2009-06-20T20:49:21+00:00
TUSCANY-2938,479cf7bc24129d5d963b911b17391e51b9ae4a92,2009-04-09T20:15:18+00:00
TUSCANY-1607,03b96706c5820330c7c9231e1e7d55d4748299c3,2007-08-25T06:03:10+00:00
TUSCANY-2933,e9b0b6ef9c4b0a9ea9c7c072149a1d2a746ae189,2009-03-24T04:00:02+00:00
TUSCANY-2933,cb6592cdd9b1b339493cc6a72653e5142937c4d6,2009-03-24T03:57:44+00:00
TUSCANY-2933,74e19352b8b8bb7ff85efd505da411c284620eef,2009-03-24T03:56:07+00:00
TUSCANY-2933,70d617709dc685275f9fa317a306998309a26cc9,2009-03-24T03:54:31+00:00
TUSCANY-2933,c97dd4c3af352ad1308bd1b8c3f0a2e4520db4dd,2009-03-24T03:52:51+00:00
TUSCANY-2933,31ac8a18c90aff2819c033c949c94a03d42da107,2009-03-24T03:51:21+00:00
TUSCANY-2933,05c22a3ef0c95d4af18dc6180a18d8559b4dc1df,2009-03-24T03:45:43+00:00
TUSCANY-1602,0c18c7170fe958a8d273265b20ed6239f51915b7,2007-08-24T21:57:58+00:00
TUSCANY-2932,93281313faecd41e313ec76fbbaf3f7a6119cc85,2009-03-21T23:54:27+00:00
TUSCANY-2932,0a7417369dc8a9b14f5140303fd7c73cad86b33c,2009-03-21T04:38:29+00:00
TUSCANY-1604,ef24f8b670671cad4bd1904405f884aa1440b9b4,2007-09-10T23:38:14+00:00
TUSCANY-2934,48b102fc29a6493890267782c42d43b4d9d36e6d,2009-03-26T15:49:13+00:00
TUSCANY-715,64708944848ff4d081bfccf51d4567de4a351970,2006-09-20T12:37:27+00:00
TUSCANY-715,a7fe9baf93de5b4d3a33f4303e743dc93e5d745e,2006-09-12T17:25:53+00:00
TUSCANY-723,2df11f3407b13ed53dbadfd58bfa14d7a61e5ee6,2006-09-15T03:49:17+00:00
TUSCANY-2906,b0faf48be42d52f8ea0d1b0a94d0c71614a69a69,2009-08-05T09:48:11+00:00
TUSCANY-2906,587016103e8cfc35c9dc6bd389039b6cfc95299b,2009-08-05T09:46:30+00:00
TUSCANY-2906,28b4a78357c55af19b4128fe02131fc2a87598ab,2009-08-05T09:45:32+00:00
TUSCANY-2906,d144eac67c7f9dd25ffc2af585f04bb0258bb211,2009-07-01T12:25:43+00:00
TUSCANY-2906,173e649a3a34eafbb57e8567909817fa788b95b6,2009-03-26T10:24:11+00:00
TUSCANY-2906,fcccc5d00d30f34c72f76d7e2bd34804918493ab,2009-03-26T10:22:47+00:00
TUSCANY-2905,773c8e032368b823c4150b5270db85259965ee03,2009-03-10T15:47:06+00:00
TUSCANY-2900,f2f7cd7a6113dd464d743fd29bfd5ca08eaef0f6,2009-05-08T12:27:46+00:00
TUSCANY-754,103ef63e795e35889bfe60b6b3b5eea54cbbc9cd,2006-09-29T10:49:58+00:00
TUSCANY-2522,0de4e0aecce7e0387e087f668f5be34af3d77fcb,2008-08-07T08:50:14+00:00
TUSCANY-1675,ae8da04090208807edbbb7f505bd56a0ab7f7de9,2007-09-13T19:26:11+00:00
TUSCANY-2521,5d0dd2a315ca3322d318e1aec06628639b2aa150,2008-08-07T08:48:37+00:00
TUSCANY-1674,709de5e2eae6a5acdefa0f50c7ec6cfe5b3a5595,2008-01-29T12:05:13+00:00
