Bug ID,Bug Fix Commit Hash,Date of Commit
WICKET-5422,166dc90280fa506699cbca2a0e1f70cce13c9022,2013-11-24T12:48:57+01:00
WICKET-4574,d662e37edb1f5f90e4fab1182ce20595a140eea9,2012-05-28T15:16:06+03:00
WICKET-4575,075eb4c95eadc886078cfaebb746052001f31c1f,2012-06-28T14:43:47+03:00
WICKET-4575,54ec77248092fbea4ebd7be35e8d537ffc83e8f2,2012-06-26T18:20:24+02:00
WICKET-4575,c84073ab06dcf8a2a8462e6fcc4c44f3130a1e67,2012-06-22T14:39:21+02:00
WICKET-4575,b8082ca3a0261e8b34f83543fa737fcff067e55f,2012-06-15T16:13:36+02:00
WICKET-3244,6b6acf6621ca09501eb5bbcf835cd2bcb70bc63a,2010-12-11T09:49:29+00:00
WICKET-2394,84bd23b08b3d9ce148dd38b8a6f1e88ff9f79a73,2009-07-23T17:36:47+00:00
WICKET-4572,4802fb774fe364217707b7447d8327f3d2eedf4b,2012-05-30T16:10:07+03:00
WICKET-4572,dfc566742e48f666efe24592c01d688cb0922e5d,2012-05-28T12:49:00+03:00
WICKET-2397,71af1f4308c1f23c005540406991bd0e685cc02d,2009-08-10T14:48:42+00:00
WICKET-2396,fd88e99740534f6829b8ecc5aaa606850bcf092b,2009-09-26T11:07:46+00:00
WICKET-760,5146fb55b0e7c36688550ce41e4ebba7bad90604,2007-07-26T14:16:48+00:00
WICKET-5426,fb45a781c24f17d7a44658061c4f17e95c4cd1ef,2013-12-19T15:11:13+01:00
WICKET-5426,6f9821b81e2afeedebbe66496b85009c0c62f74c,2013-12-18T13:02:45+01:00
WICKET-5426,9ea38ad793835d3d7f5db1d276e93b16ebd4db7b,2013-11-26T19:06:17+01:00
WICKET-4578,c66cf607324eceac00018edcce45c78b9d60c5fa,2012-06-03T06:22:55+03:00
WICKET-5425,3dd165249dc16062747b1ed0262da08bea0af21d,2013-11-25T15:43:40+01:00
WICKET-5425,105a4f2f9de6e643c5196bd15ef194f9290d34a1,2013-11-25T14:39:58+01:00
WICKET-4579,b5d53c526003863598dfdc0173ff9d8d65282565,2013-06-13T11:46:13+03:00
WICKET-4579,02f5b9bf6e50c4e2a43041b2974e79c0d44ff371,2012-06-03T08:01:52+03:00
WICKET-5424,cfce6a365a5cce4ac77986c9eabb627c970caa1f,2013-12-19T15:15:54+01:00
WICKET-5424,9ea38ad793835d3d7f5db1d276e93b16ebd4db7b,2013-11-26T19:06:17+01:00
WICKET-5424,4a02776fe904d52a2048751ed8a77196a8c09bc3,2013-11-26T15:45:15+01:00
WICKET-5424,0bd6020eb5e1d3c029075e6a78efa6c16040cef8,2013-11-26T15:18:00+01:00
WICKET-5424,1e1d19225da657070cf7612fe7909a4053547549,2013-11-26T15:10:33+01:00
WICKET-5424,9642d54594dfd1508f27e85f18652f206bb79e21,2013-11-26T15:01:22+01:00
WICKET-5424,fed607f62de2c6635d4c04045c2f4d9cb24add25,2013-11-26T12:47:21+01:00
WICKET-5429,46d768cc2def47c358248bfc7d0afc0b54f36412,2013-12-17T12:28:24+02:00
WICKET-3249,dab5de04998806c3312db2b3ab71da3e2fd51e06,2010-12-20T19:51:09+00:00
WICKET-3249,7f811bd5436bc3d63c06a87ffa0835ccbc51317a,2010-12-18T11:09:31+00:00
WICKET-4581,ee0c4ef42d37f282944ae3c1e2ba30bfcb7f73bd,2012-06-03T06:33:26+03:00
WICKET-765,ce56ee32b3b7fc2e6c143e4a179a3b82a9b217fd,2007-07-23T20:27:26+00:00
WICKET-765,c248281be862a8bd1e0e32ded0c5a91fd60a387d,2007-07-23T20:18:20+00:00
WICKET-765,38ed1eb7be125822078ef7443089dce2ba2a0cf3,2007-07-17T17:32:53+00:00
WICKET-763,fcd1da2f96c097bd971a6911792128eaa8334b81,2007-07-17T02:10:41+00:00
WICKET-4585,0c412482dfba45570fe7b7b0116383e59b3245f6,2013-06-25T15:15:30+03:00
WICKET-1075,8aba1329fea76b330778a02997d0ede4d2beb462,2007-11-03T19:35:11+00:00
WICKET-4102,e743fd7eed874ee68309611aaf8b3dc00ca01bc7,2011-10-01T16:41:48+00:00
WICKET-3252,3a0c66dce0a7550d01e876725a63daff90e2b7ac,2010-12-18T08:55:02+00:00
WICKET-3252,401c5d53d8ac3f0f29044088025f2d5c6581f030,2010-12-17T16:01:41+00:00
WICKET-4584,ed0cf1c25338d9ead43cd7676bd5fadb19b0ebc3,2012-06-27T12:21:41+03:00
WICKET-3253,71b6e9058419c91999f5798f353c01f7aea84998,2010-12-13T12:43:51+00:00
WICKET-5437,271c8923a158d042990669ef41e2465ff8571df6,2013-12-05T17:42:05+01:00
WICKET-5437,344d744ceaa32f63ac81104bbf5f72c44bdcf87b,2013-12-05T17:31:38+01:00
WICKET-5437,d4d377449490f511eecbce085288137bc90da036,2013-12-05T17:24:02+01:00
WICKET-4589,600f5dfb15830288e04e5723fd5237e73de4536e,2012-10-18T13:46:16+02:00
WICKET-4105,64656c9842cfb41dedd6cbdb9b4e53b9c09c2978,2011-10-05T09:38:29+00:00
WICKET-4105,71de164785a131d6547a82af7634e7614d89cc36,2011-10-05T08:38:56+00:00
WICKET-4587,8cfcbdc0f520de5c1c0b46afa88e4366008036f5,2012-10-18T10:43:18+02:00
WICKET-4588,ec1bc9ca3657d5e4805b31c0b5e4396e8bc897e4,2012-06-15T11:55:15+03:00
WICKET-4109,8f7805f84f2bcfad06f5f149e7e1710a7bf7166a,2011-10-07T08:15:44+00:00
WICKET-4107,2a7081f765150c1544c790f53c16df68269913ae,2011-10-20T00:43:19+00:00
WICKET-779,990332336006648e89ec36c635c1c665bc477da5,2007-07-25T09:08:27+00:00
WICKET-4592,eb5e94a27b24421f45292d0242dcc7a03d0a1786,2012-06-15T11:22:06+03:00
WICKET-4590,e9748eb41e3c442b4efbfbab0e1c922aaade9dda,2012-06-06T20:02:22+02:00
WICKET-5444,f39d8fafc29baa999563530c16fbfda393bce61d,2013-12-16T11:20:50+02:00
WICKET-4596,31c71981248da2be9b230a00f414bf394667794e,2012-06-14T20:57:25+02:00
WICKET-4112,83282a98d45263f91a4dc0191c318529e1118ef1,2011-10-10T12:24:04+00:00
