Bug ID,Bug Fix Commit Hash,Date of Commit
XERCESC-2090,85a328855e8b976301a0a119403610d335b4a858,2017-07-11T23:39:09+00:00
XERCESC-2094,900d58a4fc5fd6a459c7a1042551228570ed54c9,2017-07-13T22:53:07+00:00
XERCESC-2084,2535abc4df58d6931eaf54513145c10bf9cf0384,2017-07-07T20:44:16+00:00
XERCESC-2085,5a646238157403b0d931081edf359fc3380961d2,2017-07-07T21:24:52+00:00
XERCESC-2088,a60ecfb34ccd5befc853546c5894e66c067906ed,2017-07-05T18:52:15+00:00
XERCESC-1816,63266667e7dedbefa566e955bbafc79a42a939f1,2008-07-22T20:05:05+00:00
XERCESC-1817,5eb975a680e30f812e541360da97612ddb917a31,2008-07-15T14:14:56+00:00
XERCESC-1818,1a3a08f919470e8d1d314341bacff9a22c2397bc,2008-07-15T04:32:06+00:00
XERCESC-1819,066b2508bd007b865062ab678fb99b678d700e6c,2008-07-17T09:54:34+00:00
XERCESC-1822,5fc65a846ad7ffc6484394882896d5bb1a0b4624,2008-07-17T20:15:32+00:00
XERCESC-1823,36e3a356e3b04d69d01659c529cfe7eb9ef5d6ba,2008-09-16T12:52:32+00:00
XERCESC-1804,118fecd8183a0a0bfb3a071693baeb39d390d075,2008-05-13T00:37:47+00:00
XERCESC-1806,3ba2e0271f0283037ed043657d5586c0cec07f8e,2008-07-15T05:19:52+00:00
XERCESC-1808,360c4d33e7948963f6a3ed840bf8f774d6b6af51,2009-07-29T13:46:33+00:00
XERCESC-1812,dd6cf38e42515dbd2a10e43ffd9522e76bac1101,2008-06-23T10:57:28+00:00
XERCESC-1813,b312241457c8ac45e1c03945bed6ee562122b208,2008-06-28T20:24:55+00:00
XERCESC-2031,47299224a774b3ad408d38a80f3c4905080dea09,2014-05-23T10:50:16+00:00
XERCESC-2036,97ffc1ab40e586c15d563d617b79b8c1a8d4f18b,2017-07-07T21:55:11+00:00
XERCESC-2038,f7654ee16b1dc2fb6e2b68777895c5384cd51c28,2017-07-18T01:12:46+00:00
XERCESC-2020,13036580ac7da0b66a2e5ee2db139115f254d1cc,2013-07-29T15:52:25+00:00
XERCESC-2023,227f69c5cb6ef0d80bf326965b4466db19d4789d,2013-11-06T11:15:31+00:00
XERCESC-2024,c47b85ef7b81d078def1ed38d36e7289dea4eb5f,2014-06-18T08:49:41+00:00
XERCESC-2024,6cf01ad698186892e2b47f18b21232b6b6e641b3,2013-11-06T10:14:34+00:00
XERCESC-2028,356ecb376a88c242eb78d6dc3b032b2be1643cb7,2014-04-28T09:27:27+00:00
XERCESC-2011,f6637ecb0a23cc12fef37e0ae1bb6fe03e12baba,2013-05-01T19:07:18+00:00
XERCESC-2017,97a8b9a37a6816c291a444fd075ee17f5a82f79b,2013-08-19T08:03:01+00:00
XERCESC-2019,a1b75b8d9699e407a787a66d149807fa71d07646,2013-10-01T18:23:57+00:00
XERCESC-1390,b7396de4c231657c3ca5c137af226a1893c827b5,2005-04-29T00:23:52+00:00
XERCESC-1391,6fe8cbda2d10a2c1a0881f2105eb7d379fbf04bd,2005-05-05T01:12:24+00:00
XERCESC-1393,301090bf6d0d04915581fb7563c81cb817b5bdcf,2008-03-14T11:08:37+00:00
XERCESC-2000,0b08b24eb61025841d45c9a992bed81958f88dce,2013-02-22T17:16:05+00:00
XERCESC-1153,6fe48f2d6db777281ba39820787e406e63fdb96e,2005-06-17T02:36:39+00:00
XERCESC-1153,0c77f99b0310484d3b070de3c1d3ee7f7bf97770,2005-06-17T00:49:35+00:00
XERCESC-2001,04cc0541e18dd7cc8e19a2d18ae001051387c675,2013-02-22T17:11:10+00:00
XERCESC-2004,60b61f935828761213264718990351ce90761aef,2012-11-26T08:50:11+00:00
XERCESC-2006,ad608a85bf179bc0b86a4661f13c0cab781ea52a,2013-05-01T19:51:13+00:00
XERCESC-8,317770ac23932d8d5cfbf9fe956dc8b5ba6c828d,2009-08-14T14:20:16+00:00
XERCESC-2,007b65b4474dcf0adaf68208866ae0a8da48e718,2018-09-08T10:42:56+00:00
XERCESC-2,fc1f7d3a41328e978d7f517193367af8966a40f8,2018-02-13T00:54:01+00:00
XERCESC-2,f0dd40977142a826d63341211de05878fd21bf21,2017-11-26T19:37:56+00:00
XERCESC-2,092f47cb788c5a2ea6984e363e755bd7b27b86e0,2017-08-23T16:09:19+00:00
XERCESC-2,02e159b2a76c659322715b29e9010d0b2b9055e9,2017-08-23T16:05:11+00:00
XERCESC-2,4c9112d306a2af09c5a3631a10218a0561aadf10,2017-08-06T20:25:24+00:00
XERCESC-2,0498e648d7af23f1bf61d1a728b381ebbd4f662e,2017-08-06T18:09:44+00:00
XERCESC-2,b44900d024e669ed95c4bc071cb2dcc1eb872d89,2017-08-06T17:28:42+00:00
XERCESC-2,86397808ebb110befdbaf383582f16ceaef8cdf9,2017-08-02T21:14:44+00:00
XERCESC-2,ff86f61c0a52336fa3d8a16ef123339b43d81f02,2017-07-29T20:43:21+00:00
XERCESC-2,f7654ee16b1dc2fb6e2b68777895c5384cd51c28,2017-07-18T01:12:46+00:00
XERCESC-2,900d58a4fc5fd6a459c7a1042551228570ed54c9,2017-07-13T22:53:07+00:00
XERCESC-2,85a328855e8b976301a0a119403610d335b4a858,2017-07-11T23:39:09+00:00
XERCESC-2,97ffc1ab40e586c15d563d617b79b8c1a8d4f18b,2017-07-07T21:55:11+00:00
XERCESC-2,986085ee510b0e3c75510d2bf97255cf7f66fd17,2017-07-07T21:26:26+00:00
XERCESC-2,5a646238157403b0d931081edf359fc3380961d2,2017-07-07T21:24:52+00:00
XERCESC-2,c1b04504526caa4df6fca739e89de7d763162b38,2017-07-07T20:54:04+00:00
XERCESC-2,2535abc4df58d6931eaf54513145c10bf9cf0384,2017-07-07T20:44:16+00:00
XERCESC-2,06b8c27c40ff1ca9cfcf8805250b505158e2a0d6,2017-07-06T19:37:56+00:00
XERCESC-2,7e71be4c89a4f00f2cec074b6bd6d428bee5ce31,2017-07-06T17:53:23+00:00
XERCESC-2,a60ecfb34ccd5befc853546c5894e66c067906ed,2017-07-05T18:52:15+00:00
XERCESC-2,9cbeed55f8e06c2f925c146cc272619ae694ecb8,2017-06-27T02:40:16+00:00
XERCESC-2,65b4847882657d9604d8c3c332f927d6a10b5c77,2017-06-22T18:14:37+00:00
XERCESC-2,736893ce7af88c73249404e26afa5bdd8f731cfd,2017-06-21T22:48:31+00:00
XERCESC-2,3569552105725115d6dc571b26bf928066e538da,2017-06-21T22:32:05+00:00
XERCESC-2,a6f8cf053037f573908aad37a96da6d3abd42fa6,2017-06-21T22:24:33+00:00
XERCESC-2,2eb103bd4614d2aceaced26f1cfbc3c9a33ccd53,2017-06-21T22:21:02+00:00
XERCESC-2,6579b6ca90d310fe04739166274439ba393ca80d,2017-06-21T21:38:42+00:00
XERCESC-2,26f8004d45f18d6785c0a694deb7d9695575de09,2015-09-07T10:11:28+00:00
XERCESC-2,64dbef2a48e5d92e4338fb5b04978ac219859eaf,2015-09-07T09:21:15+00:00
XERCESC-2,b36b2a91eafde08816df736cfad78186726a14d8,2015-09-05T13:20:32+00:00
XERCESC-2,2fb6cd7f727b9d10de73d5448bbde3d28f56f02b,2015-05-04T14:20:36+00:00
XERCESC-2,c47b85ef7b81d078def1ed38d36e7289dea4eb5f,2014-06-18T08:49:41+00:00
XERCESC-2,47299224a774b3ad408d38a80f3c4905080dea09,2014-05-23T10:50:16+00:00
XERCESC-2,356ecb376a88c242eb78d6dc3b032b2be1643cb7,2014-04-28T09:27:27+00:00
XERCESC-2,227f69c5cb6ef0d80bf326965b4466db19d4789d,2013-11-06T11:15:31+00:00
XERCESC-2,6cf01ad698186892e2b47f18b21232b6b6e641b3,2013-11-06T10:14:34+00:00
XERCESC-2,a1b75b8d9699e407a787a66d149807fa71d07646,2013-10-01T18:23:57+00:00
XERCESC-2,0209d51895e9afe13b51e3a7556cedb0c8962941,2013-08-26T10:33:26+00:00
XERCESC-2,97a8b9a37a6816c291a444fd075ee17f5a82f79b,2013-08-19T08:03:01+00:00
XERCESC-2,72450141c3d7e85f3d34329c6382ef6d0629a576,2013-08-18T17:02:43+00:00
XERCESC-2,13036580ac7da0b66a2e5ee2db139115f254d1cc,2013-07-29T15:52:25+00:00
XERCESC-2,ad608a85bf179bc0b86a4661f13c0cab781ea52a,2013-05-01T19:51:13+00:00
XERCESC-2,f6637ecb0a23cc12fef37e0ae1bb6fe03e12baba,2013-05-01T19:07:18+00:00
XERCESC-2,0b08b24eb61025841d45c9a992bed81958f88dce,2013-02-22T17:16:05+00:00
XERCESC-2,04cc0541e18dd7cc8e19a2d18ae001051387c675,2013-02-22T17:11:10+00:00
XERCESC-2,60b61f935828761213264718990351ce90761aef,2012-11-26T08:50:11+00:00
XERCESC-1,b49e1957bf8a95236a056fe3ee6e86cfa3c1ce2d,2017-07-11T18:27:09+00:00
XERCESC-1,25dc12c7e6f2fec7bacb04e536b515aca93f8f7e,2017-06-21T21:34:26+00:00
XERCESC-1,a7e4e035b90fd3d26736b7f3f1021b3194f289f0,2017-06-21T21:28:28+00:00
XERCESC-1,d8710d89f36dfa730316cf5cb5258fe4871531da,2017-06-21T21:07:10+00:00
XERCESC-1,c7c137f1ee4ba1f02d10861a96021c01acd13348,2013-05-01T21:01:04+00:00
XERCESC-1,de38b3e1ef4c3ebb91f53c14954556c96d4b1aaa,2013-02-24T18:32:24+00:00
XERCESC-1,91ee12b6840e2ed617972041c8be43405dcfcb7f,2013-02-22T12:15:39+00:00
XERCESC-1,ba8c5fc5765e33012c4fed81017af1e2950f2faf,2012-09-11T11:52:46+00:00
XERCESC-1,1a17485ceb9e992558490ebe17a2d121a4db76ea,2012-09-11T11:48:30+00:00
XERCESC-1,81eb0731090844a4beda3d2bcc781ca6a47f3796,2012-04-23T14:35:09+00:00
XERCESC-1,573caaf1568de5bdbd3b958c2d08dadec82cbb56,2012-04-23T14:24:41+00:00
XERCESC-1,5f8118b07dcc085a94bbf8c8f1e11d5c8686247e,2012-04-23T12:44:51+00:00
XERCESC-1,841311a3d3640ad259f4f2cfcf31a6b4194c4954,2012-04-17T09:35:00+00:00
XERCESC-1,05bac7814b2b8d6e8ce5a8648d4da3ae72cfe48b,2012-01-04T09:54:56+00:00
XERCESC-1,1b1f8ff671ccfcaf8d394c487a8827ba26bfb492,2012-01-03T17:34:38+00:00
XERCESC-1,5ce82b46df54e83d3fb31ecca1de76c344abdfca,2011-12-27T10:59:21+00:00
XERCESC-1,cb23c2dd8adac4d631b0c9af312d19c5fd81fa4a,2011-12-27T10:08:43+00:00
XERCESC-1,6793ba5678026871510bb4c7b9ec40f49e6438dd,2011-06-21T14:03:16+00:00
XERCESC-1,76309d4053319eef704ac386841fd340f82bf0df,2011-06-21T13:32:03+00:00
XERCESC-1,9414756bff2532b2c4995850ad04d45a089d893f,2011-06-21T12:09:18+00:00
XERCESC-1,8a62880445088816373bb5107d7488d2b3f052fb,2011-06-21T10:52:28+00:00
XERCESC-1,fbc20afddcf1b4b020f116036b5a3af3c83d7526,2011-05-30T13:03:03+00:00
XERCESC-1,27f980c985167971da3eda46eb3a69b24ac5e3d5,2011-04-15T14:56:36+00:00
XERCESC-1,b4c2832e2cc3c57131e668c4c1c1b5ebb9b93729,2011-02-18T09:59:52+00:00
XERCESC-1,5f27e9995bd6350f5a84d8b97823408a1639f596,2010-10-27T15:07:29+00:00
XERCESC-1,52db18de5cbf0d05e16d6c1d6b623761edb64f83,2010-09-28T18:33:53+00:00
XERCESC-1,791143847a5b9302d8cb4005a848377673a88c28,2010-08-09T19:20:46+00:00
XERCESC-1,e5df8b8c22265f8b4dde476d6160136fca197019,2010-04-21T14:20:51+00:00
XERCESC-1,84b7be459a4e165bf68d82b57b34821b008bbe51,2010-04-18T15:39:46+00:00
XERCESC-1,dcb0c6bf296d018f3789ffd911f9211f22aaff90,2010-04-13T08:52:12+00:00
XERCESC-1,bda521a67127296ef0fbab9488a23f5de21f7cc3,2010-04-12T12:11:29+00:00
XERCESC-1,52ca8eddbdf1ed23dda8d9bb67ff5c097977e535,2010-04-12T08:59:44+00:00
XERCESC-1,23183a771ed181b126e4c17baf631d360be8af63,2010-04-11T17:41:04+00:00
XERCESC-1,6875c544644d6b7b2a16ae03349f58215b4b42ed,2010-04-11T13:18:31+00:00
XERCESC-1,64820999f486d801bdb55b6fef3812a035e3b0dd,2010-04-11T13:10:10+00:00
XERCESC-1,50f9cac6c1ac89d22869926bc7066d7e47175582,2010-04-11T12:16:58+00:00
XERCESC-1,d56e5717757c31f726a5df08427ed653ce927e4e,2010-02-17T17:34:05+00:00
XERCESC-1,bd75edc60ee36f708e499545f73f49c0c7df18d6,2009-11-19T12:11:06+00:00
XERCESC-1,ca5c5ddc69594a464fdb52abf1b3e491982c5866,2009-11-18T14:20:12+00:00
XERCESC-1,4a884d4cf96fd80678d41faf06e968e83e3334ec,2009-11-18T11:44:47+00:00
XERCESC-1,0dc3afc1906ad3310dc8fbc16863eb1bfab4805d,2009-11-18T10:54:34+00:00
XERCESC-1,c8d53a4b1fb50f60e3f4b885041093515c4c79d4,2009-11-18T10:39:06+00:00
XERCESC-1,cd93842a0a29943e3556c878289aefe75718abee,2009-11-18T09:08:16+00:00
XERCESC-1,ffd66f5fe8556ca85174b5ca72a922674f12bf39,2009-11-18T07:54:36+00:00
XERCESC-1,42d84346b6549483cc52c25fc366668dc752912f,2009-11-17T10:19:57+00:00
XERCESC-1,f1386918d47b444cd6c14a3ccb0c5ff99b86da17,2009-11-13T16:39:33+00:00
XERCESC-1,0b4abd39f37c462799efe5a8d094505bb761b330,2009-11-12T05:57:31+00:00
XERCESC-1,3b578c92707fb7a08c441d16513e068e901ae3cb,2009-11-11T10:03:53+00:00
XERCESC-1,fc935b864cb57a1c0b6e6e07228c672a69e143a4,2009-11-10T12:50:48+00:00
XERCESC-1,44682befc47e4d8f8735def192ee7d815a95d510,2009-11-10T07:08:59+00:00
XERCESC-1,0b337ec3243f7919d2efe0d1ba54400dc02a11ba,2009-11-05T13:21:27+00:00
XERCESC-1,d9db5fe7ac8c4cfa4c9c8adaaedd63a74eaf2c13,2009-11-04T15:11:14+00:00
XERCESC-1,d769f20dbda744c93a807e41323f9a805021c249,2009-11-04T14:55:19+00:00
XERCESC-1,3ec99ebe38a37167aea58f6e81ef1a77d1e5c0e8,2009-11-04T14:16:29+00:00
XERCESC-1,5f0c3538d1ce1ead0877063b5c94738956eda32e,2009-11-04T08:55:59+00:00
XERCESC-1,69a4a2377a937a0d86b68d3e16fa9c8e419a7f91,2009-10-30T07:54:44+00:00
XERCESC-1,ab5aa9562db4fd4861c277c405937b625c5cffac,2009-10-28T09:05:46+00:00
XERCESC-1,82624c3e248402573cd5c8969d3e0eb77dbe2866,2009-10-20T15:26:11+00:00
XERCESC-1,c2a73fd796550a984561a7500e66f3a02eee2169,2009-10-20T03:40:45+00:00
XERCESC-1,61fe33ddc3aed219353ee5968b5254f87109b728,2009-08-24T13:47:35+00:00
XERCESC-1,e2f406b193d17021ecd004d0a4d706aa6db3d24b,2009-08-14T15:01:36+00:00
XERCESC-1,0804e9a3db4cd8c84c9d4a2265449a52e416454d,2009-08-14T13:44:26+00:00
XERCESC-1,119e38996a99e17ed294b1edbcedee5d1c73f8b1,2009-08-13T12:16:44+00:00
XERCESC-1,1bd2ccc8333ca7de5d65e7bc23b7cc5f047aae5c,2009-08-13T11:11:08+00:00
XERCESC-1,e96c6f3a9fa0d234e5674f787c73b9b531c2eef8,2009-08-12T17:32:28+00:00
XERCESC-1,5347f17bb672e0e770b9e8e6d158aa4abef24856,2009-08-12T14:00:33+00:00
XERCESC-1,24025cb1ea1df13c810149dbbd8f6ca953eeb35e,2009-08-10T14:42:03+00:00
XERCESC-1,1346dc2f906d446f8a176c986fcb81af4dde2d66,2009-08-10T13:41:48+00:00
XERCESC-1,f028df5ccf35f365830e0062c706923357be3c33,2009-08-05T16:54:22+00:00
XERCESC-1,cd9c4c527cfef40d2c3b124bd125a0c28fbe8bed,2009-08-04T08:55:01+00:00
XERCESC-1,f4015c5651174673dc268c8702bf708733a8c86d,2009-07-30T09:06:43+00:00
XERCESC-1,cb7f83595401291effcbdab7720d475d15d76321,2009-07-29T16:54:01+00:00
XERCESC-1,ac6664003c4dfa0b24d66ee47ab3efb4320d2ebe,2009-07-29T16:01:28+00:00
XERCESC-1,66b9c2ad4c450dacc46bf0f1870ccbe23c9da740,2009-07-29T15:06:26+00:00
XERCESC-1,360c4d33e7948963f6a3ed840bf8f774d6b6af51,2009-07-29T13:46:33+00:00
XERCESC-1,684d56106fa16858e977b452cc442180fe3f795d,2009-07-29T13:10:37+00:00
XERCESC-1,d57cc873bd069a650980c475403392274c2b1ebc,2009-07-28T09:08:05+00:00
XERCESC-1,3c0b302d1c3ca0a362c2b765130c40205cd625c2,2009-06-30T12:32:24+00:00
XERCESC-1,6065868643c3fcb50346cf7396bd8c850d79175f,2009-06-30T10:43:51+00:00
XERCESC-1,517cde7f408ec9376c1f7cf9e5dcb7fc4a26d782,2009-05-28T01:41:01+00:00
XERCESC-1,d7d5e129ab44d4ffab228b6136a5c9069619b2a2,2009-05-28T01:27:54+00:00
XERCESC-1,83d7d60c76965f6a2de9be6c9e987aa3a95e99bd,2009-05-26T19:59:25+00:00
XERCESC-1,2c32ad105a45231a62065dbbabdeba9cb25f92d2,2009-04-27T13:45:52+00:00
XERCESC-1,afd51fc3bdadf9de5cb0291cee5c76dab26a6a41,2009-03-30T12:04:00+00:00
XERCESC-1,7883181cdd8bda3800af5792f19e74ee741a2623,2009-03-27T21:55:03+00:00
XERCESC-1,75bc988227138878c5e19cfc3dc6fcb12c4c3c7c,2009-02-12T14:10:05+00:00
XERCESC-1,8ac69535ccdfb3f4780d3f321f252c481f33a53c,2009-02-12T07:33:11+00:00
XERCESC-1,6e02d146913782b31ea6f442bff05a5183807546,2009-01-29T16:02:26+00:00
XERCESC-1,fc528756002d6a59ee643c49380404efdfac6283,2008-12-29T17:03:32+00:00
XERCESC-1,93aac1c11d2207d7b7987e874367c71068c934ea,2008-11-12T13:43:02+00:00
