Bug ID,Bug Fix Commit Hash,Date of Commit
XERCESJ-91,b8f55d6a0bb8104edf575aca174caeea2a27a0ae,2005-06-13T21:37:49+00:00
XERCESJ-91,7569f1e56b929395f70c2717a33b9ea5e6583d7a,2004-08-26T02:14:41+00:00
XERCESJ-1080,53db6ac406a3febbcfbd2363f29b83add7dc9eb7,2007-06-11T02:00:30+00:00
XERCESJ-1080,5607854a23b9005214c759e798e87b7b021d0af6,2005-06-23T19:29:16+00:00
XERCESJ-1085,7d3b80349762233a5dd6306e181ff25835c81964,2010-02-07T15:53:54+00:00
XERCESJ-1082,ec492baa31293836b79cd621c9e3373c0e015f77,2005-06-09T04:48:32+00:00
XERCESJ-1082,e478f4a07093267a935f7b7ee6f4dbddfd0226b0,2005-06-08T22:14:48+00:00
XERCESJ-1083,9231cb3a3675ca5bbd7fbbca689bf7b0fa258ee1,2005-06-23T17:58:52+00:00
XERCESJ-1088,ea2f0156ef8b614da4c9c3e0360961f3bdf232b0,2005-07-22T21:42:26+00:00
XERCESJ-1089,083f42dfd2bf001b5bc054094b693d40666f2aa5,2005-07-25T18:04:26+00:00
XERCESJ-1090,52937e0039e38bd60dc0d8ca36076ceb79426380,2005-07-24T22:55:21+00:00
XERCESJ-1094,7080576431608079ed5191e1af2553cd1a17db1e,2005-08-09T17:13:56+00:00
XERCESJ-1097,ba95a067185a05be96e93ad19f1db5e942f154d3,2005-09-07T02:44:18+00:00
XERCESJ-919,7569f1e56b929395f70c2717a33b9ea5e6583d7a,2004-08-26T02:14:41+00:00
XERCESJ-52,4c1206905ebe89e63e89bbe0c95846f048839107,2004-05-28T19:08:52+00:00
XERCESJ-916,b8f55d6a0bb8104edf575aca174caeea2a27a0ae,2005-06-13T21:37:49+00:00
XERCESJ-58,6929e734520c3a614ee91bd6df4b2705bc32f109,2010-05-19T16:17:53+00:00
XERCESJ-809,ca47e35c27abf05dff9c97bc16373a4ea631d0bc,2010-06-15T21:01:58+00:00
XERCESJ-923,547c1ab374dfbb93c591854228c625ddd798ceb6,2004-04-15T18:38:22+00:00
XERCESJ-68,67c7a45c4317ae24a9a323284999dac82427bb7a,2005-11-18T21:10:32+00:00
XERCESJ-926,45ec51a61e14e22e6560098070c726fd8fdf1b56,2004-07-08T22:02:58+00:00
XERCESJ-77,8ff5e52a0e39ce14b62e2acf3db2ca5f3bd343c2,2007-02-23T16:53:57+00:00
